Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
291922,291923,1962274N14256,EP,MM,DOREEN,13.9,-104.0,75,0,1962,10,1,1962/10/01 04:00:00+00
291923,291924,1962274N14256,EP,MM,DOREEN,13.94,-104.3,75,0,1962,10,1,1962/10/01 04:00:00+00
291924,291925,1962274N14256,EP,MM,DOREEN,14.01,-104.61,75,0,1962,10,1,1962/10/01 04:00:00+00
291925,291926,1962274N14256,EP,MM,DOREEN,14.14,-104.91,75,0,1962,10,1,1962/10/01 04:00:00+00
291926,291927,1962274N14256,EP,MM,DOREEN,14.3,-105.2,75,0,1962,10,1,1962/10/01 04:00:00+00
291927,291928,1962274N14256,EP,MM,DOREEN,14.49,-105.46,75,0,1962,10,1,1962/10/01 04:00:00+00
291928,291929,1962274N14256,EP,MM,DOREEN,14.69,-105.7,75,0,1962,10,1,1962/10/01 04:00:00+00
291929,291930,1962274N14256,EP,MM,DOREEN,14.89,-105.91,75,0,1962,10,1,1962/10/01 04:00:00+00
291930,291931,1962274N14256,EP,MM,DOREEN,15.1,-106.1,75,0,1962,10,2,1962/10/02 04:00:00+00
291931,291932,1962274N14256,EP,MM,DOREEN,15.34,-106.31,75,0,1962,10,2,1962/10/02 04:00:00+00
291932,291933,1962274N14256,EP,MM,DOREEN,15.59,-106.5,75,0,1962,10,2,1962/10/02 04:00:00+00
291933,291934,1962274N14256,EP,MM,DOREEN,15.83,-106.67,75,0,1962,10,2,1962/10/02 04:00:00+00
291934,291935,1962274N14256,EP,MM,DOREEN,16.1,-106.8,75,0,1962,10,2,1962/10/02 04:00:00+00
291935,291936,1962274N14256,EP,MM,DOREEN,16.43,-106.87,75,0,1962,10,2,1962/10/02 04:00:00+00
291936,291937,1962274N14256,EP,MM,DOREEN,16.79,-106.91,75,0,1962,10,2,1962/10/02 04:00:00+00
291937,291938,1962274N14256,EP,MM,DOREEN,17.13,-106.95,75,0,1962,10,2,1962/10/02 04:00:00+00
291938,291939,1962274N14256,EP,MM,DOREEN,17.5,-107.0,75,0,1962,10,3,1962/10/03 04:00:00+00
291939,291940,1962274N14256,EP,MM,DOREEN,17.93,-107.04,75,0,1962,10,3,1962/10/03 04:00:00+00
291940,291941,1962274N14256,EP,MM,DOREEN,18.38,-107.09,75,0,1962,10,3,1962/10/03 04:00:00+00
291941,291942,1962274N14256,EP,MM,DOREEN,18.78,-107.15,75,0,1962,10,3,1962/10/03 04:00:00+00
291942,291943,1962274N14256,EP,MM,DOREEN,19.2,-107.3,75,0,1962,10,3,1962/10/03 04:00:00+00
291943,291944,1962274N14256,EP,MM,DOREEN,19.67,-107.61,75,0,1962,10,3,1962/10/03 04:00:00+00
291944,291945,1962274N14256,EP,MM,DOREEN,20.16,-108.04,75,0,1962,10,3,1962/10/03 04:00:00+00
291945,291946,1962274N14256,EP,MM,DOREEN,20.58,-108.55,75,0,1962,10,3,1962/10/03 04:00:00+00
291946,291947,1962274N14256,EP,MM,DOREEN,21.1,-109.0,75,0,1962,10,4,1962/10/04 04:00:00+00
291947,291948,1962274N14256,EP,MM,DOREEN,21.88,-109.25,75,0,1962,10,4,1962/10/04 04:00:00+00
291948,291949,1962274N14256,EP,MM,DOREEN,22.79,-109.29,75,0,1962,10,4,1962/10/04 04:00:00+00
291949,291950,1962274N14256,EP,MM,DOREEN,23.68,-109.15,75,0,1962,10,4,1962/10/04 04:00:00+00
291950,291951,1962274N14256,EP,MM,DOREEN,24.6,-108.8,75,0,1962,10,4,1962/10/04 04:00:00+00
291951,291952,1962274N14256,EP,MM,DOREEN,25.56,-108.28,60,0,1962,10,4,1962/10/04 04:00:00+00
291952,291953,1962274N14256,EP,MM,DOREEN,26.47,-107.61,45,0,1962,10,4,1962/10/04 04:00:00+00
291953,291954,1962274N14256,EP,MM,DOREEN,27.27,-106.83,35,0,1962,10,4,1962/10/04 04:00:00+00
307136,307137,1964359S23040,SI,MM,DOREEN,-23.0,39.6,0,0,1964,12,23,1964/12/23 05:00:00+00
307137,307138,1964359S23040,SI,MM,DOREEN,-23.07,40.01,0,0,1964,12,23,1964/12/23 05:00:00+00
307138,307139,1964359S23040,SI,MM,DOREEN,-22.93,40.7,0,0,1964,12,23,1964/12/23 05:00:00+00
307139,307140,1964359S23040,SI,MM,DOREEN,-22.83,41.09,0,0,1964,12,23,1964/12/23 05:00:00+00
307140,307141,1964359S23040,SI,MM,DOREEN,-22.68,41.46,0,0,1964,12,24,1964/12/24 05:00:00+00
307141,307142,1964359S23040,SI,MM,DOREEN,-22.55,41.83,0,0,1964,12,24,1964/12/24 05:00:00+00
307142,307143,1964359S23040,SI,MM,DOREEN,-22.46,42.18,0,0,1964,12,24,1964/12/24 05:00:00+00
307143,307144,1964359S23040,SI,MM,DOREEN,-22.37,42.52,0,0,1964,12,24,1964/12/24 05:00:00+00
307144,307145,1964359S23040,SI,MM,DOREEN,-22.3,42.83,0,0,1964,12,24,1964/12/24 05:00:00+00
307145,307146,1964359S23040,SI,MM,DOREEN,-22.26,43.11,0,0,1964,12,24,1964/12/24 05:00:00+00
307146,307147,1964359S23040,SI,MM,DOREEN,-22.24,43.36,0,0,1964,12,24,1964/12/24 05:00:00+00
307147,307148,1964359S23040,SI,MM,DOREEN,-22.24,43.58,0,0,1964,12,24,1964/12/24 05:00:00+00
307148,307149,1964359S23040,SI,MM,DOREEN,-22.22,43.81,0,0,1964,12,25,1964/12/25 05:00:00+00
307149,307150,1964359S23040,SI,MM,DOREEN,-22.16,44.11,0,0,1964,12,25,1964/12/25 05:00:00+00
310699,310700,1965233N14248,EP,MM,DOREEN,13.7,-111.7,45,0,1965,8,21,1965/08/21 04:00:00+00
310700,310701,1965233N14248,EP,MM,DOREEN,13.96,-112.35,45,0,1965,8,21,1965/08/21 04:00:00+00
310701,310702,1965233N14248,EP,MM,DOREEN,14.2,-113.01,45,0,1965,8,21,1965/08/21 04:00:00+00
