Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
519438,519439,1995017S10078,SI,MM,DORINA,-9.5,78.0,15,0,1995,1,16,1995/01/16 05:00:00+00
519439,519440,1995017S10078,SI,MM,DORINA,-9.71,78.05,15,0,1995,1,16,1995/01/16 05:00:00+00
519440,519441,1995017S10078,SI,MM,DORINA,-9.9,78.1,15,0,1995,1,17,1995/01/17 05:00:00+00
519441,519442,1995017S10078,SI,MM,DORINA,-10.06,78.15,15,0,1995,1,17,1995/01/17 05:00:00+00
519442,519443,1995017S10078,SI,MM,DORINA,-10.2,78.2,15,0,1995,1,17,1995/01/17 05:00:00+00
519443,519444,1995017S10078,SI,MM,DORINA,-10.35,78.25,15,0,1995,1,17,1995/01/17 05:00:00+00
519444,519445,1995017S10078,SI,MM,DORINA,-10.5,78.3,15,0,1995,1,17,1995/01/17 05:00:00+00
519445,519446,1995017S10078,SI,MM,DORINA,-10.65,78.34,15,0,1995,1,17,1995/01/17 05:00:00+00
519446,519447,1995017S10078,SI,MM,DORINA,-10.8,78.4,15,0,1995,1,17,1995/01/17 05:00:00+00
519447,519448,1995017S10078,SI,MM,DORINA,-10.95,78.49,15,0,1995,1,17,1995/01/17 05:00:00+00
519448,519449,1995017S10078,SI,MM,DORINA,-11.1,78.6,15,0,1995,1,18,1995/01/18 05:00:00+00
519449,519450,1995017S10078,SI,MM,DORINA,-11.25,78.71,17,0,1995,1,18,1995/01/18 05:00:00+00
519450,519451,1995017S10078,SI,MM,DORINA,-11.4,78.83,20,0,1995,1,18,1995/01/18 05:00:00+00
519451,519452,1995017S10078,SI,MM,DORINA,-11.54,78.93,20,0,1995,1,18,1995/01/18 05:00:00+00
519452,519453,1995017S10078,SI,MM,DORINA,-11.67,79.01,20,0,1995,1,18,1995/01/18 05:00:00+00
519453,519454,1995017S10078,SI,MM,DORINA,-11.81,79.09,20,0,1995,1,18,1995/01/18 05:00:00+00
519454,519455,1995017S10078,SI,MM,DORINA,-11.93,79.13,20,0,1995,1,18,1995/01/18 05:00:00+00
519455,519456,1995017S10078,SI,MM,DORINA,-12.02,79.18,22,0,1995,1,18,1995/01/18 05:00:00+00
519456,519457,1995017S10078,SI,MM,DORINA,-12.1,79.23,25,0,1995,1,19,1995/01/19 05:00:00+00
519457,519458,1995017S10078,SI,MM,DORINA,-12.18,79.31,25,0,1995,1,19,1995/01/19 05:00:00+00
