Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
366964,366965,1973011S21037,SI,MM,DOROTHEE,-21.0,37.0,0,0,1973,1,10,1973/01/10 05:00:00+00
366965,366966,1973011S21037,SI,MM,DOROTHEE,-21.21,37.25,0,0,1973,1,10,1973/01/10 05:00:00+00
366966,366967,1973011S21037,SI,MM,DOROTHEE,-21.4,37.5,0,0,1973,1,10,1973/01/10 05:00:00+00
366967,366968,1973011S21037,SI,MM,DOROTHEE,-21.57,37.75,0,0,1973,1,10,1973/01/10 05:00:00+00
366968,366969,1973011S21037,SI,MM,DOROTHEE,-21.7,38.0,0,0,1973,1,11,1973/01/11 05:00:00+00
366969,366970,1973011S21037,SI,MM,DOROTHEE,-21.82,38.25,0,0,1973,1,11,1973/01/11 05:00:00+00
366970,366971,1973011S21037,SI,MM,DOROTHEE,-21.46,38.96,0,0,1973,1,11,1973/01/11 05:00:00+00
366971,366972,1973011S21037,SI,MM,DOROTHEE,-21.36,39.47,0,0,1973,1,11,1973/01/11 05:00:00+00
366972,366973,1973011S21037,SI,MM,DOROTHEE,-21.36,39.96,0,0,1973,1,11,1973/01/11 05:00:00+00
366973,366974,1973011S21037,SI,MM,DOROTHEE,-21.4,40.52,0,0,1973,1,11,1973/01/11 05:00:00+00
366974,366975,1973011S21037,SI,MM,DOROTHEE,-21.52,41.04,0,0,1973,1,11,1973/01/11 05:00:00+00
366975,366976,1973011S21037,SI,MM,DOROTHEE,-21.64,41.57,0,0,1973,1,11,1973/01/11 05:00:00+00
366976,366977,1973011S21037,SI,MM,DOROTHEE,-21.75,42.16,0,0,1973,1,12,1973/01/12 05:00:00+00
366977,366978,1973011S21037,SI,MM,DOROTHEE,-21.85,42.81,0,0,1973,1,12,1973/01/12 05:00:00+00
366978,366979,1973011S21037,SI,MM,DOROTHEE,-21.94,43.5,0,0,1973,1,12,1973/01/12 05:00:00+00
366979,366980,1973011S21037,SI,MM,DOROTHEE,-22.03,44.19,0,0,1973,1,12,1973/01/12 05:00:00+00
366980,366981,1973011S21037,SI,MM,DOROTHEE,-22.12,44.89,0,0,1973,1,12,1973/01/12 05:00:00+00
366981,366982,1973011S21037,SI,MM,DOROTHEE,-22.21,45.59,0,0,1973,1,12,1973/01/12 05:00:00+00
366982,366983,1973011S21037,SI,MM,DOROTHEE,-22.3,46.3,0,0,1973,1,12,1973/01/12 05:00:00+00
366983,366984,1973011S21037,SI,MM,DOROTHEE,-22.4,47.02,0,0,1973,1,12,1973/01/12 05:00:00+00
366984,366985,1973011S21037,SI,MM,DOROTHEE,-22.54,47.76,0,0,1973,1,13,1973/01/13 05:00:00+00
366985,366986,1973011S21037,SI,MM,DOROTHEE,-22.73,48.52,0,0,1973,1,13,1973/01/13 05:00:00+00
