Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
426238,426239,1981261N25174,WP,MM,DOYLE,24.5,174.0,0,0,1981,9,17,1981/09/17 04:00:00+00
426239,426240,1981261N25174,WP,MM,DOYLE,24.54,173.5,0,0,1981,9,17,1981/09/17 04:00:00+00
426240,426241,1981261N25174,WP,MM,DOYLE,24.6,173.0,0,0,1981,9,18,1981/09/18 04:00:00+00
426241,426242,1981261N25174,WP,MM,DOYLE,24.69,172.5,0,0,1981,9,18,1981/09/18 04:00:00+00
426242,426243,1981261N25174,WP,MM,DOYLE,24.8,172.0,0,0,1981,9,18,1981/09/18 04:00:00+00
426243,426244,1981261N25174,WP,MM,DOYLE,24.91,171.5,0,0,1981,9,18,1981/09/18 04:00:00+00
426244,426245,1981261N25174,WP,MM,DOYLE,25.0,171.0,0,0,1981,9,18,1981/09/18 04:00:00+00
426245,426246,1981261N25174,WP,MM,DOYLE,25.05,170.5,0,0,1981,9,18,1981/09/18 04:00:00+00
426246,426247,1981261N25174,WP,MM,DOYLE,25.1,170.0,0,0,1981,9,18,1981/09/18 04:00:00+00
426247,426248,1981261N25174,WP,MM,DOYLE,25.19,169.5,0,0,1981,9,18,1981/09/18 04:00:00+00
426248,426249,1981261N25174,WP,MM,DOYLE,25.14,168.63,25,0,1981,9,19,1981/09/19 04:00:00+00
426249,426250,1981261N25174,WP,MM,DOYLE,25.25,168.08,27,0,1981,9,19,1981/09/19 04:00:00+00
426250,426251,1981261N25174,WP,MM,DOYLE,25.4,167.62,30,0,1981,9,19,1981/09/19 04:00:00+00
426251,426252,1981261N25174,WP,MM,DOYLE,25.57,167.21,30,0,1981,9,19,1981/09/19 04:00:00+00
426252,426253,1981261N25174,WP,MM,DOYLE,25.74,166.83,30,0,1981,9,19,1981/09/19 04:00:00+00
426253,426254,1981261N25174,WP,MM,DOYLE,25.91,166.43,32,0,1981,9,19,1981/09/19 04:00:00+00
426254,426255,1981261N25174,WP,MM,DOYLE,26.08,166.02,35,0,1981,9,19,1981/09/19 04:00:00+00
426255,426256,1981261N25174,WP,MM,DOYLE,26.28,165.59,37,0,1981,9,19,1981/09/19 04:00:00+00
426256,426257,1981261N25174,WP,MM,DOYLE,26.46,165.14,40,0,1981,9,20,1981/09/20 04:00:00+00
426257,426258,1981261N25174,WP,MM,DOYLE,26.57,164.7,42,0,1981,9,20,1981/09/20 04:00:00+00
426258,426259,1981261N25174,WP,MM,DOYLE,26.66,164.24,45,0,1981,9,20,1981/09/20 04:00:00+00
426259,426260,1981261N25174,WP,MM,DOYLE,26.77,163.76,47,0,1981,9,20,1981/09/20 04:00:00+00
426260,426261,1981261N25174,WP,MM,DOYLE,26.88,163.28,50,0,1981,9,20,1981/09/20 04:00:00+00
426261,426262,1981261N25174,WP,MM,DOYLE,26.96,162.79,52,0,1981,9,20,1981/09/20 04:00:00+00
426262,426263,1981261N25174,WP,MM,DOYLE,27.04,162.32,55,0,1981,9,20,1981/09/20 04:00:00+00
426263,426264,1981261N25174,WP,MM,DOYLE,27.15,161.88,57,0,1981,9,20,1981/09/20 04:00:00+00
426264,426265,1981261N25174,WP,MM,DOYLE,27.32,161.54,60,0,1981,9,21,1981/09/21 04:00:00+00
426265,426266,1981261N25174,WP,MM,DOYLE,27.58,161.34,62,0,1981,9,21,1981/09/21 04:00:00+00
426266,426267,1981261N25174,WP,MM,DOYLE,27.88,161.26,65,0,1981,9,21,1981/09/21 04:00:00+00
426267,426268,1981261N25174,WP,MM,DOYLE,28.18,161.25,67,0,1981,9,21,1981/09/21 04:00:00+00
426268,426269,1981261N25174,WP,MM,DOYLE,28.48,161.34,70,0,1981,9,21,1981/09/21 04:00:00+00
426269,426270,1981261N25174,WP,MM,DOYLE,28.76,161.51,72,0,1981,9,21,1981/09/21 04:00:00+00
426270,426271,1981261N25174,WP,MM,DOYLE,29.02,161.77,75,0,1981,9,21,1981/09/21 04:00:00+00
426271,426272,1981261N25174,WP,MM,DOYLE,29.23,162.07,77,0,1981,9,21,1981/09/21 04:00:00+00
426272,426273,1981261N25174,WP,MM,DOYLE,29.44,162.44,80,0,1981,9,22,1981/09/22 04:00:00+00
426273,426274,1981261N25174,WP,MM,DOYLE,29.64,162.83,80,0,1981,9,22,1981/09/22 04:00:00+00
426274,426275,1981261N25174,WP,MM,DOYLE,29.92,163.29,80,0,1981,9,22,1981/09/22 04:00:00+00
426275,426276,1981261N25174,WP,MM,DOYLE,30.32,163.83,77,0,1981,9,22,1981/09/22 04:00:00+00
426276,426277,1981261N25174,WP,MM,DOYLE,30.86,164.46,75,0,1981,9,22,1981/09/22 04:00:00+00
426277,426278,1981261N25174,WP,MM,DOYLE,31.51,165.14,70,0,1981,9,22,1981/09/22 04:00:00+00
426278,426279,1981261N25174,WP,MM,DOYLE,32.26,165.87,65,0,1981,9,22,1981/09/22 04:00:00+00
426279,426280,1981261N25174,WP,MM,DOYLE,33.01,166.6,60,0,1981,9,22,1981/09/22 04:00:00+00
426280,426281,1981261N25174,WP,MM,DOYLE,33.84,167.44,55,0,1981,9,23,1981/09/23 04:00:00+00
426281,426282,1981261N25174,WP,MM,DOYLE,34.8,168.46,52,0,1981,9,23,1981/09/23 04:00:00+00
426282,426283,1981261N25174,WP,MM,DOYLE,35.8,169.58,50,0,1981,9,23,1981/09/23 04:00:00+00
426283,426284,1981261N25174,WP,MM,DOYLE,36.77,170.69,47,0,1981,9,23,1981/09/23 04:00:00+00
426284,426285,1981261N25174,WP,MM,DOYLE,37.62,171.82,45,0,1981,9,23,1981/09/23 04:00:00+00
426285,426286,1981261N25174,WP,MM,DOYLE,38.22,172.92,42,0,1981,9,23,1981/09/23 04:00:00+00
426286,426287,1981261N25174,WP,MM,DOYLE,38.66,173.89,40,0,1981,9,23,1981/09/23 04:00:00+00
426287,426288,1981261N25174,WP,MM,DOYLE,38.45,173.99,0,0,1981,9,23,1981/09/23 04:00:00+00
426288,426289,1981261N25174,WP,MM,DOYLE,39.0,175.0,0,0,1981,9,24,1981/09/24 04:00:00+00
426289,426290,1981261N25174,WP,MM,DOYLE,39.34,176.0,0,0,1981,9,24,1981/09/24 04:00:00+00
426290,426291,1981261N25174,WP,MM,DOYLE,39.5,177.0,0,0,1981,9,24,1981/09/24 04:00:00+00
426291,426292,1981261N25174,WP,MM,DOYLE,39.53,178.0,0,0,1981,9,24,1981/09/24 04:00:00+00
447079,447080,1984336N05156,WP,MM,DOYLE,4.6,155.8,0,0,1984,12,1,1984/12/01 05:00:00+00
447080,447081,1984336N05156,WP,MM,DOYLE,4.73,155.14,0,0,1984,12,1,1984/12/01 05:00:00+00
447081,447082,1984336N05156,WP,MM,DOYLE,4.87,154.49,0,0,1984,12,1,1984/12/01 05:00:00+00
447082,447083,1984336N05156,WP,MM,DOYLE,5.02,153.84,0,0,1984,12,1,1984/12/01 05:00:00+00
447083,447084,1984336N05156,WP,MM,DOYLE,5.2,153.2,0,0,1984,12,1,1984/12/01 05:00:00+00
447084,447085,1984336N05156,WP,MM,DOYLE,5.4,152.57,0,0,1984,12,1,1984/12/01 05:00:00+00
447085,447086,1984336N05156,WP,MM,DOYLE,5.61,151.95,0,0,1984,12,1,1984/12/01 05:00:00+00
447086,447087,1984336N05156,WP,MM,DOYLE,5.82,151.33,0,0,1984,12,1,1984/12/01 05:00:00+00
447087,447088,1984336N05156,WP,MM,DOYLE,6.0,150.7,0,0,1984,12,2,1984/12/02 05:00:00+00
447088,447089,1984336N05156,WP,MM,DOYLE,6.12,150.06,0,0,1984,12,2,1984/12/02 05:00:00+00
447089,447090,1984336N05156,WP,MM,DOYLE,6.24,149.37,20,0,1984,12,2,1984/12/02 05:00:00+00
447090,447091,1984336N05156,WP,MM,DOYLE,6.32,148.73,20,0,1984,12,2,1984/12/02 05:00:00+00
447091,447092,1984336N05156,WP,MM,DOYLE,6.4,148.1,20,0,1984,12,2,1984/12/02 05:00:00+00
447092,447093,1984336N05156,WP,MM,DOYLE,6.51,147.45,20,0,1984,12,2,1984/12/02 05:00:00+00
447093,447094,1984336N05156,WP,MM,DOYLE,6.63,146.77,20,0,1984,12,2,1984/12/02 05:00:00+00
447094,447095,1984336N05156,WP,MM,DOYLE,6.77,146.08,20,0,1984,12,2,1984/12/02 05:00:00+00
447095,447096,1984336N05156,WP,MM,DOYLE,6.9,145.4,20,0,1984,12,3,1984/12/03 05:00:00+00
447096,447097,1984336N05156,WP,MM,DOYLE,6.97,144.74,20,0,1984,12,3,1984/12/03 05:00:00+00
447097,447098,1984336N05156,WP,MM,DOYLE,7.03,144.09,20,0,1984,12,3,1984/12/03 05:00:00+00
447098,447099,1984336N05156,WP,MM,DOYLE,7.11,143.48,20,0,1984,12,3,1984/12/03 05:00:00+00
447099,447100,1984336N05156,WP,MM,DOYLE,7.2,142.9,20,0,1984,12,3,1984/12/03 05:00:00+00
447100,447101,1984336N05156,WP,MM,DOYLE,7.29,142.38,20,0,1984,12,3,1984/12/03 05:00:00+00
447101,447102,1984336N05156,WP,MM,DOYLE,7.37,141.9,20,0,1984,12,3,1984/12/03 05:00:00+00
447102,447103,1984336N05156,WP,MM,DOYLE,7.43,141.44,22,0,1984,12,3,1984/12/03 05:00:00+00
447103,447104,1984336N05156,WP,MM,DOYLE,7.67,141.11,25,0,1984,12,4,1984/12/04 05:00:00+00
447104,447105,1984336N05156,WP,MM,DOYLE,7.82,140.66,25,0,1984,12,4,1984/12/04 05:00:00+00
447105,447106,1984336N05156,WP,MM,DOYLE,7.93,140.16,25,0,1984,12,4,1984/12/04 05:00:00+00
447106,447107,1984336N05156,WP,MM,DOYLE,8.02,139.68,27,0,1984,12,4,1984/12/04 05:00:00+00
447107,447108,1984336N05156,WP,MM,DOYLE,8.1,139.23,30,0,1984,12,4,1984/12/04 05:00:00+00
447108,447109,1984336N05156,WP,MM,DOYLE,8.22,138.78,32,0,1984,12,4,1984/12/04 05:00:00+00
447109,447110,1984336N05156,WP,MM,DOYLE,8.3,138.3,35,0,1984,12,4,1984/12/04 05:00:00+00
447110,447111,1984336N05156,WP,MM,DOYLE,8.42,137.85,37,0,1984,12,4,1984/12/04 05:00:00+00
447111,447112,1984336N05156,WP,MM,DOYLE,8.61,137.46,40,0,1984,12,5,1984/12/05 05:00:00+00
447112,447113,1984336N05156,WP,MM,DOYLE,8.85,137.11,42,0,1984,12,5,1984/12/05 05:00:00+00
447113,447114,1984336N05156,WP,MM,DOYLE,9.11,136.77,45,0,1984,12,5,1984/12/05 05:00:00+00
447114,447115,1984336N05156,WP,MM,DOYLE,9.37,136.39,47,0,1984,12,5,1984/12/05 05:00:00+00
447115,447116,1984336N05156,WP,MM,DOYLE,9.64,136.02,50,0,1984,12,5,1984/12/05 05:00:00+00
447116,447117,1984336N05156,WP,MM,DOYLE,9.93,135.65,50,0,1984,12,5,1984/12/05 05:00:00+00
447117,447118,1984336N05156,WP,MM,DOYLE,10.25,135.31,50,0,1984,12,5,1984/12/05 05:00:00+00
447118,447119,1984336N05156,WP,MM,DOYLE,10.62,135.03,50,0,1984,12,5,1984/12/05 05:00:00+00
447119,447120,1984336N05156,WP,MM,DOYLE,10.98,134.78,50,0,1984,12,6,1984/12/06 05:00:00+00
447120,447121,1984336N05156,WP,MM,DOYLE,11.28,134.51,50,0,1984,12,6,1984/12/06 05:00:00+00
447121,447122,1984336N05156,WP,MM,DOYLE,11.56,134.25,50,0,1984,12,6,1984/12/06 05:00:00+00
447122,447123,1984336N05156,WP,MM,DOYLE,11.84,134.0,52,0,1984,12,6,1984/12/06 05:00:00+00
447123,447124,1984336N05156,WP,MM,DOYLE,12.14,133.78,55,0,1984,12,6,1984/12/06 05:00:00+00
447124,447125,1984336N05156,WP,MM,DOYLE,12.48,133.61,60,0,1984,12,6,1984/12/06 05:00:00+00
447125,447126,1984336N05156,WP,MM,DOYLE,12.84,133.46,65,0,1984,12,6,1984/12/06 05:00:00+00
447126,447127,1984336N05156,WP,MM,DOYLE,13.19,133.31,72,0,1984,12,6,1984/12/06 05:00:00+00
447127,447128,1984336N05156,WP,MM,DOYLE,13.56,133.16,80,0,1984,12,7,1984/12/07 05:00:00+00
447128,447129,1984336N05156,WP,MM,DOYLE,14.0,132.99,85,0,1984,12,7,1984/12/07 05:00:00+00
447129,447130,1984336N05156,WP,MM,DOYLE,14.43,132.8,90,0,1984,12,7,1984/12/07 05:00:00+00
447130,447131,1984336N05156,WP,MM,DOYLE,14.77,132.59,90,0,1984,12,7,1984/12/07 05:00:00+00
447131,447132,1984336N05156,WP,MM,DOYLE,15.04,132.38,90,0,1984,12,7,1984/12/07 05:00:00+00
447132,447133,1984336N05156,WP,MM,DOYLE,15.28,132.19,97,0,1984,12,7,1984/12/07 05:00:00+00
447133,447134,1984336N05156,WP,MM,DOYLE,15.47,132.02,105,0,1984,12,7,1984/12/07 05:00:00+00
447134,447135,1984336N05156,WP,MM,DOYLE,15.64,131.88,107,0,1984,12,7,1984/12/07 05:00:00+00
447135,447136,1984336N05156,WP,MM,DOYLE,15.8,131.74,110,0,1984,12,8,1984/12/08 05:00:00+00
447136,447137,1984336N05156,WP,MM,DOYLE,15.95,131.59,112,0,1984,12,8,1984/12/08 05:00:00+00
447137,447138,1984336N05156,WP,MM,DOYLE,16.11,131.42,115,0,1984,12,8,1984/12/08 05:00:00+00
447138,447139,1984336N05156,WP,MM,DOYLE,16.3,131.26,115,0,1984,12,8,1984/12/08 05:00:00+00
447139,447140,1984336N05156,WP,MM,DOYLE,16.52,131.08,115,0,1984,12,8,1984/12/08 05:00:00+00
447140,447141,1984336N05156,WP,MM,DOYLE,16.74,130.88,117,0,1984,12,8,1984/12/08 05:00:00+00
447141,447142,1984336N05156,WP,MM,DOYLE,16.97,130.69,120,0,1984,12,8,1984/12/08 05:00:00+00
447142,447143,1984336N05156,WP,MM,DOYLE,17.22,130.53,122,0,1984,12,8,1984/12/08 05:00:00+00
447143,447144,1984336N05156,WP,MM,DOYLE,17.48,130.4,125,0,1984,12,9,1984/12/09 05:00:00+00
447144,447145,1984336N05156,WP,MM,DOYLE,17.77,130.25,122,0,1984,12,9,1984/12/09 05:00:00+00
447145,447146,1984336N05156,WP,MM,DOYLE,18.08,130.11,120,0,1984,12,9,1984/12/09 05:00:00+00
447146,447147,1984336N05156,WP,MM,DOYLE,18.42,129.98,107,0,1984,12,9,1984/12/09 05:00:00+00
447147,447148,1984336N05156,WP,MM,DOYLE,18.76,129.9,95,0,1984,12,9,1984/12/09 05:00:00+00
447148,447149,1984336N05156,WP,MM,DOYLE,19.04,129.89,80,0,1984,12,9,1984/12/09 05:00:00+00
447149,447150,1984336N05156,WP,MM,DOYLE,19.33,129.95,65,0,1984,12,9,1984/12/09 05:00:00+00
447150,447151,1984336N05156,WP,MM,DOYLE,19.7,130.04,55,0,1984,12,9,1984/12/09 05:00:00+00
447151,447152,1984336N05156,WP,MM,DOYLE,20.12,130.2,45,0,1984,12,10,1984/12/10 05:00:00+00
447152,447153,1984336N05156,WP,MM,DOYLE,20.57,130.42,42,0,1984,12,10,1984/12/10 05:00:00+00
447153,447154,1984336N05156,WP,MM,DOYLE,21.05,130.72,40,0,1984,12,10,1984/12/10 05:00:00+00
447154,447155,1984336N05156,WP,MM,DOYLE,21.52,131.06,40,0,1984,12,10,1984/12/10 05:00:00+00
447155,447156,1984336N05156,WP,MM,DOYLE,21.98,131.46,40,0,1984,12,10,1984/12/10 05:00:00+00
447156,447157,1984336N05156,WP,MM,DOYLE,22.43,131.87,37,0,1984,12,10,1984/12/10 05:00:00+00
447157,447158,1984336N05156,WP,MM,DOYLE,22.89,132.34,35,0,1984,12,10,1984/12/10 05:00:00+00
