Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
641032,641033,2014024S13160,SP,MM,DYLAN,-13.0,160.0,0,0,2014,1,24,2014/01/24 05:00:00+00
641033,641034,2014024S13160,SP,EA,DYLAN,-12.95,159.68,0,0,2014,1,24,2014/01/24 05:00:00+00
641034,641035,2014024S13160,SP,EA,DYLAN,-12.93,159.39,0,0,2014,1,24,2014/01/24 05:00:00+00
641035,641036,2014024S13160,SP,EA,DYLAN,-12.96,159.15,0,0,2014,1,24,2014/01/24 05:00:00+00
641036,641037,2014024S13160,SP,EA,DYLAN,-13.0,159.0,0,0,2014,1,24,2014/01/24 05:00:00+00
641037,641038,2014024S13160,SP,EA,DYLAN,-13.01,158.97,0,0,2014,1,24,2014/01/24 05:00:00+00
641038,641039,2014024S13160,SP,EA,DYLAN,-13.0,159.0,0,0,2014,1,25,2014/01/25 05:00:00+00
641039,641040,2014024S13160,SP,EA,DYLAN,-13.04,159.04,0,0,2014,1,25,2014/01/25 05:00:00+00
641040,641041,2014024S13160,SP,EA,DYLAN,-13.0,159.0,0,0,2014,1,25,2014/01/25 05:00:00+00
641041,641042,2014024S13160,SP,EA,DYLAN,-12.83,158.79,0,0,2014,1,25,2014/01/25 05:00:00+00
641042,641043,2014024S13160,SP,EA,DYLAN,-12.5,158.5,0,0,2014,1,25,2014/01/25 05:00:00+00
641043,641044,2014024S13160,SP,EA,DYLAN,-11.99,158.3,0,0,2014,1,25,2014/01/25 05:00:00+00
641044,641045,2014024S13160,SP,EA,DYLAN,-11.41,157.94,0,0,2014,1,25,2014/01/25 05:00:00+00
641045,641046,2014024S13160,SP,EA,DYLAN,-10.75,157.22,0,0,2014,1,25,2014/01/25 05:00:00+00
641046,641047,2014024S13160,SP,EA,DYLAN,-10.5,156.4,0,0,2014,1,26,2014/01/26 05:00:00+00
641047,641048,2014024S13160,SP,EA,DYLAN,-11.0,155.7,0,0,2014,1,26,2014/01/26 05:00:00+00
641048,641049,2014024S13160,SP,EA,DYLAN,-11.5,155.3,0,0,2014,1,26,2014/01/26 05:00:00+00
641049,641050,2014024S13160,SP,EA,DYLAN,-12.1,154.89,0,0,2014,1,26,2014/01/26 05:00:00+00
641050,641051,2014024S13160,SP,EA,DYLAN,-12.33,154.97,0,0,2014,1,26,2014/01/26 05:00:00+00
641051,641052,2014024S13160,SP,EA,DYLAN,-12.35,155.31,0,0,2014,1,26,2014/01/26 05:00:00+00
641052,641053,2014024S13160,SP,EA,DYLAN,-12.5,155.5,0,0,2014,1,26,2014/01/26 05:00:00+00
641053,641054,2014024S13160,SP,EA,DYLAN,-12.89,155.13,0,0,2014,1,26,2014/01/26 05:00:00+00
641054,641055,2014024S13160,SP,EA,DYLAN,-13.7,154.7,0,0,2014,1,27,2014/01/27 05:00:00+00
641055,641056,2014024S13160,SP,EA,DYLAN,-14.1,154.6,0,0,2014,1,27,2014/01/27 05:00:00+00
641056,641057,2014024S13160,SP,EA,DYLAN,-14.42,154.87,0,0,2014,1,27,2014/01/27 05:00:00+00
641057,641058,2014024S13160,SP,EA,DYLAN,-14.3,155.7,0,0,2014,1,27,2014/01/27 05:00:00+00
641058,641059,2014024S13160,SP,EA,DYLAN,-14.64,155.78,0,0,2014,1,27,2014/01/27 05:00:00+00
641059,641060,2014024S13160,SP,EA,DYLAN,-15.0,155.6,0,0,2014,1,27,2014/01/27 05:00:00+00
641060,641061,2014024S13160,SP,EA,DYLAN,-15.2,155.53,0,0,2014,1,27,2014/01/27 05:00:00+00
641061,641062,2014024S13160,SP,EA,DYLAN,-15.3,155.3,0,0,2014,1,27,2014/01/27 05:00:00+00
641062,641063,2014024S13160,SP,EA,DYLAN,-15.42,155.04,0,0,2014,1,27,2014/01/27 05:00:00+00
641063,641064,2014024S13160,SP,EA,DYLAN,-15.3,154.2,0,0,2014,1,28,2014/01/28 05:00:00+00
641064,641065,2014024S13160,SP,EA,DYLAN,-14.8,152.5,0,0,2014,1,28,2014/01/28 05:00:00+00
641065,641066,2014024S13160,SP,EA,DYLAN,-15.4,152.6,0,0,2014,1,28,2014/01/28 05:00:00+00
641066,641067,2014024S13160,SP,EA,DYLAN,-14.9,151.7,0,0,2014,1,28,2014/01/28 05:00:00+00
641067,641068,2014024S13160,SP,EA,DYLAN,-15.2,151.8,0,0,2014,1,28,2014/01/28 05:00:00+00
641068,641069,2014024S13160,SP,EA,DYLAN,-15.1,151.1,0,0,2014,1,28,2014/01/28 05:00:00+00
641069,641070,2014024S13160,SP,EA,DYLAN,-15.4,151.4,0,0,2014,1,28,2014/01/28 05:00:00+00
641070,641071,2014024S13160,SP,EA,DYLAN,-15.7,151.1,0,0,2014,1,28,2014/01/28 05:00:00+00
641071,641072,2014024S13160,SP,EA,DYLAN,-16.14,151.24,20,1007,2014,1,29,2014/01/29 05:00:00+00
641072,641073,2014024S13160,SP,EA,DYLAN,-16.28,150.79,22,1005,2014,1,29,2014/01/29 05:00:00+00
641073,641074,2014024S13160,SP,EA,DYLAN,-16.6,150.67,25,1004,2014,1,29,2014/01/29 05:00:00+00
641074,641075,2014024S13160,SP,EA,DYLAN,-16.75,150.28,25,1004,2014,1,29,2014/01/29 05:00:00+00
641075,641076,2014024S13160,SP,EA,DYLAN,-16.9,150.0,25,1004,2014,1,29,2014/01/29 05:00:00+00
641076,641077,2014024S13160,SP,EA,DYLAN,-17.08,149.62,27,1002,2014,1,29,2014/01/29 05:00:00+00
641077,641078,2014024S13160,SP,EA,DYLAN,-17.35,149.05,30,1000,2014,1,29,2014/01/29 05:00:00+00
641078,641079,2014024S13160,SP,EA,DYLAN,-17.47,148.78,32,998,2014,1,29,2014/01/29 05:00:00+00
641079,641080,2014024S13160,SP,EA,DYLAN,-17.55,148.6,35,996,2014,1,30,2014/01/30 05:00:00+00
641080,641081,2014024S13160,SP,EA,DYLAN,-17.79,148.48,40,992,2014,1,30,2014/01/30 05:00:00+00
641081,641082,2014024S13160,SP,EA,DYLAN,-18.05,148.35,45,989,2014,1,30,2014/01/30 05:00:00+00
641082,641083,2014024S13160,SP,EA,DYLAN,-18.29,148.36,45,989,2014,1,30,2014/01/30 05:00:00+00
641083,641084,2014024S13160,SP,EA,DYLAN,-18.8,148.45,45,989,2014,1,30,2014/01/30 05:00:00+00
641084,641085,2014024S13160,SP,EA,DYLAN,-19.35,148.57,42,991,2014,1,30,2014/01/30 05:00:00+00
641085,641086,2014024S13160,SP,EA,DYLAN,-19.99,148.5,40,992,2014,1,30,2014/01/30 05:00:00+00
641086,641087,2014024S13160,SP,EA,DYLAN,-20.1,148.5,40,993,2014,1,30,2014/01/30 05:00:00+00
641087,641088,2014024S13160,SP,EA,DYLAN,-20.69,148.12,40,993,2014,1,30,2014/01/30 05:00:00+00
641088,641089,2014024S13160,SP,EA,DYLAN,-21.3,147.85,40,993,2014,1,31,2014/01/31 05:00:00+00
641089,641090,2014024S13160,SP,EA,DYLAN,-21.85,147.37,35,995,2014,1,31,2014/01/31 05:00:00+00
641090,641091,2014024S13160,SP,EA,DYLAN,-22.02,147.16,33,996,2014,1,31,2014/01/31 05:00:00+00
641091,641092,2014024S13160,SP,EA,DYLAN,-22.14,146.99,31,997,2014,1,31,2014/01/31 05:00:00+00
