Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
421512,421513,1980349N10138,WP,MM,ED,9.8,138.0,15,0,1980,12,14,1980/12/14 05:00:00+00
421513,421514,1980349N10138,WP,MM,ED,10.05,137.26,15,0,1980,12,14,1980/12/14 05:00:00+00
421514,421515,1980349N10138,WP,MM,ED,10.29,136.58,15,0,1980,12,14,1980/12/14 05:00:00+00
421515,421516,1980349N10138,WP,MM,ED,10.5,135.99,15,0,1980,12,14,1980/12/14 05:00:00+00
421516,421517,1980349N10138,WP,MM,ED,10.7,135.4,15,0,1980,12,14,1980/12/14 05:00:00+00
421517,421518,1980349N10138,WP,MM,ED,10.94,134.67,15,0,1980,12,14,1980/12/14 05:00:00+00
421518,421519,1980349N10138,WP,MM,ED,11.19,133.86,15,0,1980,12,14,1980/12/14 05:00:00+00
421519,421520,1980349N10138,WP,MM,ED,11.33,133.2,17,0,1980,12,14,1980/12/14 05:00:00+00
421520,421521,1980349N10138,WP,MM,ED,11.44,132.62,20,0,1980,12,15,1980/12/15 05:00:00+00
421521,421522,1980349N10138,WP,MM,ED,11.58,132.06,22,0,1980,12,15,1980/12/15 05:00:00+00
421522,421523,1980349N10138,WP,MM,ED,11.72,131.53,25,0,1980,12,15,1980/12/15 05:00:00+00
421523,421524,1980349N10138,WP,MM,ED,11.83,131.1,30,0,1980,12,15,1980/12/15 05:00:00+00
421524,421525,1980349N10138,WP,MM,ED,11.93,130.72,35,0,1980,12,15,1980/12/15 05:00:00+00
421525,421526,1980349N10138,WP,MM,ED,12.03,130.34,37,0,1980,12,15,1980/12/15 05:00:00+00
421526,421527,1980349N10138,WP,MM,ED,12.13,129.97,40,0,1980,12,15,1980/12/15 05:00:00+00
421527,421528,1980349N10138,WP,MM,ED,12.26,129.61,42,0,1980,12,15,1980/12/15 05:00:00+00
421528,421529,1980349N10138,WP,MM,ED,12.4,129.27,45,0,1980,12,16,1980/12/16 05:00:00+00
421529,421530,1980349N10138,WP,MM,ED,12.54,128.93,47,0,1980,12,16,1980/12/16 05:00:00+00
421530,421531,1980349N10138,WP,MM,ED,12.7,128.62,50,0,1980,12,16,1980/12/16 05:00:00+00
421531,421532,1980349N10138,WP,MM,ED,12.86,128.32,50,0,1980,12,16,1980/12/16 05:00:00+00
421532,421533,1980349N10138,WP,MM,ED,13.03,128.08,50,0,1980,12,16,1980/12/16 05:00:00+00
421533,421534,1980349N10138,WP,MM,ED,13.23,127.91,50,0,1980,12,16,1980/12/16 05:00:00+00
421534,421535,1980349N10138,WP,MM,ED,13.4,127.8,50,0,1980,12,16,1980/12/16 05:00:00+00
421535,421536,1980349N10138,WP,MM,ED,13.49,127.7,47,0,1980,12,16,1980/12/16 05:00:00+00
421536,421537,1980349N10138,WP,MM,ED,13.53,127.62,45,0,1980,12,17,1980/12/17 05:00:00+00
421537,421538,1980349N10138,WP,MM,ED,13.58,127.5,42,0,1980,12,17,1980/12/17 05:00:00+00
