Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
251399,251400,1955234N11318,,,EDITH,11.4,-42.0,25,0,1955,8,21,1955/08/21 04:00:00+00
251400,251401,1955234N11318,,,EDITH,11.71,-42.55,25,0,1955,8,21,1955/08/21 04:00:00+00
251401,251402,1955234N11318,,,EDITH,12.0,-43.1,25,0,1955,8,21,1955/08/21 04:00:00+00
251402,251403,1955234N11318,,,EDITH,12.26,-43.65,25,0,1955,8,21,1955/08/21 04:00:00+00
251403,251404,1955234N11318,,,EDITH,12.5,-44.2,25,0,1955,8,22,1955/08/22 04:00:00+00
251404,251405,1955234N11318,,,EDITH,12.75,-44.74,25,0,1955,8,22,1955/08/22 04:00:00+00
251405,251406,1955234N11318,,,EDITH,13.0,-45.3,25,0,1955,8,22,1955/08/22 04:00:00+00
251406,251407,1955234N11318,,,EDITH,13.25,-45.89,25,0,1955,8,22,1955/08/22 04:00:00+00
251407,251408,1955234N11318,,,EDITH,13.5,-46.5,25,0,1955,8,22,1955/08/22 04:00:00+00
251408,251409,1955234N11318,,,EDITH,13.75,-47.11,25,0,1955,8,22,1955/08/22 04:00:00+00
251409,251410,1955234N11318,,,EDITH,14.0,-47.7,25,0,1955,8,22,1955/08/22 04:00:00+00
251410,251411,1955234N11318,,,EDITH,14.26,-48.26,25,0,1955,8,22,1955/08/22 04:00:00+00
251411,251412,1955234N11318,,,EDITH,14.5,-48.8,25,0,1955,8,23,1955/08/23 04:00:00+00
251412,251413,1955234N11318,,,EDITH,14.71,-49.35,27,0,1955,8,23,1955/08/23 04:00:00+00
251413,251414,1955234N11318,,,EDITH,14.9,-49.9,30,0,1955,8,23,1955/08/23 04:00:00+00
251414,251415,1955234N11318,,,EDITH,15.09,-50.45,37,0,1955,8,23,1955/08/23 04:00:00+00
251415,251416,1955234N11318,,,EDITH,15.3,-51.0,45,0,1955,8,23,1955/08/23 04:00:00+00
251416,251417,1955234N11318,,,EDITH,15.52,-51.55,45,0,1955,8,23,1955/08/23 04:00:00+00
251417,251418,1955234N11318,,,EDITH,15.8,-52.1,45,0,1955,8,23,1955/08/23 04:00:00+00
251418,251419,1955234N11318,,,EDITH,16.16,-52.67,45,0,1955,8,23,1955/08/23 04:00:00+00
251419,251420,1955234N11318,,,EDITH,16.6,-53.2,45,0,1955,8,24,1955/08/24 04:00:00+00
251420,251421,1955234N11318,,,EDITH,17.11,-53.67,45,0,1955,8,24,1955/08/24 04:00:00+00
251421,251422,1955234N11318,,,EDITH,17.7,-54.1,45,0,1955,8,24,1955/08/24 04:00:00+00
