Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
207709,207710,1945204N09137,WP,MM,EDNA,9.4,137.0,0,0,1945,7,23,1945/07/23 04:00:00+00
207710,207711,1945204N09137,WP,MM,EDNA,10.45,138.15,0,0,1945,7,23,1945/07/23 04:00:00+00
207711,207712,1945204N09137,WP,MM,EDNA,11.47,139.28,0,0,1945,7,23,1945/07/23 04:00:00+00
207712,207713,1945204N09137,WP,MM,EDNA,12.42,140.34,0,0,1945,7,23,1945/07/23 04:00:00+00
207713,207714,1945204N09137,WP,MM,EDNA,13.3,141.3,0,0,1945,7,23,1945/07/23 04:00:00+00
207714,207715,1945204N09137,WP,MM,EDNA,14.07,142.14,0,0,1945,7,24,1945/07/24 04:00:00+00
207715,207716,1945204N09137,WP,MM,EDNA,14.75,142.87,0,0,1945,7,24,1945/07/24 04:00:00+00
207716,207717,1945204N09137,WP,MM,EDNA,15.36,143.51,0,0,1945,7,24,1945/07/24 04:00:00+00
207717,207718,1945204N09137,WP,MM,EDNA,15.9,144.1,0,0,1945,7,24,1945/07/24 04:00:00+00
207718,207719,1945204N09137,WP,MM,EDNA,16.4,144.68,0,0,1945,7,24,1945/07/24 04:00:00+00
207719,207720,1945204N09137,WP,MM,EDNA,16.85,145.21,0,0,1945,7,24,1945/07/24 04:00:00+00
207720,207721,1945204N09137,WP,MM,EDNA,17.27,145.71,0,0,1945,7,24,1945/07/24 04:00:00+00
207721,207722,1945204N09137,WP,MM,EDNA,17.7,146.2,0,0,1945,7,24,1945/07/24 04:00:00+00
207722,207723,1945204N09137,WP,MM,EDNA,18.18,146.73,0,0,1945,7,25,1945/07/25 04:00:00+00
207723,207724,1945204N09137,WP,MM,EDNA,18.66,147.26,0,0,1945,7,25,1945/07/25 04:00:00+00
207724,207725,1945204N09137,WP,MM,EDNA,19.14,147.79,0,0,1945,7,25,1945/07/25 04:00:00+00
207725,207726,1945204N09137,WP,MM,EDNA,19.6,148.3,0,0,1945,7,25,1945/07/25 04:00:00+00
