Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
323491,323492,1967194N15243,EP,MM,ELEANOR,15.0,-116.9,25,0,1967,7,13,1967/07/13 04:00:00+00
323492,323493,1967194N15243,EP,MM,ELEANOR,15.3,-117.61,25,0,1967,7,13,1967/07/13 04:00:00+00
323493,323494,1967194N15243,EP,MM,ELEANOR,15.63,-118.35,25,0,1967,7,13,1967/07/13 04:00:00+00
323494,323495,1967194N15243,EP,MM,ELEANOR,15.99,-119.1,25,0,1967,7,13,1967/07/13 04:00:00+00
323495,323496,1967194N15243,EP,MM,ELEANOR,16.3,-119.7,25,0,1967,7,13,1967/07/13 04:00:00+00
323496,323497,1967194N15243,EP,MM,ELEANOR,16.48,-120.0,27,0,1967,7,13,1967/07/13 04:00:00+00
323497,323498,1967194N15243,EP,MM,ELEANOR,16.61,-120.18,30,0,1967,7,13,1967/07/13 04:00:00+00
323498,323499,1967194N15243,EP,MM,ELEANOR,16.75,-120.31,37,0,1967,7,13,1967/07/13 04:00:00+00
323499,323500,1967194N15243,EP,MM,ELEANOR,16.9,-120.7,45,0,1967,7,14,1967/07/14 04:00:00+00
323500,323501,1967194N15243,EP,MM,ELEANOR,17.09,-121.66,45,0,1967,7,14,1967/07/14 04:00:00+00
323501,323502,1967194N15243,EP,MM,ELEANOR,17.3,-122.86,45,0,1967,7,14,1967/07/14 04:00:00+00
323502,323503,1967194N15243,EP,MM,ELEANOR,17.51,-124.02,50,0,1967,7,14,1967/07/14 04:00:00+00
323503,323504,1967194N15243,EP,MM,ELEANOR,17.7,-125.1,55,0,1967,7,14,1967/07/14 04:00:00+00
323504,323505,1967194N15243,EP,MM,ELEANOR,17.86,-126.0,55,0,1967,7,14,1967/07/14 04:00:00+00
323505,323506,1967194N15243,EP,MM,ELEANOR,18.0,-126.81,55,0,1967,7,14,1967/07/14 04:00:00+00
323506,323507,1967194N15243,EP,MM,ELEANOR,18.14,-127.62,55,0,1967,7,14,1967/07/14 04:00:00+00
323507,323508,1967194N15243,EP,MM,ELEANOR,18.3,-128.4,55,0,1967,7,15,1967/07/15 04:00:00+00
323508,323509,1967194N15243,EP,MM,ELEANOR,18.49,-129.16,50,0,1967,7,15,1967/07/15 04:00:00+00
323509,323510,1967194N15243,EP,MM,ELEANOR,18.7,-129.89,45,0,1967,7,15,1967/07/15 04:00:00+00
323510,323511,1967194N15243,EP,MM,ELEANOR,18.95,-130.63,45,0,1967,7,15,1967/07/15 04:00:00+00
323511,323512,1967194N15243,EP,MM,ELEANOR,19.2,-131.3,45,0,1967,7,15,1967/07/15 04:00:00+00
323512,323513,1967194N15243,EP,MM,ELEANOR,19.41,-131.83,40,0,1967,7,15,1967/07/15 04:00:00+00
323513,323514,1967194N15243,EP,MM,ELEANOR,19.6,-132.3,35,0,1967,7,15,1967/07/15 04:00:00+00
323514,323515,1967194N15243,EP,MM,ELEANOR,19.77,-132.8,30,0,1967,7,15,1967/07/15 04:00:00+00
323515,323516,1967194N15243,EP,MM,ELEANOR,19.9,-133.3,25,0,1967,7,16,1967/07/16 04:00:00+00
323516,323517,1967194N15243,EP,MM,ELEANOR,19.97,-133.8,25,0,1967,7,16,1967/07/16 04:00:00+00
323517,323518,1967194N15243,EP,MM,ELEANOR,20.0,-134.3,25,0,1967,7,16,1967/07/16 04:00:00+00
323518,323519,1967194N15243,EP,MM,ELEANOR,20.01,-134.8,25,0,1967,7,16,1967/07/16 04:00:00+00
323519,323520,1967194N15243,EP,MM,ELEANOR,20.0,-135.3,25,0,1967,7,16,1967/07/16 04:00:00+00
323520,323521,1967194N15243,EP,MM,ELEANOR,19.99,-135.8,25,0,1967,7,16,1967/07/16 04:00:00+00
323521,323522,1967194N15243,EP,MM,ELEANOR,20.0,-136.3,25,0,1967,7,16,1967/07/16 04:00:00+00
323522,323523,1967194N15243,EP,MM,ELEANOR,20.04,-136.82,25,0,1967,7,16,1967/07/16 04:00:00+00
323523,323524,1967194N15243,EP,MM,ELEANOR,20.1,-137.3,25,0,1967,7,17,1967/07/17 04:00:00+00
323524,323525,1967194N15243,EP,MM,ELEANOR,20.14,-137.66,25,0,1967,7,17,1967/07/17 04:00:00+00
323525,323526,1967194N15243,EP,MM,ELEANOR,20.2,-138.0,25,0,1967,7,17,1967/07/17 04:00:00+00
323526,323527,1967194N15243,EP,MM,ELEANOR,20.28,-138.42,25,0,1967,7,17,1967/07/17 04:00:00+00
323527,323528,1967194N15243,EP,MM,ELEANOR,20.4,-138.9,25,0,1967,7,17,1967/07/17 04:00:00+00
323528,323529,1967194N15243,EP,MM,ELEANOR,20.54,-139.44,25,0,1967,7,17,1967/07/17 04:00:00+00
323529,323530,1967194N15243,EP,CP,ELEANOR,20.7,-140.0,25,0,1967,7,17,1967/07/17 04:00:00+00
323530,323531,1967194N15243,EP,CP,ELEANOR,20.85,-140.49,25,0,1967,7,17,1967/07/17 04:00:00+00
323531,323532,1967194N15243,EP,CP,ELEANOR,21.0,-141.0,25,0,1967,7,18,1967/07/18 04:00:00+00
323532,323533,1967194N15243,EP,CP,ELEANOR,21.15,-141.6,25,0,1967,7,18,1967/07/18 04:00:00+00
323533,323534,1967194N15243,EP,CP,ELEANOR,21.3,-142.2,25,0,1967,7,18,1967/07/18 04:00:00+00
323534,323535,1967194N15243,EP,CP,ELEANOR,21.46,-142.72,25,0,1967,7,18,1967/07/18 04:00:00+00
323535,323536,1967194N15243,EP,CP,ELEANOR,21.6,-143.2,25,0,1967,7,18,1967/07/18 04:00:00+00
323536,323537,1967194N15243,EP,CP,ELEANOR,21.71,-143.72,25,0,1967,7,18,1967/07/18 04:00:00+00
323537,323538,1967194N15243,EP,CP,ELEANOR,21.8,-144.2,25,0,1967,7,18,1967/07/18 04:00:00+00
323538,323539,1967194N15243,EP,CP,ELEANOR,21.88,-144.59,25,0,1967,7,18,1967/07/18 04:00:00+00
323539,323540,1967194N15243,EP,CP,ELEANOR,22.0,-145.0,25,0,1967,7,19,1967/07/19 04:00:00+00
323540,323541,1967194N15243,EP,CP,ELEANOR,22.24,-145.58,25,0,1967,7,19,1967/07/19 04:00:00+00
323541,323542,1967194N15243,EP,CP,ELEANOR,22.5,-146.2,25,0,1967,7,19,1967/07/19 04:00:00+00
323542,323543,1967194N15243,EP,CP,ELEANOR,22.64,-146.74,25,0,1967,7,19,1967/07/19 04:00:00+00
323543,323544,1967194N15243,EP,CP,ELEANOR,22.8,-147.3,25,0,1967,7,19,1967/07/19 04:00:00+00
323544,323545,1967194N15243,EP,CP,ELEANOR,23.08,-147.99,25,0,1967,7,19,1967/07/19 04:00:00+00
