Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
312641,312642,1965286N17313,,,ELENA,16.5,-47.5,30,0,1965,10,12,1965/10/12 04:00:00+00
312642,312643,1965286N17313,,,ELENA,17.0,-48.0,30,0,1965,10,12,1965/10/12 04:00:00+00
312643,312644,1965286N17313,,,ELENA,17.5,-48.5,30,0,1965,10,12,1965/10/12 04:00:00+00
312644,312645,1965286N17313,,,ELENA,18.0,-49.0,30,0,1965,10,12,1965/10/12 04:00:00+00
312645,312646,1965286N17313,,,ELENA,18.5,-49.5,30,0,1965,10,13,1965/10/13 04:00:00+00
312646,312647,1965286N17313,,,ELENA,19.0,-49.99,32,0,1965,10,13,1965/10/13 04:00:00+00
312647,312648,1965286N17313,,,ELENA,19.5,-50.5,35,0,1965,10,13,1965/10/13 04:00:00+00
312648,312649,1965286N17313,,,ELENA,20.01,-51.04,35,0,1965,10,13,1965/10/13 04:00:00+00
312649,312650,1965286N17313,,,ELENA,20.5,-51.6,35,0,1965,10,13,1965/10/13 04:00:00+00
312650,312651,1965286N17313,,,ELENA,20.96,-52.16,35,0,1965,10,13,1965/10/13 04:00:00+00
312651,312652,1965286N17313,,,ELENA,21.4,-52.7,35,1005,1965,10,13,1965/10/13 04:00:00+00
312652,312653,1965286N17313,,,ELENA,21.86,-53.21,37,0,1965,10,13,1965/10/13 04:00:00+00
312653,312654,1965286N17313,,,ELENA,22.3,-53.7,40,0,1965,10,14,1965/10/14 04:00:00+00
312654,312655,1965286N17313,,,ELENA,22.71,-54.2,40,0,1965,10,14,1965/10/14 04:00:00+00
312655,312656,1965286N17313,,,ELENA,23.1,-54.7,40,0,1965,10,14,1965/10/14 04:00:00+00
312656,312657,1965286N17313,,,ELENA,23.5,-55.21,40,0,1965,10,14,1965/10/14 04:00:00+00
312657,312658,1965286N17313,,,ELENA,23.9,-55.7,40,0,1965,10,14,1965/10/14 04:00:00+00
312658,312659,1965286N17313,,,ELENA,24.33,-56.16,42,0,1965,10,14,1965/10/14 04:00:00+00
312659,312660,1965286N17313,,,ELENA,24.7,-56.6,45,1005,1965,10,14,1965/10/14 04:00:00+00
312660,312661,1965286N17313,,,ELENA,24.93,-57.02,45,1005,1965,10,14,1965/10/14 04:00:00+00
312661,312662,1965286N17313,,,ELENA,25.1,-57.4,45,1005,1965,10,15,1965/10/15 04:00:00+00
312662,312663,1965286N17313,,,ELENA,25.3,-57.72,45,1005,1965,10,15,1965/10/15 04:00:00+00
312663,312664,1965286N17313,,,ELENA,25.5,-58.0,45,1005,1965,10,15,1965/10/15 04:00:00+00
312664,312665,1965286N17313,,,ELENA,25.7,-58.27,47,1003,1965,10,15,1965/10/15 04:00:00+00
312665,312666,1965286N17313,,,ELENA,25.9,-58.5,50,1001,1965,10,15,1965/10/15 04:00:00+00
312666,312667,1965286N17313,,,ELENA,26.09,-58.7,52,998,1965,10,15,1965/10/15 04:00:00+00
312667,312668,1965286N17313,,,ELENA,26.3,-58.9,55,995,1965,10,15,1965/10/15 04:00:00+00
