Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
666457,666458,2018073S12057,SI,MM,ELIAKIM,-11.9,56.8,0,0,2018,3,13,2018/03/13 04:00:00+00
666458,666459,2018073S12057,SI,MM,ELIAKIM,-12.21,56.96,0,0,2018,3,13,2018/03/13 04:00:00+00
666459,666460,2018073S12057,SI,MM,ELIAKIM,-12.38,57.0,25,1004,2018,3,13,2018/03/13 04:00:00+00
666460,666461,2018073S12057,SI,MM,ELIAKIM,-12.64,56.81,25,1004,2018,3,13,2018/03/13 04:00:00+00
666461,666462,2018073S12057,SI,MM,ELIAKIM,-12.87,56.56,25,1004,2018,3,14,2018/03/14 04:00:00+00
666462,666463,2018073S12057,SI,MM,ELIAKIM,-13.06,56.34,27,1002,2018,3,14,2018/03/14 04:00:00+00
666463,666464,2018073S12057,SI,MM,ELIAKIM,-13.25,56.15,30,1000,2018,3,14,2018/03/14 04:00:00+00
666464,666465,2018073S12057,SI,MM,ELIAKIM,-13.48,55.99,30,1000,2018,3,14,2018/03/14 04:00:00+00
666465,666466,2018073S12057,SI,MM,ELIAKIM,-13.7,55.8,30,1000,2018,3,14,2018/03/14 04:00:00+00
666466,666467,2018073S12057,SI,MM,ELIAKIM,-13.86,55.55,30,1000,2018,3,14,2018/03/14 04:00:00+00
666467,666468,2018073S12057,SI,MM,ELIAKIM,-14.05,55.25,30,1000,2018,3,14,2018/03/14 04:00:00+00
666468,666469,2018073S12057,SI,MM,ELIAKIM,-14.35,54.89,32,999,2018,3,14,2018/03/14 04:00:00+00
666469,666470,2018073S12057,SI,MM,ELIAKIM,-14.65,54.5,35,998,2018,3,15,2018/03/15 04:00:00+00
666470,666471,2018073S12057,SI,MM,ELIAKIM,-14.87,54.12,40,995,2018,3,15,2018/03/15 04:00:00+00
666471,666472,2018073S12057,SI,MM,ELIAKIM,-15.05,53.75,45,992,2018,3,15,2018/03/15 04:00:00+00
666472,666473,2018073S12057,SI,MM,ELIAKIM,-15.25,53.43,47,991,2018,3,15,2018/03/15 04:00:00+00
666473,666474,2018073S12057,SI,MM,ELIAKIM,-15.45,53.05,50,990,2018,3,15,2018/03/15 04:00:00+00
666474,666475,2018073S12057,SI,MM,ELIAKIM,-15.65,52.46,52,989,2018,3,15,2018/03/15 04:00:00+00
666475,666476,2018073S12057,SI,MM,ELIAKIM,-15.8,51.85,55,989,2018,3,15,2018/03/15 04:00:00+00
666476,666477,2018073S12057,SI,MM,ELIAKIM,-15.89,51.4,57,987,2018,3,15,2018/03/15 04:00:00+00
666477,666478,2018073S12057,SI,MM,ELIAKIM,-15.9,51.05,60,986,2018,3,16,2018/03/16 04:00:00+00
666478,666479,2018073S12057,SI,MM,ELIAKIM,-15.83,50.77,62,984,2018,3,16,2018/03/16 04:00:00+00
666479,666480,2018073S12057,SI,MM,ELIAKIM,-15.75,50.55,65,982,2018,3,16,2018/03/16 04:00:00+00
666480,666481,2018073S12057,SI,MM,ELIAKIM,-15.77,50.38,62,983,2018,3,16,2018/03/16 04:00:00+00
666481,666482,2018073S12057,SI,MM,ELIAKIM,-15.8,50.2,60,984,2018,3,16,2018/03/16 04:00:00+00
666482,666483,2018073S12057,SI,MM,ELIAKIM,-15.76,49.91,57,986,2018,3,16,2018/03/16 04:00:00+00
666483,666484,2018073S12057,SI,MM,ELIAKIM,-15.7,49.65,55,989,2018,3,16,2018/03/16 04:00:00+00
666484,666485,2018073S12057,SI,MM,ELIAKIM,-15.62,49.56,52,990,2018,3,16,2018/03/16 04:00:00+00
666485,666486,2018073S12057,SI,MM,ELIAKIM,-15.6,49.55,50,991,2018,3,17,2018/03/17 04:00:00+00
666486,666487,2018073S12057,SI,MM,ELIAKIM,-15.69,49.51,47,992,2018,3,17,2018/03/17 04:00:00+00
666487,666488,2018073S12057,SI,MM,ELIAKIM,-15.9,49.5,45,994,2018,3,17,2018/03/17 04:00:00+00
666488,666489,2018073S12057,SI,MM,ELIAKIM,-16.17,49.52,42,995,2018,3,17,2018/03/17 04:00:00+00
666489,666490,2018073S12057,SI,MM,ELIAKIM,-16.55,49.55,40,996,2018,3,17,2018/03/17 04:00:00+00
666490,666491,2018073S12057,SI,MM,ELIAKIM,-17.03,49.56,40,996,2018,3,17,2018/03/17 04:00:00+00
666491,666492,2018073S12057,SI,MM,ELIAKIM,-17.55,49.55,40,996,2018,3,17,2018/03/17 04:00:00+00
666492,666493,2018073S12057,SI,MM,ELIAKIM,-18.02,49.52,40,996,2018,3,17,2018/03/17 04:00:00+00
666493,666494,2018073S12057,SI,MM,ELIAKIM,-18.5,49.45,40,996,2018,3,18,2018/03/18 04:00:00+00
666494,666495,2018073S12057,SI,MM,ELIAKIM,-19.05,49.31,42,994,2018,3,18,2018/03/18 04:00:00+00
666495,666496,2018073S12057,SI,MM,ELIAKIM,-19.55,49.2,45,993,2018,3,18,2018/03/18 04:00:00+00
666496,666497,2018073S12057,SI,MM,ELIAKIM,-19.86,49.23,45,993,2018,3,18,2018/03/18 04:00:00+00
666497,666498,2018073S12057,SI,MM,ELIAKIM,-20.15,49.35,45,993,2018,3,18,2018/03/18 04:00:00+00
666498,666499,2018073S12057,SI,MM,ELIAKIM,-20.6,49.52,45,993,2018,3,18,2018/03/18 04:00:00+00
666499,666500,2018073S12057,SI,MM,ELIAKIM,-21.1,49.7,45,993,2018,3,18,2018/03/18 04:00:00+00
