Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
556818,556819,2000032S11116,SI,WA,ELINE:LEONE,-10.5,115.5,0,0,2000,2,1,2000/02/01 05:00:00+00
556819,556820,2000032S11116,SI,WA,ELINE:LEONE,-10.5,115.23,0,0,2000,2,1,2000/02/01 05:00:00+00
556820,556821,2000032S11116,SI,WA,ELINE:LEONE,-10.5,114.83,0,0,2000,2,1,2000/02/01 05:00:00+00
556821,556822,2000032S11116,SI,WA,ELINE:LEONE,-10.5,114.7,0,0,2000,2,1,2000/02/01 05:00:00+00
556822,556823,2000032S11116,SI,WA,ELINE:LEONE,-10.5,114.43,0,0,2000,2,1,2000/02/01 05:00:00+00
556823,556824,2000032S11116,SI,WA,ELINE:LEONE,-10.5,114.03,0,0,2000,2,1,2000/02/01 05:00:00+00
556824,556825,2000032S11116,SI,WA,ELINE:LEONE,-10.5,113.9,0,0,2000,2,1,2000/02/01 05:00:00+00
556825,556826,2000032S11116,SI,WA,ELINE:LEONE,-10.5,113.66,0,0,2000,2,1,2000/02/01 05:00:00+00
556826,556827,2000032S11116,SI,WA,ELINE:LEONE,-10.5,113.31,0,0,2000,2,1,2000/02/01 05:00:00+00
556827,556828,2000032S11116,SI,WA,ELINE:LEONE,-10.5,113.2,0,0,2000,2,1,2000/02/01 05:00:00+00
556828,556829,2000032S11116,SI,WA,ELINE:LEONE,-10.49,112.97,0,0,2000,2,2,2000/02/02 05:00:00+00
556829,556830,2000032S11116,SI,WA,ELINE:LEONE,-10.49,112.62,0,0,2000,2,2,2000/02/02 05:00:00+00
556830,556831,2000032S11116,SI,WA,ELINE:LEONE,-10.5,112.5,0,0,2000,2,2,2000/02/02 05:00:00+00
556831,556832,2000032S11116,SI,WA,ELINE:LEONE,-10.52,112.26,0,0,2000,2,2,2000/02/02 05:00:00+00
556832,556833,2000032S11116,SI,WA,ELINE:LEONE,-10.57,111.91,0,0,2000,2,2,2000/02/02 05:00:00+00
556833,556834,2000032S11116,SI,WA,ELINE:LEONE,-10.6,111.8,0,0,2000,2,2,2000/02/02 05:00:00+00
556834,556835,2000032S11116,SI,WA,ELINE:LEONE,-10.66,111.6,0,0,2000,2,2,2000/02/02 05:00:00+00
556835,556836,2000032S11116,SI,WA,ELINE:LEONE,-10.76,111.3,0,0,2000,2,2,2000/02/02 05:00:00+00
556836,556837,2000032S11116,SI,WA,ELINE:LEONE,-10.8,111.2,0,0,2000,2,2,2000/02/02 05:00:00+00
556837,556838,2000032S11116,SI,WA,ELINE:LEONE,-10.87,110.97,0,0,2000,2,2,2000/02/02 05:00:00+00
556838,556839,2000032S11116,SI,WA,ELINE:LEONE,-10.97,110.61,0,0,2000,2,2,2000/02/02 05:00:00+00
556839,556840,2000032S11116,SI,WA,ELINE:LEONE,-11.0,110.5,0,0,2000,2,2,2000/02/02 05:00:00+00
556840,556841,2000032S11116,SI,WA,ELINE:LEONE,-11.04,110.33,25,0,2000,2,3,2000/02/03 05:00:00+00
556841,556842,2000032S11116,SI,WA,ELINE:LEONE,-11.13,110.01,25,0,2000,2,3,2000/02/03 05:00:00+00
556842,556843,2000032S11116,SI,WA,ELINE:LEONE,-11.15,109.89,25,0,2000,2,3,2000/02/03 05:00:00+00
556843,556844,2000032S11116,SI,WA,ELINE:LEONE,-11.23,109.63,25,0,2000,2,3,2000/02/03 05:00:00+00
556844,556845,2000032S11116,SI,WA,ELINE:LEONE,-11.38,109.21,25,0,2000,2,3,2000/02/03 05:00:00+00
