Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
606233,606234,2008008S18184,SP,MM,ELISA,-18.0,-175.9,0,0,2008,1,7,2008/01/07 05:00:00+00
606234,606235,2008008S18184,SP,MM,ELISA,-18.04,-175.83,0,0,2008,1,7,2008/01/07 05:00:00+00
606235,606236,2008008S18184,SP,MM,ELISA,-18.11,-175.8,15,1010,2008,1,8,2008/01/08 05:00:00+00
606236,606237,2008008S18184,SP,MM,ELISA,-18.21,-175.8,15,1010,2008,1,8,2008/01/08 05:00:00+00
606237,606238,2008008S18184,SP,MM,ELISA,-18.33,-175.77,15,1010,2008,1,8,2008/01/08 05:00:00+00
606238,606239,2008008S18184,SP,MM,ELISA,-18.48,-175.65,15,1009,2008,1,8,2008/01/08 05:00:00+00
606239,606240,2008008S18184,SP,MM,ELISA,-18.63,-175.53,15,1009,2008,1,8,2008/01/08 05:00:00+00
606240,606241,2008008S18184,SP,MM,ELISA,-18.78,-175.51,20,1006,2008,1,8,2008/01/08 05:00:00+00
606241,606242,2008008S18184,SP,MM,ELISA,-18.93,-175.53,25,1003,2008,1,8,2008/01/08 05:00:00+00
606242,606243,2008008S18184,SP,MM,ELISA,-19.09,-175.56,25,1003,2008,1,8,2008/01/08 05:00:00+00
606243,606244,2008008S18184,SP,MM,ELISA,-19.27,-175.6,25,1003,2008,1,9,2008/01/09 05:00:00+00
606244,606245,2008008S18184,SP,MM,ELISA,-19.45,-175.64,25,1003,2008,1,9,2008/01/09 05:00:00+00
606245,606246,2008008S18184,SP,MM,ELISA,-19.7,-175.67,25,1004,2008,1,9,2008/01/09 05:00:00+00
606246,606247,2008008S18184,SP,MM,ELISA,-20.08,-175.65,27,1002,2008,1,9,2008/01/09 05:00:00+00
606247,606248,2008008S18184,SP,MM,ELISA,-20.47,-175.63,30,1000,2008,1,9,2008/01/09 05:00:00+00
606248,606249,2008008S18184,SP,MM,ELISA,-20.7,-175.65,30,1000,2008,1,9,2008/01/09 05:00:00+00
606249,606250,2008008S18184,SP,MM,ELISA,-20.9,-175.67,30,1000,2008,1,9,2008/01/09 05:00:00+00
606250,606251,2008008S18184,SP,MM,ELISA,-21.16,-175.67,32,998,2008,1,9,2008/01/09 05:00:00+00
606251,606252,2008008S18184,SP,MM,ELISA,-21.43,-175.67,35,996,2008,1,10,2008/01/10 05:00:00+00
606252,606253,2008008S18184,SP,MM,ELISA,-21.69,-175.67,40,992,2008,1,10,2008/01/10 05:00:00+00
606253,606254,2008008S18184,SP,MM,ELISA,-22.0,-175.6,45,989,2008,1,10,2008/01/10 05:00:00+00
606254,606255,2008008S18184,SP,MM,ELISA,-22.46,-175.41,47,987,2008,1,10,2008/01/10 05:00:00+00
606255,606256,2008008S18184,SP,MM,ELISA,-22.9,-175.1,50,985,2008,1,10,2008/01/10 05:00:00+00
606256,606257,2008008S18184,SP,MM,ELISA,-23.16,-174.75,50,985,2008,1,10,2008/01/10 05:00:00+00
606257,606258,2008008S18184,SP,MM,ELISA,-23.37,-174.3,50,985,2008,1,10,2008/01/10 05:00:00+00
606258,606259,2008008S18184,SP,MM,ELISA,-23.64,-173.79,47,987,2008,1,10,2008/01/10 05:00:00+00
606259,606260,2008008S18184,SP,MM,ELISA,-23.93,-173.2,45,989,2008,1,11,2008/01/11 05:00:00+00
606260,606261,2008008S18184,SP,MM,ELISA,-24.27,-172.57,40,992,2008,1,11,2008/01/11 05:00:00+00
606261,606262,2008008S18184,SP,MM,ELISA,-24.53,-171.9,35,996,2008,1,11,2008/01/11 05:00:00+00
606262,606263,2008008S18184,SP,MM,ELISA,-24.6,-171.26,30,1000,2008,1,11,2008/01/11 05:00:00+00
606263,606264,2008008S18184,SP,MM,ELISA,-24.6,-170.53,25,1004,2008,1,11,2008/01/11 05:00:00+00
606264,606265,2008008S18184,SP,MM,ELISA,-24.68,-169.64,25,1004,2008,1,11,2008/01/11 05:00:00+00
