Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
534273,534274,1996339S03094,SI,WA,ELVINA,-3.0,94.0,15,0,1996,12,3,1996/12/03 05:00:00+00
534274,534275,1996339S03094,SI,WA,ELVINA,-3.47,94.02,15,0,1996,12,3,1996/12/03 05:00:00+00
534275,534276,1996339S03094,SI,WA,ELVINA,-3.9,94.0,15,0,1996,12,3,1996/12/03 05:00:00+00
534276,534277,1996339S03094,SI,WA,ELVINA,-4.27,93.91,15,0,1996,12,3,1996/12/03 05:00:00+00
534277,534278,1996339S03094,SI,WA,ELVINA,-4.6,93.8,15,0,1996,12,4,1996/12/04 05:00:00+00
534278,534279,1996339S03094,SI,WA,ELVINA,-4.91,93.73,15,0,1996,12,4,1996/12/04 05:00:00+00
534279,534280,1996339S03094,SI,WA,ELVINA,-5.2,93.7,15,0,1996,12,4,1996/12/04 05:00:00+00
534280,534281,1996339S03094,SI,WA,ELVINA,-5.51,93.68,15,0,1996,12,4,1996/12/04 05:00:00+00
534281,534282,1996339S03094,SI,WA,ELVINA,-5.8,93.7,15,0,1996,12,4,1996/12/04 05:00:00+00
534282,534283,1996339S03094,SI,WA,ELVINA,-6.06,93.78,15,0,1996,12,4,1996/12/04 05:00:00+00
534283,534284,1996339S03094,SI,WA,ELVINA,-6.3,93.9,15,0,1996,12,4,1996/12/04 05:00:00+00
534284,534285,1996339S03094,SI,WA,ELVINA,-6.55,94.04,15,0,1996,12,4,1996/12/04 05:00:00+00
534285,534286,1996339S03094,SI,WA,ELVINA,-6.8,94.2,15,0,1996,12,5,1996/12/05 05:00:00+00
534286,534287,1996339S03094,SI,WA,ELVINA,-7.05,94.34,15,0,1996,12,5,1996/12/05 05:00:00+00
534287,534288,1996339S03094,SI,WA,ELVINA,-7.3,94.5,15,0,1996,12,5,1996/12/05 05:00:00+00
534288,534289,1996339S03094,SI,WA,ELVINA,-7.55,94.72,15,0,1996,12,5,1996/12/05 05:00:00+00
534289,534290,1996339S03094,SI,WA,ELVINA,-7.8,94.9,15,0,1996,12,5,1996/12/05 05:00:00+00
534290,534291,1996339S03094,SI,WA,ELVINA,-8.05,95.0,15,0,1996,12,5,1996/12/05 05:00:00+00
534291,534292,1996339S03094,SI,WA,ELVINA,-8.3,95.0,15,0,1996,12,5,1996/12/05 05:00:00+00
534292,534293,1996339S03094,SI,WA,ELVINA,-8.56,94.89,15,0,1996,12,5,1996/12/05 05:00:00+00
534293,534294,1996339S03094,SI,WA,ELVINA,-8.8,94.7,15,0,1996,12,6,1996/12/06 05:00:00+00
534294,534295,1996339S03094,SI,WA,ELVINA,-8.96,94.52,15,0,1996,12,6,1996/12/06 05:00:00+00
534295,534296,1996339S03094,SI,WA,ELVINA,-9.1,94.3,15,0,1996,12,6,1996/12/06 05:00:00+00
534296,534297,1996339S03094,SI,WA,ELVINA,-9.26,94.06,15,0,1996,12,6,1996/12/06 05:00:00+00
534297,534298,1996339S03094,SI,WA,ELVINA,-9.4,93.8,15,0,1996,12,6,1996/12/06 05:00:00+00
534298,534299,1996339S03094,SI,WA,ELVINA,-9.51,93.51,15,0,1996,12,6,1996/12/06 05:00:00+00
534299,534300,1996339S03094,SI,WA,ELVINA,-9.6,93.2,15,0,1996,12,6,1996/12/06 05:00:00+00
534300,534301,1996339S03094,SI,WA,ELVINA,-9.65,92.91,15,0,1996,12,6,1996/12/06 05:00:00+00
534301,534302,1996339S03094,SI,WA,ELVINA,-9.7,92.6,15,0,1996,12,7,1996/12/07 05:00:00+00
534302,534303,1996339S03094,SI,WA,ELVINA,-9.8,92.24,15,0,1996,12,7,1996/12/07 05:00:00+00
534303,534304,1996339S03094,SI,WA,ELVINA,-9.9,91.9,15,0,1996,12,7,1996/12/07 05:00:00+00
534304,534305,1996339S03094,SI,WA,ELVINA,-9.96,91.67,15,0,1996,12,7,1996/12/07 05:00:00+00
534305,534306,1996339S03094,SI,WA,ELVINA,-10.0,91.5,15,0,1996,12,7,1996/12/07 05:00:00+00
534306,534307,1996339S03094,SI,WA,ELVINA,-10.04,91.34,17,0,1996,12,7,1996/12/07 05:00:00+00
534307,534308,1996339S03094,SI,WA,ELVINA,-10.1,91.2,20,0,1996,12,7,1996/12/07 05:00:00+00
534308,534309,1996339S03094,SI,WA,ELVINA,-10.23,91.04,20,0,1996,12,7,1996/12/07 05:00:00+00
534309,534310,1996339S03094,SI,WA,ELVINA,-10.4,90.9,20,0,1996,12,8,1996/12/08 05:00:00+00
534310,534311,1996339S03094,SI,WA,ELVINA,-10.59,90.79,22,0,1996,12,8,1996/12/08 05:00:00+00
534311,534312,1996339S03094,SI,WA,ELVINA,-10.8,90.7,25,0,1996,12,8,1996/12/08 05:00:00+00
534312,534313,1996339S03094,SI,WA,ELVINA,-11.04,90.61,25,0,1996,12,8,1996/12/08 05:00:00+00
534313,534314,1996339S03094,SI,WA,ELVINA,-11.34,90.68,25,0,1996,12,8,1996/12/08 05:00:00+00
534314,534315,1996339S03094,SI,WA,ELVINA,-11.65,90.64,25,0,1996,12,8,1996/12/08 05:00:00+00
534315,534316,1996339S03094,SI,WA,ELVINA,-11.93,90.45,25,0,1996,12,8,1996/12/08 05:00:00+00
534316,534317,1996339S03094,SI,WA,ELVINA,-12.19,90.1,25,0,1996,12,8,1996/12/08 05:00:00+00
534317,534318,1996339S03094,SI,MM,ELVINA,-12.4,89.6,25,0,1996,12,9,1996/12/09 05:00:00+00
534318,534319,1996339S03094,SI,MM,ELVINA,-12.55,89.02,27,0,1996,12,9,1996/12/09 05:00:00+00
534319,534320,1996339S03094,SI,MM,ELVINA,-12.63,88.4,30,0,1996,12,9,1996/12/09 05:00:00+00
534320,534321,1996339S03094,SI,MM,ELVINA,-12.68,87.82,30,0,1996,12,9,1996/12/09 05:00:00+00
534321,534322,1996339S03094,SI,MM,ELVINA,-12.7,87.23,30,0,1996,12,9,1996/12/09 05:00:00+00
534322,534323,1996339S03094,SI,MM,ELVINA,-12.7,86.58,32,0,1996,12,9,1996/12/09 05:00:00+00
534323,534324,1996339S03094,SI,MM,ELVINA,-12.7,85.93,35,0,1996,12,9,1996/12/09 05:00:00+00
534324,534325,1996339S03094,SI,MM,ELVINA,-12.75,85.33,35,0,1996,12,9,1996/12/09 05:00:00+00
534325,534326,1996339S03094,SI,MM,ELVINA,-12.83,84.77,35,0,1996,12,10,1996/12/10 05:00:00+00
534326,534327,1996339S03094,SI,MM,ELVINA,-12.92,84.22,35,0,1996,12,10,1996/12/10 05:00:00+00
534327,534328,1996339S03094,SI,MM,ELVINA,-13.0,83.7,35,0,1996,12,10,1996/12/10 05:00:00+00
534328,534329,1996339S03094,SI,MM,ELVINA,-13.06,83.22,35,0,1996,12,10,1996/12/10 05:00:00+00
