Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
654954,654955,2016075S11087,SI,MM,EMERAUDE,-11.3,87.3,0,0,2016,3,14,2016/03/14 04:00:00+00
654955,654956,2016075S11087,SI,MM,EMERAUDE,-11.24,87.21,0,0,2016,3,14,2016/03/14 04:00:00+00
654956,654957,2016075S11087,SI,MM,EMERAUDE,-11.2,87.1,0,0,2016,3,15,2016/03/15 04:00:00+00
654957,654958,2016075S11087,SI,MM,EMERAUDE,-11.19,86.97,0,0,2016,3,15,2016/03/15 04:00:00+00
654958,654959,2016075S11087,SI,MM,EMERAUDE,-11.22,86.8,25,1004,2016,3,15,2016/03/15 04:00:00+00
654959,654960,2016075S11087,SI,MM,EMERAUDE,-11.27,86.59,27,1002,2016,3,15,2016/03/15 04:00:00+00
654960,654961,2016075S11087,SI,MM,EMERAUDE,-11.3,86.36,30,1000,2016,3,15,2016/03/15 04:00:00+00
654961,654962,2016075S11087,SI,MM,EMERAUDE,-11.27,86.1,35,996,2016,3,15,2016/03/15 04:00:00+00
654962,654963,2016075S11087,SI,MM,EMERAUDE,-11.2,85.85,40,993,2016,3,15,2016/03/15 04:00:00+00
654963,654964,2016075S11087,SI,MM,EMERAUDE,-11.11,85.59,47,987,2016,3,15,2016/03/15 04:00:00+00
654964,654965,2016075S11087,SI,MM,EMERAUDE,-11.0,85.35,55,982,2016,3,16,2016/03/16 04:00:00+00
654965,654966,2016075S11087,SI,MM,EMERAUDE,-10.9,85.14,60,978,2016,3,16,2016/03/16 04:00:00+00
654966,654967,2016075S11087,SI,MM,EMERAUDE,-10.8,84.95,65,974,2016,3,16,2016/03/16 04:00:00+00
654967,654968,2016075S11087,SI,MM,EMERAUDE,-10.69,84.78,70,970,2016,3,16,2016/03/16 04:00:00+00
654968,654969,2016075S11087,SI,MM,EMERAUDE,-10.6,84.65,75,967,2016,3,16,2016/03/16 04:00:00+00
654969,654970,2016075S11087,SI,MM,EMERAUDE,-10.54,84.57,82,961,2016,3,16,2016/03/16 04:00:00+00
654970,654971,2016075S11087,SI,MM,EMERAUDE,-10.5,84.5,90,956,2016,3,16,2016/03/16 04:00:00+00
654971,654972,2016075S11087,SI,MM,EMERAUDE,-10.46,84.4,97,950,2016,3,16,2016/03/16 04:00:00+00
654972,654973,2016075S11087,SI,MM,EMERAUDE,-10.45,84.3,105,944,2016,3,17,2016/03/17 04:00:00+00
654973,654974,2016075S11087,SI,MM,EMERAUDE,-10.46,84.19,115,936,2016,3,17,2016/03/17 04:00:00+00
654974,654975,2016075S11087,SI,MM,EMERAUDE,-10.5,84.1,125,929,2016,3,17,2016/03/17 04:00:00+00
654975,654976,2016075S11087,SI,MM,EMERAUDE,-10.59,84.04,120,933,2016,3,17,2016/03/17 04:00:00+00
654976,654977,2016075S11087,SI,MM,EMERAUDE,-10.65,84.0,115,937,2016,3,17,2016/03/17 04:00:00+00
654977,654978,2016075S11087,SI,MM,EMERAUDE,-10.6,83.92,110,940,2016,3,17,2016/03/17 04:00:00+00
654978,654979,2016075S11087,SI,MM,EMERAUDE,-10.45,83.9,105,944,2016,3,17,2016/03/17 04:00:00+00
654979,654980,2016075S11087,SI,MM,EMERAUDE,-10.22,84.03,95,952,2016,3,17,2016/03/17 04:00:00+00
654980,654981,2016075S11087,SI,MM,EMERAUDE,-10.1,84.25,90,956,2016,3,18,2016/03/18 04:00:00+00
654981,654982,2016075S11087,SI,MM,EMERAUDE,-10.04,84.54,85,959,2016,3,18,2016/03/18 04:00:00+00
654982,654983,2016075S11087,SI,MM,EMERAUDE,-10.05,84.85,80,963,2016,3,18,2016/03/18 04:00:00+00
654983,654984,2016075S11087,SI,MM,EMERAUDE,-10.14,85.1,72,968,2016,3,18,2016/03/18 04:00:00+00
654984,654985,2016075S11087,SI,MM,EMERAUDE,-10.25,85.35,65,974,2016,3,18,2016/03/18 04:00:00+00
654985,654986,2016075S11087,SI,MM,EMERAUDE,-10.31,85.64,62,976,2016,3,18,2016/03/18 04:00:00+00
654986,654987,2016075S11087,SI,MM,EMERAUDE,-10.35,85.95,60,978,2016,3,18,2016/03/18 04:00:00+00
654987,654988,2016075S11087,SI,MM,EMERAUDE,-10.4,86.27,62,976,2016,3,18,2016/03/18 04:00:00+00
654988,654989,2016075S11087,SI,MM,EMERAUDE,-10.45,86.55,65,974,2016,3,19,2016/03/19 04:00:00+00
654989,654990,2016075S11087,SI,MM,EMERAUDE,-10.5,86.78,67,972,2016,3,19,2016/03/19 04:00:00+00
654990,654991,2016075S11087,SI,MM,EMERAUDE,-10.55,86.95,70,970,2016,3,19,2016/03/19 04:00:00+00
654991,654992,2016075S11087,SI,MM,EMERAUDE,-10.63,87.09,72,968,2016,3,19,2016/03/19 04:00:00+00
654992,654993,2016075S11087,SI,MM,EMERAUDE,-10.7,87.2,75,967,2016,3,19,2016/03/19 04:00:00+00
654993,654994,2016075S11087,SI,MM,EMERAUDE,-10.74,87.28,75,967,2016,3,19,2016/03/19 04:00:00+00
654994,654995,2016075S11087,SI,MM,EMERAUDE,-10.75,87.35,75,967,2016,3,19,2016/03/19 04:00:00+00
654995,654996,2016075S11087,SI,MM,EMERAUDE,-10.74,87.44,70,970,2016,3,19,2016/03/19 04:00:00+00
654996,654997,2016075S11087,SI,MM,EMERAUDE,-10.7,87.5,65,974,2016,3,20,2016/03/20 04:00:00+00
654997,654998,2016075S11087,SI,MM,EMERAUDE,-10.64,87.49,60,978,2016,3,20,2016/03/20 04:00:00+00
654998,654999,2016075S11087,SI,MM,EMERAUDE,-10.6,87.45,55,982,2016,3,20,2016/03/20 04:00:00+00
654999,655000,2016075S11087,SI,MM,EMERAUDE,-10.63,87.4,52,983,2016,3,20,2016/03/20 04:00:00+00
655000,655001,2016075S11087,SI,MM,EMERAUDE,-10.7,87.35,50,985,2016,3,20,2016/03/20 04:00:00+00
655001,655002,2016075S11087,SI,MM,EMERAUDE,-10.76,87.35,47,987,2016,3,20,2016/03/20 04:00:00+00
655002,655003,2016075S11087,SI,MM,EMERAUDE,-10.85,87.35,45,989,2016,3,20,2016/03/20 04:00:00+00
655003,655004,2016075S11087,SI,MM,EMERAUDE,-10.99,87.29,42,991,2016,3,20,2016/03/20 04:00:00+00
655004,655005,2016075S11087,SI,MM,EMERAUDE,-11.15,87.2,40,993,2016,3,21,2016/03/21 04:00:00+00
655005,655006,2016075S11087,SI,MM,EMERAUDE,-11.3,87.08,37,994,2016,3,21,2016/03/21 04:00:00+00
655006,655007,2016075S11087,SI,MM,EMERAUDE,-11.43,86.96,35,996,2016,3,21,2016/03/21 04:00:00+00
655007,655008,2016075S11087,SI,MM,EMERAUDE,-11.59,86.87,30,1000,2016,3,21,2016/03/21 04:00:00+00
655008,655009,2016075S11087,SI,MM,EMERAUDE,-11.7,86.84,25,1004,2016,3,21,2016/03/21 04:00:00+00
655009,655010,2016075S11087,SI,MM,EMERAUDE,-11.62,86.97,0,0,2016,3,21,2016/03/21 04:00:00+00
655010,655011,2016075S11087,SI,MM,EMERAUDE,-11.4,87.0,0,0,2016,3,21,2016/03/21 04:00:00+00
655011,655012,2016075S11087,SI,MM,EMERAUDE,-11.12,86.89,0,0,2016,3,21,2016/03/21 04:00:00+00
655012,655013,2016075S11087,SI,MM,EMERAUDE,-10.9,86.7,0,0,2016,3,22,2016/03/22 04:00:00+00
655013,655014,2016075S11087,SI,MM,EMERAUDE,-10.91,86.48,0,0,2016,3,22,2016/03/22 04:00:00+00
655014,655015,2016075S11087,SI,MM,EMERAUDE,-11.0,86.2,0,0,2016,3,22,2016/03/22 04:00:00+00
655015,655016,2016075S11087,SI,MM,EMERAUDE,-11.01,85.86,0,0,2016,3,22,2016/03/22 04:00:00+00
655016,655017,2016075S11087,SI,MM,EMERAUDE,-11.0,85.5,0,0,2016,3,22,2016/03/22 04:00:00+00
655017,655018,2016075S11087,SI,MM,EMERAUDE,-10.99,85.21,0,0,2016,3,22,2016/03/22 04:00:00+00
655018,655019,2016075S11087,SI,MM,EMERAUDE,-11.0,84.9,0,0,2016,3,22,2016/03/22 04:00:00+00
655019,655020,2016075S11087,SI,MM,EMERAUDE,-11.01,84.52,0,0,2016,3,22,2016/03/22 04:00:00+00
655020,655021,2016075S11087,SI,MM,EMERAUDE,-11.1,84.1,0,0,2016,3,23,2016/03/23 04:00:00+00
655021,655022,2016075S11087,SI,MM,EMERAUDE,-11.31,83.66,0,0,2016,3,23,2016/03/23 04:00:00+00
