Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
236682,236683,1952180N05144,WP,MM,EMMA,5.35,143.6,25,0,1952,6,28,1952/06/28 04:00:00+00
236683,236684,1952180N05144,WP,MM,EMMA,5.74,143.52,27,0,1952,6,28,1952/06/28 04:00:00+00
236684,236685,1952180N05144,WP,MM,EMMA,6.12,143.43,30,0,1952,6,28,1952/06/28 04:00:00+00
236685,236686,1952180N05144,WP,MM,EMMA,6.46,143.31,32,0,1952,6,28,1952/06/28 04:00:00+00
236686,236687,1952180N05144,WP,MM,EMMA,6.78,143.15,35,0,1952,6,28,1952/06/28 04:00:00+00
236687,236688,1952180N05144,WP,MM,EMMA,7.11,142.96,40,0,1952,6,28,1952/06/28 04:00:00+00
236688,236689,1952180N05144,WP,MM,EMMA,7.41,142.71,45,0,1952,6,28,1952/06/28 04:00:00+00
236689,236690,1952180N05144,WP,MM,EMMA,7.68,142.4,47,0,1952,6,28,1952/06/28 04:00:00+00
236690,236691,1952180N05144,WP,MM,EMMA,7.92,142.02,50,0,1952,6,29,1952/06/29 04:00:00+00
236691,236692,1952180N05144,WP,MM,EMMA,8.1,141.6,57,0,1952,6,29,1952/06/29 04:00:00+00
236692,236693,1952180N05144,WP,MM,EMMA,8.25,141.1,65,0,1952,6,29,1952/06/29 04:00:00+00
236693,236694,1952180N05144,WP,MM,EMMA,8.43,140.5,70,0,1952,6,29,1952/06/29 04:00:00+00
236694,236695,1952180N05144,WP,MM,EMMA,8.6,139.87,75,0,1952,6,29,1952/06/29 04:00:00+00
236695,236696,1952180N05144,WP,MM,EMMA,8.73,139.32,75,0,1952,6,29,1952/06/29 04:00:00+00
236696,236697,1952180N05144,WP,MM,EMMA,8.83,138.74,75,0,1952,6,29,1952/06/29 04:00:00+00
236697,236698,1952180N05144,WP,MM,EMMA,8.9,138.06,75,0,1952,6,29,1952/06/29 04:00:00+00
236698,236699,1952180N05144,WP,MM,EMMA,8.97,137.32,75,0,1952,6,30,1952/06/30 04:00:00+00
236699,236700,1952180N05144,WP,MM,EMMA,9.07,136.53,75,0,1952,6,30,1952/06/30 04:00:00+00
236700,236701,1952180N05144,WP,MM,EMMA,9.16,135.73,75,0,1952,6,30,1952/06/30 04:00:00+00
236701,236702,1952180N05144,WP,MM,EMMA,9.23,134.94,75,0,1952,6,30,1952/06/30 04:00:00+00
236702,236703,1952180N05144,WP,MM,EMMA,9.27,134.17,75,0,1952,6,30,1952/06/30 04:00:00+00
236703,236704,1952180N05144,WP,MM,EMMA,9.29,133.39,77,0,1952,6,30,1952/06/30 04:00:00+00
236704,236705,1952180N05144,WP,MM,EMMA,9.3,132.65,80,0,1952,6,30,1952/06/30 04:00:00+00
236705,236706,1952180N05144,WP,MM,EMMA,9.31,131.94,80,0,1952,6,30,1952/06/30 04:00:00+00
236706,236707,1952180N05144,WP,MM,EMMA,9.32,131.3,80,0,1952,7,1,1952/07/01 04:00:00+00
236707,236708,1952180N05144,WP,MM,EMMA,9.32,130.73,90,0,1952,7,1,1952/07/01 04:00:00+00
236708,236709,1952180N05144,WP,MM,EMMA,9.34,130.19,100,0,1952,7,1,1952/07/01 04:00:00+00
236709,236710,1952180N05144,WP,MM,EMMA,9.39,129.61,105,0,1952,7,1,1952/07/01 04:00:00+00
236710,236711,1952180N05144,WP,MM,EMMA,9.45,129.02,110,0,1952,7,1,1952/07/01 04:00:00+00
236711,236712,1952180N05144,WP,MM,EMMA,9.5,128.41,110,0,1952,7,1,1952/07/01 04:00:00+00
236712,236713,1952180N05144,WP,MM,EMMA,9.57,127.79,110,0,1952,7,1,1952/07/01 04:00:00+00
236713,236714,1952180N05144,WP,MM,EMMA,9.63,127.19,110,0,1952,7,1,1952/07/01 04:00:00+00
236714,236715,1952180N05144,WP,MM,EMMA,9.73,126.57,110,0,1952,7,2,1952/07/02 04:00:00+00
236715,236716,1952180N05144,WP,MM,EMMA,9.89,125.87,100,0,1952,7,2,1952/07/02 04:00:00+00
236716,236717,1952180N05144,WP,MM,EMMA,10.08,125.16,90,0,1952,7,2,1952/07/02 04:00:00+00
236717,236718,1952180N05144,WP,MM,EMMA,10.27,124.5,77,0,1952,7,2,1952/07/02 04:00:00+00
236718,236719,1952180N05144,WP,MM,EMMA,10.47,123.87,65,0,1952,7,2,1952/07/02 04:00:00+00
236719,236720,1952180N05144,WP,MM,EMMA,10.65,123.24,62,0,1952,7,2,1952/07/02 04:00:00+00
236720,236721,1952180N05144,WP,MM,EMMA,10.83,122.65,60,0,1952,7,2,1952/07/02 04:00:00+00
236721,236722,1952180N05144,WP,MM,EMMA,11.02,122.12,55,0,1952,7,2,1952/07/02 04:00:00+00
236722,236723,1952180N05144,WP,MM,EMMA,11.22,121.63,50,0,1952,7,3,1952/07/03 04:00:00+00
236723,236724,1952180N05144,WP,MM,EMMA,11.41,121.16,52,0,1952,7,3,1952/07/03 04:00:00+00
236724,236725,1952180N05144,WP,MM,EMMA,11.62,120.71,55,0,1952,7,3,1952/07/03 04:00:00+00
236725,236726,1952180N05144,WP,MM,EMMA,11.87,120.29,57,0,1952,7,3,1952/07/03 04:00:00+00
236726,236727,1952180N05144,WP,MM,EMMA,12.13,119.87,60,0,1952,7,3,1952/07/03 04:00:00+00
236727,236728,1952180N05144,WP,MM,EMMA,12.38,119.42,65,0,1952,7,3,1952/07/03 04:00:00+00
236728,236729,1952180N05144,WP,MM,EMMA,12.63,118.97,70,0,1952,7,3,1952/07/03 04:00:00+00
236729,236730,1952180N05144,WP,MM,EMMA,12.87,118.55,75,0,1952,7,3,1952/07/03 04:00:00+00
236730,236731,1952180N05144,WP,MM,EMMA,13.17,118.13,80,0,1952,7,4,1952/07/04 04:00:00+00
236731,236732,1952180N05144,WP,MM,EMMA,13.59,117.67,82,0,1952,7,4,1952/07/04 04:00:00+00
236732,236733,1952180N05144,WP,MM,EMMA,14.12,117.19,85,0,1952,7,4,1952/07/04 04:00:00+00
236733,236734,1952180N05144,WP,MM,EMMA,14.71,116.71,85,0,1952,7,4,1952/07/04 04:00:00+00
236734,236735,1952180N05144,WP,MM,EMMA,15.32,116.22,85,0,1952,7,4,1952/07/04 04:00:00+00
236735,236736,1952180N05144,WP,MM,EMMA,15.85,115.73,87,0,1952,7,4,1952/07/04 04:00:00+00
236736,236737,1952180N05144,WP,MM,EMMA,16.37,115.24,90,0,1952,7,4,1952/07/04 04:00:00+00
236737,236738,1952180N05144,WP,MM,EMMA,16.94,114.79,90,0,1952,7,4,1952/07/04 04:00:00+00
236738,236739,1952180N05144,WP,MM,EMMA,17.48,114.32,90,0,1952,7,5,1952/07/05 04:00:00+00
236739,236740,1952180N05144,WP,MM,EMMA,17.98,113.79,95,0,1952,7,5,1952/07/05 04:00:00+00
236740,236741,1952180N05144,WP,MM,EMMA,18.43,113.23,100,0,1952,7,5,1952/07/05 04:00:00+00
236741,236742,1952180N05144,WP,MM,EMMA,18.83,112.69,97,0,1952,7,5,1952/07/05 04:00:00+00
236742,236743,1952180N05144,WP,MM,EMMA,19.18,112.15,95,0,1952,7,5,1952/07/05 04:00:00+00
236743,236744,1952180N05144,WP,MM,EMMA,19.52,111.6,90,0,1952,7,5,1952/07/05 04:00:00+00
236744,236745,1952180N05144,WP,MM,EMMA,19.83,111.04,85,0,1952,7,5,1952/07/05 04:00:00+00
236745,236746,1952180N05144,WP,MM,EMMA,20.11,110.47,77,0,1952,7,5,1952/07/05 04:00:00+00
236746,236747,1952180N05144,WP,MM,EMMA,20.4,109.9,70,0,1952,7,6,1952/07/06 04:00:00+00
236747,236748,1952180N05144,WP,MM,EMMA,20.75,109.38,60,0,1952,7,6,1952/07/06 04:00:00+00
