Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
416147,416148,1980043S16131,SI,WA,ENID,-16.3,130.9,0,0,1980,2,12,1980/02/12 05:00:00+00
416148,416149,1980043S16131,SI,WA,ENID,-16.16,130.82,0,0,1980,2,12,1980/02/12 05:00:00+00
416149,416150,1980043S16131,SI,WA,ENID,-16.0,130.7,0,0,1980,2,12,1980/02/12 05:00:00+00
416150,416151,1980043S16131,SI,WA,ENID,-15.79,130.52,0,0,1980,2,12,1980/02/12 05:00:00+00
416151,416152,1980043S16131,SI,WA,ENID,-15.6,130.3,0,0,1980,2,12,1980/02/12 05:00:00+00
416152,416153,1980043S16131,SI,WA,ENID,-15.47,130.06,0,0,1980,2,12,1980/02/12 05:00:00+00
416153,416154,1980043S16131,SI,WA,ENID,-15.4,129.8,0,0,1980,2,12,1980/02/12 05:00:00+00
416154,416155,1980043S16131,SI,WA,ENID,-15.35,129.51,0,0,1980,2,12,1980/02/12 05:00:00+00
416155,416156,1980043S16131,SI,WA,ENID,-15.4,129.2,0,0,1980,2,13,1980/02/13 05:00:00+00
416156,416157,1980043S16131,SI,WA,ENID,-15.62,128.86,0,0,1980,2,13,1980/02/13 05:00:00+00
416157,416158,1980043S16131,SI,WA,ENID,-15.9,128.5,0,0,1980,2,13,1980/02/13 05:00:00+00
416158,416159,1980043S16131,SI,WA,ENID,-16.11,128.14,0,0,1980,2,13,1980/02/13 05:00:00+00
416159,416160,1980043S16131,SI,WA,ENID,-16.3,127.8,0,0,1980,2,13,1980/02/13 05:00:00+00
416160,416161,1980043S16131,SI,WA,ENID,-16.46,127.52,0,0,1980,2,13,1980/02/13 05:00:00+00
416161,416162,1980043S16131,SI,WA,ENID,-16.6,127.2,0,0,1980,2,13,1980/02/13 05:00:00+00
416162,416163,1980043S16131,SI,WA,ENID,-16.72,126.77,0,0,1980,2,13,1980/02/13 05:00:00+00
416163,416164,1980043S16131,SI,WA,ENID,-16.8,126.3,0,0,1980,2,14,1980/02/14 05:00:00+00
416164,416165,1980043S16131,SI,WA,ENID,-16.86,125.91,0,0,1980,2,14,1980/02/14 05:00:00+00
416165,416166,1980043S16131,SI,WA,ENID,-16.9,125.5,0,0,1980,2,14,1980/02/14 05:00:00+00
416166,416167,1980043S16131,SI,WA,ENID,-16.94,125.04,0,0,1980,2,14,1980/02/14 05:00:00+00
416167,416168,1980043S16131,SI,WA,ENID,-17.0,124.67,30,0,1980,2,14,1980/02/14 05:00:00+00
416168,416169,1980043S16131,SI,WA,ENID,-17.04,124.16,40,0,1980,2,14,1980/02/14 05:00:00+00
