Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
336206,336207,1969036S13080,SI,MM,ENID:FANNY,-12.9,80.3,0,0,1969,2,4,1969/02/04 05:00:00+00
336207,336208,1969036S13080,SI,MM,ENID:FANNY,-13.0,80.65,0,0,1969,2,4,1969/02/04 05:00:00+00
336208,336209,1969036S13080,SI,MM,ENID:FANNY,-13.1,81.01,0,0,1969,2,5,1969/02/05 05:00:00+00
336209,336210,1969036S13080,SI,MM,ENID:FANNY,-13.13,81.12,0,0,1969,2,5,1969/02/05 05:00:00+00
336210,336211,1969036S13080,SI,MM,ENID:FANNY,-13.24,81.37,0,0,1969,2,5,1969/02/05 05:00:00+00
336211,336212,1969036S13080,SI,MM,ENID:FANNY,-13.38,81.63,0,0,1969,2,5,1969/02/05 05:00:00+00
336212,336213,1969036S13080,SI,MM,ENID:FANNY,-13.62,81.93,0,0,1969,2,5,1969/02/05 05:00:00+00
336213,336214,1969036S13080,SI,MM,ENID:FANNY,-13.86,82.17,0,0,1969,2,5,1969/02/05 05:00:00+00
336214,336215,1969036S13080,SI,MM,ENID:FANNY,-14.2,82.47,0,0,1969,2,5,1969/02/05 05:00:00+00
336215,336216,1969036S13080,SI,MM,ENID:FANNY,-14.32,82.56,0,0,1969,2,5,1969/02/05 05:00:00+00
336216,336217,1969036S13080,SI,MM,ENID:FANNY,-14.61,82.78,0,0,1969,2,5,1969/02/05 05:00:00+00
336217,336218,1969036S13080,SI,MM,ENID:FANNY,-15.05,83.17,0,0,1969,2,5,1969/02/05 05:00:00+00
336218,336219,1969036S13080,SI,MM,ENID:FANNY,-15.55,83.53,0,0,1969,2,6,1969/02/06 05:00:00+00
336219,336220,1969036S13080,SI,MM,ENID:FANNY,-16.03,83.83,0,0,1969,2,6,1969/02/06 05:00:00+00
336220,336221,1969036S13080,SI,MM,ENID:FANNY,-16.21,83.92,0,0,1969,2,6,1969/02/06 05:00:00+00
336221,336222,1969036S13080,SI,MM,ENID:FANNY,-16.54,84.07,0,0,1969,2,6,1969/02/06 05:00:00+00
336222,336223,1969036S13080,SI,MM,ENID:FANNY,-17.01,84.25,0,0,1969,2,6,1969/02/06 05:00:00+00
336223,336224,1969036S13080,SI,MM,ENID:FANNY,-17.47,84.35,0,0,1969,2,6,1969/02/06 05:00:00+00
336224,336225,1969036S13080,SI,MM,ENID:FANNY,-17.87,84.4,0,0,1969,2,6,1969/02/06 05:00:00+00
336225,336226,1969036S13080,SI,MM,ENID:FANNY,-18.0,84.4,0,0,1969,2,6,1969/02/06 05:00:00+00
336226,336227,1969036S13080,SI,MM,ENID:FANNY,-18.25,84.39,0,0,1969,2,6,1969/02/06 05:00:00+00
336227,336228,1969036S13080,SI,MM,ENID:FANNY,-18.62,84.38,0,0,1969,2,6,1969/02/06 05:00:00+00
336228,336229,1969036S13080,SI,MM,ENID:FANNY,-18.97,84.31,0,0,1969,2,7,1969/02/07 05:00:00+00
336229,336230,1969036S13080,SI,MM,ENID:FANNY,-19.34,84.18,0,0,1969,2,7,1969/02/07 05:00:00+00
336230,336231,1969036S13080,SI,MM,ENID:FANNY,-19.46,84.12,0,0,1969,2,7,1969/02/07 05:00:00+00
336231,336232,1969036S13080,SI,MM,ENID:FANNY,-19.69,83.96,0,0,1969,2,7,1969/02/07 05:00:00+00
336232,336233,1969036S13080,SI,MM,ENID:FANNY,-20.03,83.63,0,0,1969,2,7,1969/02/07 05:00:00+00
336233,336234,1969036S13080,SI,MM,ENID:FANNY,-20.34,83.2,0,0,1969,2,7,1969/02/07 05:00:00+00
336234,336235,1969036S13080,SI,MM,ENID:FANNY,-20.64,82.71,0,0,1969,2,7,1969/02/07 05:00:00+00
336235,336236,1969036S13080,SI,MM,ENID:FANNY,-20.73,82.53,0,0,1969,2,7,1969/02/07 05:00:00+00
336236,336237,1969036S13080,SI,MM,ENID:FANNY,-20.91,82.18,0,0,1969,2,7,1969/02/07 05:00:00+00
336237,336238,1969036S13080,SI,MM,ENID:FANNY,-21.13,81.69,0,0,1969,2,7,1969/02/07 05:00:00+00
336238,336239,1969036S13080,SI,MM,ENID:FANNY,-21.33,81.17,0,0,1969,2,8,1969/02/08 05:00:00+00
336239,336240,1969036S13080,SI,MM,ENID:FANNY,-21.53,80.61,0,0,1969,2,8,1969/02/08 05:00:00+00
336240,336241,1969036S13080,SI,MM,ENID:FANNY,-21.59,80.4,0,0,1969,2,8,1969/02/08 05:00:00+00
336241,336242,1969036S13080,SI,MM,ENID:FANNY,-21.72,79.95,0,0,1969,2,8,1969/02/08 05:00:00+00
336242,336243,1969036S13080,SI,MM,ENID:FANNY,-21.91,79.13,0,0,1969,2,8,1969/02/08 05:00:00+00
336243,336244,1969036S13080,SI,MM,ENID:FANNY,-22.09,78.2,0,0,1969,2,8,1969/02/08 05:00:00+00
336244,336245,1969036S13080,SI,MM,ENID:FANNY,-22.22,77.24,0,0,1969,2,8,1969/02/08 05:00:00+00
336245,336246,1969036S13080,SI,MM,ENID:FANNY,-22.26,76.91,0,0,1969,2,8,1969/02/08 05:00:00+00
336246,336247,1969036S13080,SI,MM,ENID:FANNY,-22.32,76.3,0,0,1969,2,8,1969/02/08 05:00:00+00
336247,336248,1969036S13080,SI,MM,ENID:FANNY,-22.4,75.37,0,0,1969,2,8,1969/02/08 05:00:00+00
336248,336249,1969036S13080,SI,MM,ENID:FANNY,-22.46,74.44,0,0,1969,2,9,1969/02/09 05:00:00+00
336249,336250,1969036S13080,SI,MM,ENID:FANNY,-22.52,73.41,0,0,1969,2,9,1969/02/09 05:00:00+00
336250,336251,1969036S13080,SI,MM,ENID:FANNY,-22.52,73.09,0,0,1969,2,9,1969/02/09 05:00:00+00
336251,336252,1969036S13080,SI,MM,ENID:FANNY,-22.52,72.39,0,0,1969,2,9,1969/02/09 05:00:00+00
336252,336253,1969036S13080,SI,MM,ENID:FANNY,-22.51,71.37,0,0,1969,2,9,1969/02/09 05:00:00+00
336253,336254,1969036S13080,SI,MM,ENID:FANNY,-22.55,70.44,0,0,1969,2,9,1969/02/09 05:00:00+00
336254,336255,1969036S13080,SI,MM,ENID:FANNY,-22.66,69.46,0,0,1969,2,9,1969/02/09 05:00:00+00
336255,336256,1969036S13080,SI,MM,ENID:FANNY,-22.82,68.44,0,0,1969,2,9,1969/02/09 05:00:00+00
336256,336257,1969036S13080,SI,MM,ENID:FANNY,-23.0,67.3,0,0,1969,2,9,1969/02/09 05:00:00+00
336257,336258,1969036S13080,SI,MM,ENID:FANNY,-23.27,66.14,0,0,1969,2,10,1969/02/10 05:00:00+00
336258,336259,1969036S13080,SI,MM,ENID:FANNY,-23.66,64.97,0,0,1969,2,10,1969/02/10 05:00:00+00
336259,336260,1969036S13080,SI,MM,ENID:FANNY,-24.08,64.0,0,0,1969,2,10,1969/02/10 05:00:00+00
336260,336261,1969036S13080,SI,MM,ENID:FANNY,-24.42,63.44,0,0,1969,2,10,1969/02/10 05:00:00+00
336261,336262,1969036S13080,SI,MM,ENID:FANNY,-24.76,63.1,0,0,1969,2,10,1969/02/10 05:00:00+00
336262,336263,1969036S13080,SI,MM,ENID:FANNY,-25.12,62.75,0,0,1969,2,10,1969/02/10 05:00:00+00
336263,336264,1969036S13080,SI,MM,ENID:FANNY,-25.5,62.44,0,0,1969,2,10,1969/02/10 05:00:00+00
336264,336265,1969036S13080,SI,MM,ENID:FANNY,-25.85,62.12,0,0,1969,2,10,1969/02/10 05:00:00+00
336265,336266,1969036S13080,SI,MM,ENID:FANNY,-26.23,61.81,0,0,1969,2,11,1969/02/11 05:00:00+00
336266,336267,1969036S13080,SI,MM,ENID:FANNY,-26.66,61.48,0,0,1969,2,11,1969/02/11 05:00:00+00
336267,336268,1969036S13080,SI,MM,ENID:FANNY,-27.14,61.16,0,0,1969,2,11,1969/02/11 05:00:00+00
336268,336269,1969036S13080,SI,MM,ENID:FANNY,-27.66,60.86,0,0,1969,2,11,1969/02/11 05:00:00+00
336269,336270,1969036S13080,SI,MM,ENID:FANNY,-28.19,60.58,0,0,1969,2,11,1969/02/11 05:00:00+00
336270,336271,1969036S13080,SI,MM,ENID:FANNY,-28.72,60.32,0,0,1969,2,11,1969/02/11 05:00:00+00
336271,336272,1969036S13080,SI,MM,ENID:FANNY,-29.26,60.06,0,0,1969,2,11,1969/02/11 05:00:00+00
336272,336273,1969036S13080,SI,MM,ENID:FANNY,-29.83,59.74,0,0,1969,2,11,1969/02/11 05:00:00+00
336273,336274,1969036S13080,SI,MM,ENID:FANNY,-30.45,59.48,0,0,1969,2,12,1969/02/12 05:00:00+00
336274,336275,1969036S13080,SI,MM,ENID:FANNY,-31.14,59.34,0,0,1969,2,12,1969/02/12 05:00:00+00
336275,336276,1969036S13080,SI,MM,ENID:FANNY,-31.82,59.38,0,0,1969,2,12,1969/02/12 05:00:00+00
336276,336277,1969036S13080,SI,MM,ENID:FANNY,-32.4,59.62,0,0,1969,2,12,1969/02/12 05:00:00+00
336277,336278,1969036S13080,SI,MM,ENID:FANNY,-32.9,60.07,0,0,1969,2,12,1969/02/12 05:00:00+00
336278,336279,1969036S13080,SI,MM,ENID:FANNY,-33.35,60.67,0,0,1969,2,12,1969/02/12 05:00:00+00
336279,336280,1969036S13080,SI,MM,ENID:FANNY,-33.74,61.36,0,0,1969,2,12,1969/02/12 05:00:00+00
336280,336281,1969036S13080,SI,MM,ENID:FANNY,-34.12,62.0,0,0,1969,2,12,1969/02/12 05:00:00+00
336281,336282,1969036S13080,SI,MM,ENID:FANNY,-34.48,62.76,0,0,1969,2,13,1969/02/13 05:00:00+00
336282,336283,1969036S13080,SI,MM,ENID:FANNY,-34.74,63.71,0,0,1969,2,13,1969/02/13 05:00:00+00
336283,336284,1969036S13080,SI,MM,ENID:FANNY,-34.89,64.85,0,0,1969,2,13,1969/02/13 05:00:00+00
336284,336285,1969036S13080,SI,MM,ENID:FANNY,-34.97,66.22,0,0,1969,2,13,1969/02/13 05:00:00+00
