Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
601171,601172,2007037S19050,SI,MM,ENOK,-19.1,50.2,20,1004,2007,2,5,2007/02/05 05:00:00+00
601172,601173,2007037S19050,SI,MM,ENOK,-19.12,50.3,20,1005,2007,2,5,2007/02/05 05:00:00+00
601173,601174,2007037S19050,SI,MM,ENOK,-19.1,50.4,20,1007,2007,2,6,2007/02/06 05:00:00+00
601174,601175,2007037S19050,SI,MM,ENOK,-19.02,50.47,20,1007,2007,2,6,2007/02/06 05:00:00+00
601175,601176,2007037S19050,SI,MM,ENOK,-18.92,50.54,20,1007,2007,2,6,2007/02/06 05:00:00+00
601176,601177,2007037S19050,SI,MM,ENOK,-18.79,50.53,20,1007,2007,2,6,2007/02/06 05:00:00+00
601177,601178,2007037S19050,SI,MM,ENOK,-18.65,50.45,20,1007,2007,2,6,2007/02/06 05:00:00+00
601178,601179,2007037S19050,SI,MM,ENOK,-18.55,50.37,20,1007,2007,2,6,2007/02/06 05:00:00+00
601179,601180,2007037S19050,SI,MM,ENOK,-18.43,50.27,20,1007,2007,2,6,2007/02/06 05:00:00+00
601180,601181,2007037S19050,SI,MM,ENOK,-18.28,50.17,22,1005,2007,2,6,2007/02/06 05:00:00+00
601181,601182,2007037S19050,SI,MM,ENOK,-18.1,50.1,25,1004,2007,2,7,2007/02/07 05:00:00+00
601182,601183,2007037S19050,SI,MM,ENOK,-17.88,50.08,25,1003,2007,2,7,2007/02/07 05:00:00+00
601183,601184,2007037S19050,SI,MM,ENOK,-17.63,50.13,25,1002,2007,2,7,2007/02/07 05:00:00+00
601184,601185,2007037S19050,SI,MM,ENOK,-17.37,50.25,25,1003,2007,2,7,2007/02/07 05:00:00+00
601185,601186,2007037S19050,SI,MM,ENOK,-17.1,50.43,25,1004,2007,2,7,2007/02/07 05:00:00+00
