Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
478511,478512,1989230N14338,,,ERIN,14.3,-22.4,25,1012,1989,8,18,1989/08/18 04:00:00+00
478512,478513,1989230N14338,,,ERIN,14.74,-23.1,25,1012,1989,8,18,1989/08/18 04:00:00+00
478513,478514,1989230N14338,,,ERIN,15.2,-23.8,25,1012,1989,8,18,1989/08/18 04:00:00+00
478514,478515,1989230N14338,,,ERIN,15.71,-24.51,25,1011,1989,8,18,1989/08/18 04:00:00+00
478515,478516,1989230N14338,,,ERIN,16.2,-25.2,25,1011,1989,8,18,1989/08/18 04:00:00+00
478516,478517,1989230N14338,,,ERIN,16.64,-25.86,27,1010,1989,8,18,1989/08/18 04:00:00+00
478517,478518,1989230N14338,,,ERIN,17.0,-26.5,30,1010,1989,8,18,1989/08/18 04:00:00+00
478518,478519,1989230N14338,,,ERIN,17.24,-27.13,30,1009,1989,8,18,1989/08/18 04:00:00+00
478519,478520,1989230N14338,,,ERIN,17.4,-27.8,30,1009,1989,8,19,1989/08/19 04:00:00+00
478520,478521,1989230N14338,,,ERIN,17.55,-28.57,30,1008,1989,8,19,1989/08/19 04:00:00+00
478521,478522,1989230N14338,,,ERIN,17.7,-29.4,30,1008,1989,8,19,1989/08/19 04:00:00+00
478522,478523,1989230N14338,,,ERIN,17.89,-30.25,30,1007,1989,8,19,1989/08/19 04:00:00+00
478523,478524,1989230N14338,,,ERIN,18.1,-31.1,30,1007,1989,8,19,1989/08/19 04:00:00+00
478524,478525,1989230N14338,,,ERIN,18.28,-31.91,32,1006,1989,8,19,1989/08/19 04:00:00+00
478525,478526,1989230N14338,,,ERIN,18.5,-32.7,35,1005,1989,8,19,1989/08/19 04:00:00+00
478526,478527,1989230N14338,,,ERIN,18.79,-33.52,35,1004,1989,8,19,1989/08/19 04:00:00+00
478527,478528,1989230N14338,,,ERIN,19.1,-34.3,35,1004,1989,8,20,1989/08/20 04:00:00+00
478528,478529,1989230N14338,,,ERIN,19.36,-34.97,37,1003,1989,8,20,1989/08/20 04:00:00+00
478529,478530,1989230N14338,,,ERIN,19.6,-35.6,40,1003,1989,8,20,1989/08/20 04:00:00+00
478530,478531,1989230N14338,,,ERIN,19.85,-36.24,40,1002,1989,8,20,1989/08/20 04:00:00+00
478531,478532,1989230N14338,,,ERIN,20.1,-36.9,40,1002,1989,8,20,1989/08/20 04:00:00+00
478532,478533,1989230N14338,,,ERIN,20.35,-37.59,40,1001,1989,8,20,1989/08/20 04:00:00+00
478533,478534,1989230N14338,,,ERIN,20.6,-38.3,40,1001,1989,8,20,1989/08/20 04:00:00+00
478534,478535,1989230N14338,,,ERIN,20.82,-39.0,42,1000,1989,8,20,1989/08/20 04:00:00+00
478535,478536,1989230N14338,,,ERIN,21.1,-39.7,45,1000,1989,8,21,1989/08/21 04:00:00+00
478536,478537,1989230N14338,,,ERIN,21.49,-40.43,45,999,1989,8,21,1989/08/21 04:00:00+00
478537,478538,1989230N14338,,,ERIN,22.0,-41.1,45,998,1989,8,21,1989/08/21 04:00:00+00
478538,478539,1989230N14338,,,ERIN,22.61,-41.65,45,997,1989,8,21,1989/08/21 04:00:00+00
478539,478540,1989230N14338,,,ERIN,23.3,-42.1,45,997,1989,8,21,1989/08/21 04:00:00+00
478540,478541,1989230N14338,,,ERIN,23.98,-42.49,47,995,1989,8,21,1989/08/21 04:00:00+00
478541,478542,1989230N14338,,,ERIN,24.7,-42.8,50,994,1989,8,21,1989/08/21 04:00:00+00
478542,478543,1989230N14338,,,ERIN,25.45,-43.07,52,993,1989,8,21,1989/08/21 04:00:00+00
