Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
468702,468703,1988037S13109,SI,WA,EZENINA:GWENDA,-12.8,109.0,0,0,1988,2,6,1988/02/06 05:00:00+00
468703,468704,1988037S13109,SI,WA,EZENINA:GWENDA,-13.01,108.59,0,0,1988,2,6,1988/02/06 05:00:00+00
468704,468705,1988037S13109,SI,WA,EZENINA:GWENDA,-13.2,108.2,0,0,1988,2,6,1988/02/06 05:00:00+00
468705,468706,1988037S13109,SI,WA,EZENINA:GWENDA,-13.36,107.83,0,0,1988,2,6,1988/02/06 05:00:00+00
468706,468707,1988037S13109,SI,WA,EZENINA:GWENDA,-13.5,107.5,0,0,1988,2,6,1988/02/06 05:00:00+00
468707,468708,1988037S13109,SI,WA,EZENINA:GWENDA,-13.65,107.25,0,0,1988,2,6,1988/02/06 05:00:00+00
468708,468709,1988037S13109,SI,WA,EZENINA:GWENDA,-13.8,107.0,0,0,1988,2,6,1988/02/06 05:00:00+00
468709,468710,1988037S13109,SI,WA,EZENINA:GWENDA,-13.91,106.69,0,0,1988,2,6,1988/02/06 05:00:00+00
468710,468711,1988037S13109,SI,WA,EZENINA:GWENDA,-14.1,106.3,0,0,1988,2,7,1988/02/07 05:00:00+00
468711,468712,1988037S13109,SI,WA,EZENINA:GWENDA,-14.49,105.81,0,0,1988,2,7,1988/02/07 05:00:00+00
468712,468713,1988037S13109,SI,WA,EZENINA:GWENDA,-14.9,105.3,0,0,1988,2,7,1988/02/07 05:00:00+00
468713,468714,1988037S13109,SI,WA,EZENINA:GWENDA,-15.18,104.9,0,0,1988,2,7,1988/02/07 05:00:00+00
468714,468715,1988037S13109,SI,WA,EZENINA:GWENDA,-15.4,104.5,0,0,1988,2,7,1988/02/07 05:00:00+00
468715,468716,1988037S13109,SI,WA,EZENINA:GWENDA,-15.62,104.0,0,0,1988,2,7,1988/02/07 05:00:00+00
468716,468717,1988037S13109,SI,WA,EZENINA:GWENDA,-15.8,103.5,0,0,1988,2,7,1988/02/07 05:00:00+00
468717,468718,1988037S13109,SI,WA,EZENINA:GWENDA,-15.93,103.08,0,0,1988,2,7,1988/02/07 05:00:00+00
468718,468719,1988037S13109,SI,WA,EZENINA:GWENDA,-16.0,102.7,0,0,1988,2,8,1988/02/08 05:00:00+00
468719,468720,1988037S13109,SI,WA,EZENINA:GWENDA,-16.02,102.29,0,0,1988,2,8,1988/02/08 05:00:00+00
468720,468721,1988037S13109,SI,WA,EZENINA:GWENDA,-15.83,101.94,30,0,1988,2,8,1988/02/08 05:00:00+00
468721,468722,1988037S13109,SI,WA,EZENINA:GWENDA,-15.82,101.56,30,0,1988,2,8,1988/02/08 05:00:00+00
468722,468723,1988037S13109,SI,WA,EZENINA:GWENDA,-15.86,101.13,30,0,1988,2,8,1988/02/08 05:00:00+00
468723,468724,1988037S13109,SI,WA,EZENINA:GWENDA,-15.93,100.65,32,0,1988,2,8,1988/02/08 05:00:00+00
468724,468725,1988037S13109,SI,WA,EZENINA:GWENDA,-15.99,100.15,35,0,1988,2,8,1988/02/08 05:00:00+00
468725,468726,1988037S13109,SI,WA,EZENINA:GWENDA,-16.0,99.64,35,0,1988,2,8,1988/02/08 05:00:00+00
468726,468727,1988037S13109,SI,WA,EZENINA:GWENDA,-16.0,99.12,35,0,1988,2,9,1988/02/09 05:00:00+00
468727,468728,1988037S13109,SI,WA,EZENINA:GWENDA,-15.99,98.63,37,0,1988,2,9,1988/02/09 05:00:00+00
468728,468729,1988037S13109,SI,WA,EZENINA:GWENDA,-15.97,98.14,40,0,1988,2,9,1988/02/09 05:00:00+00
468729,468730,1988037S13109,SI,WA,EZENINA:GWENDA,-15.93,97.63,40,0,1988,2,9,1988/02/09 05:00:00+00
468730,468731,1988037S13109,SI,WA,EZENINA:GWENDA,-15.9,97.1,40,0,1988,2,9,1988/02/09 05:00:00+00
468731,468732,1988037S13109,SI,WA,EZENINA:GWENDA,-15.9,96.53,42,0,1988,2,9,1988/02/09 05:00:00+00
468732,468733,1988037S13109,SI,WA,EZENINA:GWENDA,-15.89,95.97,45,0,1988,2,9,1988/02/09 05:00:00+00
468733,468734,1988037S13109,SI,WA,EZENINA:GWENDA,-15.85,95.46,45,0,1988,2,9,1988/02/09 05:00:00+00
468734,468735,1988037S13109,SI,WA,EZENINA:GWENDA,-15.8,95.0,45,0,1988,2,10,1988/02/10 05:00:00+00
468735,468736,1988037S13109,SI,WA,EZENINA:GWENDA,-15.73,94.6,47,0,1988,2,10,1988/02/10 05:00:00+00
468736,468737,1988037S13109,SI,WA,EZENINA:GWENDA,-15.67,94.21,50,0,1988,2,10,1988/02/10 05:00:00+00
468737,468738,1988037S13109,SI,WA,EZENINA:GWENDA,-15.63,93.81,55,0,1988,2,10,1988/02/10 05:00:00+00
468738,468739,1988037S13109,SI,WA,EZENINA:GWENDA,-15.62,93.4,60,0,1988,2,10,1988/02/10 05:00:00+00
468739,468740,1988037S13109,SI,WA,EZENINA:GWENDA,-15.66,92.98,62,0,1988,2,10,1988/02/10 05:00:00+00
468740,468741,1988037S13109,SI,WA,EZENINA:GWENDA,-15.7,92.58,65,0,1988,2,10,1988/02/10 05:00:00+00
468741,468742,1988037S13109,SI,WA,EZENINA:GWENDA,-15.71,92.2,67,0,1988,2,10,1988/02/10 05:00:00+00
468742,468743,1988037S13109,SI,WA,EZENINA:GWENDA,-15.72,91.85,70,0,1988,2,11,1988/02/11 05:00:00+00
468743,468744,1988037S13109,SI,WA,EZENINA:GWENDA,-15.78,91.53,72,0,1988,2,11,1988/02/11 05:00:00+00
