Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
655075,655076,2016102S12074,SI,MM,FANTALA,-11.9,74.2,0,0,2016,4,10,2016/04/10 04:00:00+00
655076,655077,2016102S12074,SI,MM,FANTALA,-12.17,73.79,0,0,2016,4,10,2016/04/10 04:00:00+00
655077,655078,2016102S12074,SI,MM,FANTALA,-12.4,73.42,20,1007,2016,4,11,2016/04/11 04:00:00+00
655078,655079,2016102S12074,SI,MM,FANTALA,-12.57,73.07,22,1005,2016,4,11,2016/04/11 04:00:00+00
655079,655080,2016102S12074,SI,MM,FANTALA,-12.7,72.74,25,1004,2016,4,11,2016/04/11 04:00:00+00
655080,655081,2016102S12074,SI,MM,FANTALA,-12.81,72.44,30,1000,2016,4,11,2016/04/11 04:00:00+00
655081,655082,2016102S12074,SI,MM,FANTALA,-12.9,72.1,35,996,2016,4,11,2016/04/11 04:00:00+00
655082,655083,2016102S12074,SI,MM,FANTALA,-13.01,71.69,37,994,2016,4,11,2016/04/11 04:00:00+00
655083,655084,2016102S12074,SI,MM,FANTALA,-13.1,71.25,40,993,2016,4,11,2016/04/11 04:00:00+00
655084,655085,2016102S12074,SI,MM,FANTALA,-13.17,70.82,42,991,2016,4,11,2016/04/11 04:00:00+00
655085,655086,2016102S12074,SI,MM,FANTALA,-13.2,70.4,45,989,2016,4,12,2016/04/12 04:00:00+00
655086,655087,2016102S12074,SI,MM,FANTALA,-13.19,70.0,52,983,2016,4,12,2016/04/12 04:00:00+00
655087,655088,2016102S12074,SI,MM,FANTALA,-13.15,69.65,60,978,2016,4,12,2016/04/12 04:00:00+00
655088,655089,2016102S12074,SI,MM,FANTALA,-13.08,69.36,60,978,2016,4,12,2016/04/12 04:00:00+00
655089,655090,2016102S12074,SI,MM,FANTALA,-13.0,69.1,60,978,2016,4,12,2016/04/12 04:00:00+00
655090,655091,2016102S12074,SI,MM,FANTALA,-12.93,68.88,62,976,2016,4,12,2016/04/12 04:00:00+00
655091,655092,2016102S12074,SI,MM,FANTALA,-12.9,68.6,65,974,2016,4,12,2016/04/12 04:00:00+00
655092,655093,2016102S12074,SI,MM,FANTALA,-12.93,68.16,67,972,2016,4,12,2016/04/12 04:00:00+00
655093,655094,2016102S12074,SI,MM,FANTALA,-12.95,67.65,70,970,2016,4,13,2016/04/13 04:00:00+00
655094,655095,2016102S12074,SI,MM,FANTALA,-12.88,67.19,75,966,2016,4,13,2016/04/13 04:00:00+00
655095,655096,2016102S12074,SI,MM,FANTALA,-12.8,66.75,80,963,2016,4,13,2016/04/13 04:00:00+00
655096,655097,2016102S12074,SI,MM,FANTALA,-12.77,66.35,85,959,2016,4,13,2016/04/13 04:00:00+00
655097,655098,2016102S12074,SI,MM,FANTALA,-12.75,65.95,90,956,2016,4,13,2016/04/13 04:00:00+00
655098,655099,2016102S12074,SI,MM,FANTALA,-12.7,65.47,90,956,2016,4,13,2016/04/13 04:00:00+00
655099,655100,2016102S12074,SI,MM,FANTALA,-12.65,65.0,90,956,2016,4,13,2016/04/13 04:00:00+00
655100,655101,2016102S12074,SI,MM,FANTALA,-12.62,64.61,92,954,2016,4,13,2016/04/13 04:00:00+00
655101,655102,2016102S12074,SI,MM,FANTALA,-12.6,64.25,95,952,2016,4,14,2016/04/14 04:00:00+00
655102,655103,2016102S12074,SI,MM,FANTALA,-12.55,63.87,100,948,2016,4,14,2016/04/14 04:00:00+00
655103,655104,2016102S12074,SI,MM,FANTALA,-12.5,63.45,105,944,2016,4,14,2016/04/14 04:00:00+00
655104,655105,2016102S12074,SI,MM,FANTALA,-12.45,62.95,102,946,2016,4,14,2016/04/14 04:00:00+00
655105,655106,2016102S12074,SI,MM,FANTALA,-12.4,62.45,100,948,2016,4,14,2016/04/14 04:00:00+00
655106,655107,2016102S12074,SI,MM,FANTALA,-12.31,62.04,100,948,2016,4,14,2016/04/14 04:00:00+00
655107,655108,2016102S12074,SI,MM,FANTALA,-12.25,61.6,100,948,2016,4,14,2016/04/14 04:00:00+00
655108,655109,2016102S12074,SI,MM,FANTALA,-12.25,61.04,100,948,2016,4,14,2016/04/14 04:00:00+00
655109,655110,2016102S12074,SI,MM,FANTALA,-12.3,60.65,95,952,2016,4,15,2016/04/15 04:00:00+00
