Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
511469,511470,1994010S17124,SI,WA,FARAH:PEARL,-17.1,123.9,20,0,1994,1,10,1994/01/10 05:00:00+00
511470,511471,1994010S17124,SI,WA,FARAH:PEARL,-17.05,123.61,20,0,1994,1,10,1994/01/10 05:00:00+00
511471,511472,1994010S17124,SI,WA,FARAH:PEARL,-17.0,123.3,20,0,1994,1,10,1994/01/10 05:00:00+00
511472,511473,1994010S17124,SI,WA,FARAH:PEARL,-16.95,122.96,22,0,1994,1,10,1994/01/10 05:00:00+00
511473,511474,1994010S17124,SI,WA,FARAH:PEARL,-16.9,122.6,25,0,1994,1,10,1994/01/10 05:00:00+00
511474,511475,1994010S17124,SI,WA,FARAH:PEARL,-16.85,122.25,25,0,1994,1,10,1994/01/10 05:00:00+00
511475,511476,1994010S17124,SI,WA,FARAH:PEARL,-16.64,121.84,25,0,1994,1,11,1994/01/11 05:00:00+00
511476,511477,1994010S17124,SI,WA,FARAH:PEARL,-16.51,121.46,27,0,1994,1,11,1994/01/11 05:00:00+00
511477,511478,1994010S17124,SI,WA,FARAH:PEARL,-16.45,121.06,30,0,1994,1,11,1994/01/11 05:00:00+00
511478,511479,1994010S17124,SI,WA,FARAH:PEARL,-16.46,120.66,30,0,1994,1,11,1994/01/11 05:00:00+00
511479,511480,1994010S17124,SI,WA,FARAH:PEARL,-16.53,120.27,30,0,1994,1,11,1994/01/11 05:00:00+00
511480,511481,1994010S17124,SI,WA,FARAH:PEARL,-16.63,119.86,32,0,1994,1,11,1994/01/11 05:00:00+00
511481,511482,1994010S17124,SI,WA,FARAH:PEARL,-16.73,119.43,35,0,1994,1,11,1994/01/11 05:00:00+00
511482,511483,1994010S17124,SI,WA,FARAH:PEARL,-16.82,118.99,40,0,1994,1,11,1994/01/11 05:00:00+00
511483,511484,1994010S17124,SI,WA,FARAH:PEARL,-16.9,118.53,45,0,1994,1,12,1994/01/12 05:00:00+00
511484,511485,1994010S17124,SI,WA,FARAH:PEARL,-16.97,118.09,55,0,1994,1,12,1994/01/12 05:00:00+00
511485,511486,1994010S17124,SI,WA,FARAH:PEARL,-17.03,117.6,65,0,1994,1,12,1994/01/12 05:00:00+00
511486,511487,1994010S17124,SI,WA,FARAH:PEARL,-17.1,117.03,72,0,1994,1,12,1994/01/12 05:00:00+00
511487,511488,1994010S17124,SI,WA,FARAH:PEARL,-17.13,116.43,80,0,1994,1,12,1994/01/12 05:00:00+00
511488,511489,1994010S17124,SI,WA,FARAH:PEARL,-17.1,115.85,80,0,1994,1,12,1994/01/12 05:00:00+00
511489,511490,1994010S17124,SI,WA,FARAH:PEARL,-17.03,115.27,80,0,1994,1,12,1994/01/12 05:00:00+00
511490,511491,1994010S17124,SI,WA,FARAH:PEARL,-16.96,114.7,80,0,1994,1,12,1994/01/12 05:00:00+00
511491,511492,1994010S17124,SI,WA,FARAH:PEARL,-16.9,114.13,80,0,1994,1,13,1994/01/13 05:00:00+00
511492,511493,1994010S17124,SI,WA,FARAH:PEARL,-16.91,113.52,80,0,1994,1,13,1994/01/13 05:00:00+00
511493,511494,1994010S17124,SI,WA,FARAH:PEARL,-16.93,112.9,80,0,1994,1,13,1994/01/13 05:00:00+00
511494,511495,1994010S17124,SI,WA,FARAH:PEARL,-16.93,112.31,80,0,1994,1,13,1994/01/13 05:00:00+00
511495,511496,1994010S17124,SI,WA,FARAH:PEARL,-16.93,111.73,80,0,1994,1,13,1994/01/13 05:00:00+00
511496,511497,1994010S17124,SI,WA,FARAH:PEARL,-16.99,111.14,80,0,1994,1,13,1994/01/13 05:00:00+00
511497,511498,1994010S17124,SI,WA,FARAH:PEARL,-17.03,110.53,80,0,1994,1,13,1994/01/13 05:00:00+00
511498,511499,1994010S17124,SI,WA,FARAH:PEARL,-17.01,109.94,80,0,1994,1,13,1994/01/13 05:00:00+00
511499,511500,1994010S17124,SI,WA,FARAH:PEARL,-16.97,109.33,80,0,1994,1,14,1994/01/14 05:00:00+00
511500,511501,1994010S17124,SI,WA,FARAH:PEARL,-16.93,108.72,80,0,1994,1,14,1994/01/14 05:00:00+00
511501,511502,1994010S17124,SI,WA,FARAH:PEARL,-16.9,108.1,80,0,1994,1,14,1994/01/14 05:00:00+00
511502,511503,1994010S17124,SI,WA,FARAH:PEARL,-16.89,107.48,80,0,1994,1,14,1994/01/14 05:00:00+00
511503,511504,1994010S17124,SI,WA,FARAH:PEARL,-16.87,106.87,80,0,1994,1,14,1994/01/14 05:00:00+00
