Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
686943,686944,2021035S11080,SI,MM,FARAJI,-10.6,80.3,15,1010,2021,2,4,2021/02/04 05:00:00+00
686944,686945,2021035S11080,SI,MM,FARAJI,-10.68,80.55,17,1006,2021,2,4,2021/02/04 05:00:00+00
686945,686946,2021035S11080,SI,MM,FARAJI,-10.95,80.85,20,1003,2021,2,4,2021/02/04 05:00:00+00
686946,686947,2021035S11080,SI,MM,FARAJI,-11.15,81.08,22,1005,2021,2,4,2021/02/04 05:00:00+00
686947,686948,2021035S11080,SI,MM,FARAJI,-11.33,81.29,25,1007,2021,2,4,2021/02/04 05:00:00+00
686948,686949,2021035S11080,SI,MM,FARAJI,-11.43,81.45,27,1005,2021,2,4,2021/02/04 05:00:00+00
686949,686950,2021035S11080,SI,MM,FARAJI,-11.55,81.55,30,1004,2021,2,4,2021/02/04 05:00:00+00
686950,686951,2021035S11080,SI,MM,FARAJI,-11.77,81.62,32,1003,2021,2,4,2021/02/04 05:00:00+00
686951,686952,2021035S11080,SI,MM,FARAJI,-12.05,81.6,35,1002,2021,2,5,2021/02/05 05:00:00+00
686952,686953,2021035S11080,SI,MM,FARAJI,-12.33,81.47,37,1001,2021,2,5,2021/02/05 05:00:00+00
686953,686954,2021035S11080,SI,MM,FARAJI,-12.6,81.25,40,1001,2021,2,5,2021/02/05 05:00:00+00
686954,686955,2021035S11080,SI,MM,FARAJI,-12.82,81.0,40,1001,2021,2,5,2021/02/05 05:00:00+00
686955,686956,2021035S11080,SI,MM,FARAJI,-13.0,80.75,40,1001,2021,2,5,2021/02/05 05:00:00+00
686956,686957,2021035S11080,SI,MM,FARAJI,-13.15,80.56,45,998,2021,2,5,2021/02/05 05:00:00+00
686957,686958,2021035S11080,SI,MM,FARAJI,-13.3,80.4,50,996,2021,2,5,2021/02/05 05:00:00+00
686958,686959,2021035S11080,SI,MM,FARAJI,-13.5,80.21,52,993,2021,2,5,2021/02/05 05:00:00+00
686959,686960,2021035S11080,SI,MM,FARAJI,-13.7,80.05,55,990,2021,2,6,2021/02/06 05:00:00+00
686960,686961,2021035S11080,SI,MM,FARAJI,-13.83,79.96,57,989,2021,2,6,2021/02/06 05:00:00+00
686961,686962,2021035S11080,SI,MM,FARAJI,-13.95,79.9,60,988,2021,2,6,2021/02/06 05:00:00+00
686962,686963,2021035S11080,SI,MM,FARAJI,-14.11,79.85,65,983,2021,2,6,2021/02/06 05:00:00+00
686963,686964,2021035S11080,SI,MM,FARAJI,-14.3,79.8,70,979,2021,2,6,2021/02/06 05:00:00+00
686964,686965,2021035S11080,SI,MM,FARAJI,-14.52,79.72,75,977,2021,2,6,2021/02/06 05:00:00+00
686965,686966,2021035S11080,SI,MM,FARAJI,-14.7,79.65,80,975,2021,2,6,2021/02/06 05:00:00+00
686966,686967,2021035S11080,SI,MM,FARAJI,-14.8,79.63,90,967,2021,2,6,2021/02/06 05:00:00+00
686967,686968,2021035S11080,SI,MM,FARAJI,-14.85,79.65,100,960,2021,2,7,2021/02/07 05:00:00+00
686968,686969,2021035S11080,SI,MM,FARAJI,-14.87,79.71,107,952,2021,2,7,2021/02/07 05:00:00+00
686969,686970,2021035S11080,SI,MM,FARAJI,-14.85,79.8,115,944,2021,2,7,2021/02/07 05:00:00+00
686970,686971,2021035S11080,SI,MM,FARAJI,-14.81,79.9,110,947,2021,2,7,2021/02/07 05:00:00+00
686971,686972,2021035S11080,SI,MM,FARAJI,-14.75,80.0,105,950,2021,2,7,2021/02/07 05:00:00+00
686972,686973,2021035S11080,SI,MM,FARAJI,-14.68,80.07,105,950,2021,2,7,2021/02/07 05:00:00+00
686973,686974,2021035S11080,SI,MM,FARAJI,-14.6,80.2,105,951,2021,2,7,2021/02/07 05:00:00+00
686974,686975,2021035S11080,SI,MM,FARAJI,-14.5,80.5,105,951,2021,2,7,2021/02/07 05:00:00+00
686975,686976,2021035S11080,SI,MM,FARAJI,-14.4,80.85,105,952,2021,2,8,2021/02/08 05:00:00+00
686976,686977,2021035S11080,SI,MM,FARAJI,-14.31,81.15,112,945,2021,2,8,2021/02/08 05:00:00+00
686977,686978,2021035S11080,SI,MM,FARAJI,-14.25,81.45,120,938,2021,2,8,2021/02/08 05:00:00+00
686978,686979,2021035S11080,SI,MM,FARAJI,-14.24,81.79,127,930,2021,2,8,2021/02/08 05:00:00+00
686979,686980,2021035S11080,SI,MM,FARAJI,-14.25,82.1,135,923,2021,2,8,2021/02/08 05:00:00+00
686980,686981,2021035S11080,SI,MM,FARAJI,-14.26,82.34,137,921,2021,2,8,2021/02/08 05:00:00+00
686981,686982,2021035S11080,SI,MM,FARAJI,-14.25,82.55,140,920,2021,2,8,2021/02/08 05:00:00+00
