Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
412459,412460,1979233N14258,EP,MM,FEFA,13.9,-101.8,25,0,1979,8,21,1979/08/21 04:00:00+00
412460,412461,1979233N14258,EP,MM,FEFA,14.04,-102.44,30,0,1979,8,21,1979/08/21 04:00:00+00
412461,412462,1979233N14258,EP,MM,FEFA,14.23,-103.09,35,0,1979,8,21,1979/08/21 04:00:00+00
412462,412463,1979233N14258,EP,MM,FEFA,14.5,-103.77,37,0,1979,8,21,1979/08/21 04:00:00+00
412463,412464,1979233N14258,EP,MM,FEFA,14.8,-104.5,40,0,1979,8,21,1979/08/21 04:00:00+00
412464,412465,1979233N14258,EP,MM,FEFA,15.06,-105.28,47,0,1979,8,21,1979/08/21 04:00:00+00
412465,412466,1979233N14258,EP,MM,FEFA,15.28,-106.13,55,0,1979,8,21,1979/08/21 04:00:00+00
412466,412467,1979233N14258,EP,MM,FEFA,15.46,-107.07,57,0,1979,8,21,1979/08/21 04:00:00+00
412467,412468,1979233N14258,EP,MM,FEFA,15.6,-108.0,60,0,1979,8,22,1979/08/22 04:00:00+00
412468,412469,1979233N14258,EP,MM,FEFA,15.71,-108.83,67,0,1979,8,22,1979/08/22 04:00:00+00
412469,412470,1979233N14258,EP,MM,FEFA,15.82,-109.59,75,0,1979,8,22,1979/08/22 04:00:00+00
412470,412471,1979233N14258,EP,MM,FEFA,15.99,-110.32,82,0,1979,8,22,1979/08/22 04:00:00+00
412471,412472,1979233N14258,EP,MM,FEFA,16.2,-111.0,90,0,1979,8,22,1979/08/22 04:00:00+00
412472,412473,1979233N14258,EP,MM,FEFA,16.44,-111.6,92,0,1979,8,22,1979/08/22 04:00:00+00
412473,412474,1979233N14258,EP,MM,FEFA,16.66,-112.25,95,0,1979,8,22,1979/08/22 04:00:00+00
412474,412475,1979233N14258,EP,MM,FEFA,16.77,-113.08,92,0,1979,8,22,1979/08/22 04:00:00+00
412475,412476,1979233N14258,EP,MM,FEFA,16.9,-114.0,90,0,1979,8,23,1979/08/23 04:00:00+00
412476,412477,1979233N14258,EP,MM,FEFA,17.18,-114.89,90,0,1979,8,23,1979/08/23 04:00:00+00
412477,412478,1979233N14258,EP,MM,FEFA,17.48,-115.82,90,0,1979,8,23,1979/08/23 04:00:00+00
412478,412479,1979233N14258,EP,MM,FEFA,17.68,-116.8,95,0,1979,8,23,1979/08/23 04:00:00+00
412479,412480,1979233N14258,EP,MM,FEFA,17.8,-117.8,100,0,1979,8,23,1979/08/23 04:00:00+00
412480,412481,1979233N14258,EP,MM,FEFA,17.83,-118.84,90,0,1979,8,23,1979/08/23 04:00:00+00
412481,412482,1979233N14258,EP,MM,FEFA,17.82,-119.74,80,0,1979,8,23,1979/08/23 04:00:00+00
412482,412483,1979233N14258,EP,MM,FEFA,17.85,-120.36,72,0,1979,8,23,1979/08/23 04:00:00+00
412483,412484,1979233N14258,EP,MM,FEFA,17.9,-120.8,65,0,1979,8,24,1979/08/24 04:00:00+00
412484,412485,1979233N14258,EP,MM,FEFA,17.95,-121.15,60,0,1979,8,24,1979/08/24 04:00:00+00
412485,412486,1979233N14258,EP,MM,FEFA,18.0,-121.44,55,0,1979,8,24,1979/08/24 04:00:00+00
412486,412487,1979233N14258,EP,MM,FEFA,18.05,-121.77,45,0,1979,8,24,1979/08/24 04:00:00+00
412487,412488,1979233N14258,EP,MM,FEFA,18.1,-122.1,35,0,1979,8,24,1979/08/24 04:00:00+00
412488,412489,1979233N14258,EP,MM,FEFA,18.15,-122.4,30,0,1979,8,24,1979/08/24 04:00:00+00
412489,412490,1979233N14258,EP,MM,FEFA,18.21,-122.69,25,0,1979,8,24,1979/08/24 04:00:00+00
412490,412491,1979233N14258,EP,MM,FEFA,18.3,-122.99,22,0,1979,8,24,1979/08/24 04:00:00+00
450920,450921,1985184N15258,EP,MM,FEFA,14.8,-102.2,25,0,1985,7,2,1985/07/02 04:00:00+00
450921,450922,1985184N15258,EP,MM,FEFA,14.95,-102.7,27,0,1985,7,2,1985/07/02 04:00:00+00
450922,450923,1985184N15258,EP,MM,FEFA,15.1,-103.22,30,0,1985,7,2,1985/07/02 04:00:00+00
450923,450924,1985184N15258,EP,MM,FEFA,15.27,-103.8,32,0,1985,7,2,1985/07/02 04:00:00+00
450924,450925,1985184N15258,EP,MM,FEFA,15.5,-104.4,35,0,1985,7,3,1985/07/03 04:00:00+00
450925,450926,1985184N15258,EP,MM,FEFA,15.81,-105.01,35,0,1985,7,3,1985/07/03 04:00:00+00
450926,450927,1985184N15258,EP,MM,FEFA,16.18,-105.58,35,0,1985,7,3,1985/07/03 04:00:00+00
450927,450928,1985184N15258,EP,MM,FEFA,16.56,-106.08,37,0,1985,7,3,1985/07/03 04:00:00+00
450928,450929,1985184N15258,EP,MM,FEFA,17.0,-106.5,40,0,1985,7,3,1985/07/03 04:00:00+00
450929,450930,1985184N15258,EP,MM,FEFA,17.53,-106.88,45,0,1985,7,3,1985/07/03 04:00:00+00
450930,450931,1985184N15258,EP,MM,FEFA,18.12,-107.2,50,0,1985,7,3,1985/07/03 04:00:00+00
450931,450932,1985184N15258,EP,MM,FEFA,18.73,-107.5,55,0,1985,7,3,1985/07/03 04:00:00+00
450932,450933,1985184N15258,EP,MM,FEFA,19.3,-107.8,60,0,1985,7,4,1985/07/04 04:00:00+00
450933,450934,1985184N15258,EP,MM,FEFA,19.75,-108.14,60,0,1985,7,4,1985/07/04 04:00:00+00
450934,450935,1985184N15258,EP,MM,FEFA,20.09,-108.47,60,0,1985,7,4,1985/07/04 04:00:00+00
450935,450936,1985184N15258,EP,MM,FEFA,20.38,-108.74,60,0,1985,7,4,1985/07/04 04:00:00+00
450936,450937,1985184N15258,EP,MM,FEFA,20.6,-109.0,60,0,1985,7,4,1985/07/04 04:00:00+00
450937,450938,1985184N15258,EP,MM,FEFA,20.78,-109.34,55,0,1985,7,4,1985/07/04 04:00:00+00
450938,450939,1985184N15258,EP,MM,FEFA,20.92,-109.69,50,0,1985,7,4,1985/07/04 04:00:00+00
450939,450940,1985184N15258,EP,MM,FEFA,21.07,-110.0,47,0,1985,7,4,1985/07/04 04:00:00+00
450940,450941,1985184N15258,EP,MM,FEFA,21.2,-110.3,45,0,1985,7,5,1985/07/05 04:00:00+00
450941,450942,1985184N15258,EP,MM,FEFA,21.31,-110.61,37,0,1985,7,5,1985/07/05 04:00:00+00
450942,450943,1985184N15258,EP,MM,FEFA,21.4,-110.91,30,0,1985,7,5,1985/07/05 04:00:00+00
450943,450944,1985184N15258,EP,MM,FEFA,21.5,-111.21,30,0,1985,7,5,1985/07/05 04:00:00+00
450944,450945,1985184N15258,EP,MM,FEFA,21.6,-111.5,30,0,1985,7,5,1985/07/05 04:00:00+00
450945,450946,1985184N15258,EP,MM,FEFA,21.7,-111.76,27,0,1985,7,5,1985/07/05 04:00:00+00
450946,450947,1985184N15258,EP,MM,FEFA,21.79,-112.0,25,0,1985,7,5,1985/07/05 04:00:00+00
450947,450948,1985184N15258,EP,MM,FEFA,21.88,-112.21,25,0,1985,7,5,1985/07/05 04:00:00+00
450948,450949,1985184N15258,EP,MM,FEFA,22.0,-112.4,25,0,1985,7,6,1985/07/06 04:00:00+00
450949,450950,1985184N15258,EP,MM,FEFA,22.18,-112.61,25,0,1985,7,6,1985/07/06 04:00:00+00
450950,450951,1985184N15258,EP,MM,FEFA,22.39,-112.79,25,0,1985,7,6,1985/07/06 04:00:00+00
450951,450952,1985184N15258,EP,MM,FEFA,22.59,-112.92,25,0,1985,7,6,1985/07/06 04:00:00+00
450952,450953,1985184N15258,EP,MM,FEFA,22.8,-113.0,25,0,1985,7,6,1985/07/06 04:00:00+00
450953,450954,1985184N15258,EP,MM,FEFA,23.04,-113.06,22,0,1985,7,6,1985/07/06 04:00:00+00
492150,492151,1991210N11253,EP,MM,FEFA,10.8,-107.2,25,1009,1991,7,29,1991/07/29 04:00:00+00
492151,492152,1991210N11253,EP,MM,FEFA,11.16,-107.86,27,1008,1991,7,29,1991/07/29 04:00:00+00
492152,492153,1991210N11253,EP,MM,FEFA,11.5,-108.5,30,1008,1991,7,29,1991/07/29 04:00:00+00
492153,492154,1991210N11253,EP,MM,FEFA,11.8,-109.11,32,1006,1991,7,29,1991/07/29 04:00:00+00
