Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
539279,539280,1997196N10251,EP,MM,FELICIA,9.7,-109.0,30,1006,1997,7,14,1997/07/14 04:00:00+00
539280,539281,1997196N10251,EP,MM,FELICIA,10.07,-109.56,30,1006,1997,7,14,1997/07/14 04:00:00+00
539281,539282,1997196N10251,EP,MM,FELICIA,10.4,-110.1,30,1006,1997,7,14,1997/07/14 04:00:00+00
539282,539283,1997196N10251,EP,MM,FELICIA,10.67,-110.61,30,1006,1997,7,14,1997/07/14 04:00:00+00
539283,539284,1997196N10251,EP,MM,FELICIA,10.9,-111.1,30,1006,1997,7,15,1997/07/15 04:00:00+00
539284,539285,1997196N10251,EP,MM,FELICIA,11.11,-111.59,30,1005,1997,7,15,1997/07/15 04:00:00+00
539285,539286,1997196N10251,EP,MM,FELICIA,11.3,-112.0,30,1005,1997,7,15,1997/07/15 04:00:00+00
539286,539287,1997196N10251,EP,MM,FELICIA,11.5,-112.28,30,1005,1997,7,15,1997/07/15 04:00:00+00
539287,539288,1997196N10251,EP,MM,FELICIA,11.7,-112.5,30,1005,1997,7,15,1997/07/15 04:00:00+00
539288,539289,1997196N10251,EP,MM,FELICIA,11.91,-112.73,32,1004,1997,7,15,1997/07/15 04:00:00+00
539289,539290,1997196N10251,EP,MM,FELICIA,12.1,-113.0,35,1004,1997,7,15,1997/07/15 04:00:00+00
539290,539291,1997196N10251,EP,MM,FELICIA,12.27,-113.33,35,1003,1997,7,15,1997/07/15 04:00:00+00
539291,539292,1997196N10251,EP,MM,FELICIA,12.4,-113.7,35,1003,1997,7,16,1997/07/16 04:00:00+00
539292,539293,1997196N10251,EP,MM,FELICIA,12.47,-114.11,37,1001,1997,7,16,1997/07/16 04:00:00+00
539293,539294,1997196N10251,EP,MM,FELICIA,12.5,-114.5,40,1000,1997,7,16,1997/07/16 04:00:00+00
539294,539295,1997196N10251,EP,MM,FELICIA,12.5,-114.83,45,998,1997,7,16,1997/07/16 04:00:00+00
539295,539296,1997196N10251,EP,MM,FELICIA,12.5,-115.1,50,996,1997,7,16,1997/07/16 04:00:00+00
539296,539297,1997196N10251,EP,MM,FELICIA,12.53,-115.31,52,993,1997,7,16,1997/07/16 04:00:00+00
539297,539298,1997196N10251,EP,MM,FELICIA,12.6,-115.5,55,990,1997,7,16,1997/07/16 04:00:00+00
539298,539299,1997196N10251,EP,MM,FELICIA,12.72,-115.71,57,989,1997,7,16,1997/07/16 04:00:00+00
539299,539300,1997196N10251,EP,MM,FELICIA,12.9,-116.0,60,988,1997,7,17,1997/07/17 04:00:00+00
539300,539301,1997196N10251,EP,MM,FELICIA,13.13,-116.41,62,987,1997,7,17,1997/07/17 04:00:00+00
539301,539302,1997196N10251,EP,MM,FELICIA,13.4,-116.9,65,987,1997,7,17,1997/07/17 04:00:00+00
539302,539303,1997196N10251,EP,MM,FELICIA,13.65,-117.39,65,987,1997,7,17,1997/07/17 04:00:00+00
