Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
349832,349833,1971017S11059,SI,MM,FELICIE,-10.5,59.14,0,0,1971,1,17,1971/01/17 05:00:00+00
349833,349834,1971017S11059,SI,MM,FELICIE,-10.67,58.91,0,0,1971,1,17,1971/01/17 05:00:00+00
349834,349835,1971017S11059,SI,MM,FELICIE,-10.83,58.66,0,0,1971,1,17,1971/01/17 05:00:00+00
349835,349836,1971017S11059,SI,MM,FELICIE,-10.95,58.35,0,0,1971,1,17,1971/01/17 05:00:00+00
349836,349837,1971017S11059,SI,MM,FELICIE,-11.08,58.02,0,0,1971,1,17,1971/01/17 05:00:00+00
349837,349838,1971017S11059,SI,MM,FELICIE,-11.24,57.71,0,0,1971,1,17,1971/01/17 05:00:00+00
349838,349839,1971017S11059,SI,MM,FELICIE,-11.42,57.38,0,0,1971,1,18,1971/01/18 05:00:00+00
349839,349840,1971017S11059,SI,MM,FELICIE,-11.61,56.96,0,0,1971,1,18,1971/01/18 05:00:00+00
349840,349841,1971017S11059,SI,MM,FELICIE,-11.82,56.52,0,0,1971,1,18,1971/01/18 05:00:00+00
349841,349842,1971017S11059,SI,MM,FELICIE,-12.03,56.13,0,0,1971,1,18,1971/01/18 05:00:00+00
349842,349843,1971017S11059,SI,MM,FELICIE,-12.26,55.74,0,0,1971,1,18,1971/01/18 05:00:00+00
349843,349844,1971017S11059,SI,MM,FELICIE,-12.56,55.32,0,0,1971,1,18,1971/01/18 05:00:00+00
349844,349845,1971017S11059,SI,MM,FELICIE,-12.82,54.88,0,0,1971,1,18,1971/01/18 05:00:00+00
349845,349846,1971017S11059,SI,MM,FELICIE,-12.96,54.42,0,0,1971,1,18,1971/01/18 05:00:00+00
349846,349847,1971017S11059,SI,MM,FELICIE,-13.04,53.94,0,0,1971,1,19,1971/01/19 05:00:00+00
349847,349848,1971017S11059,SI,MM,FELICIE,-13.14,53.45,0,0,1971,1,19,1971/01/19 05:00:00+00
349848,349849,1971017S11059,SI,MM,FELICIE,-13.24,52.94,0,0,1971,1,19,1971/01/19 05:00:00+00
349849,349850,1971017S11059,SI,MM,FELICIE,-13.33,52.4,0,0,1971,1,19,1971/01/19 05:00:00+00
349850,349851,1971017S11059,SI,MM,FELICIE,-13.41,51.85,0,0,1971,1,19,1971/01/19 05:00:00+00
349851,349852,1971017S11059,SI,MM,FELICIE,-13.52,51.29,0,0,1971,1,19,1971/01/19 05:00:00+00
349852,349853,1971017S11059,SI,MM,FELICIE,-13.62,50.74,0,0,1971,1,19,1971/01/19 05:00:00+00
349853,349854,1971017S11059,SI,MM,FELICIE,-13.68,50.19,0,0,1971,1,19,1971/01/19 05:00:00+00
349854,349855,1971017S11059,SI,MM,FELICIE,-13.76,49.63,0,0,1971,1,20,1971/01/20 05:00:00+00
349855,349856,1971017S11059,SI,MM,FELICIE,-13.88,49.03,0,0,1971,1,20,1971/01/20 05:00:00+00
349856,349857,1971017S11059,SI,MM,FELICIE,-14.02,48.54,0,0,1971,1,20,1971/01/20 05:00:00+00
349857,349858,1971017S11059,SI,MM,FELICIE,-14.13,48.29,0,0,1971,1,20,1971/01/20 05:00:00+00
349858,349859,1971017S11059,SI,MM,FELICIE,-14.25,48.16,0,0,1971,1,20,1971/01/20 05:00:00+00
349859,349860,1971017S11059,SI,MM,FELICIE,-14.39,48.06,0,0,1971,1,20,1971/01/20 05:00:00+00
349860,349861,1971017S11059,SI,MM,FELICIE,-14.52,47.94,0,0,1971,1,20,1971/01/20 05:00:00+00
349861,349862,1971017S11059,SI,MM,FELICIE,-14.59,47.71,0,0,1971,1,20,1971/01/20 05:00:00+00
349862,349863,1971017S11059,SI,MM,FELICIE,-14.68,47.43,0,0,1971,1,21,1971/01/21 05:00:00+00
349863,349864,1971017S11059,SI,MM,FELICIE,-14.85,47.18,0,0,1971,1,21,1971/01/21 05:00:00+00
349864,349865,1971017S11059,SI,MM,FELICIE,-15.04,46.9,0,0,1971,1,21,1971/01/21 05:00:00+00
349865,349866,1971017S11059,SI,MM,FELICIE,-15.18,46.58,0,0,1971,1,21,1971/01/21 05:00:00+00
349866,349867,1971017S11059,SI,MM,FELICIE,-15.3,46.21,0,0,1971,1,21,1971/01/21 05:00:00+00
349867,349868,1971017S11059,SI,MM,FELICIE,-15.44,45.83,0,0,1971,1,21,1971/01/21 05:00:00+00
349868,349869,1971017S11059,SI,MM,FELICIE,-15.6,45.4,0,0,1971,1,21,1971/01/21 05:00:00+00
349869,349870,1971017S11059,SI,MM,FELICIE,-15.78,44.88,0,0,1971,1,21,1971/01/21 05:00:00+00
349870,349871,1971017S11059,SI,MM,FELICIE,-15.98,44.37,0,0,1971,1,22,1971/01/22 05:00:00+00
349871,349872,1971017S11059,SI,MM,FELICIE,-16.22,43.91,0,0,1971,1,22,1971/01/22 05:00:00+00
349872,349873,1971017S11059,SI,MM,FELICIE,-16.4,43.6,0,0,1971,1,22,1971/01/22 05:00:00+00
349873,349874,1971017S11059,SI,MM,FELICIE,-16.45,43.5,0,0,1971,1,22,1971/01/22 05:00:00+00
349874,349875,1971017S11059,SI,MM,FELICIE,-16.47,43.51,0,0,1971,1,22,1971/01/22 05:00:00+00
349875,349876,1971017S11059,SI,MM,FELICIE,-16.55,43.47,0,0,1971,1,22,1971/01/22 05:00:00+00
349876,349877,1971017S11059,SI,MM,FELICIE,-16.66,43.44,0,0,1971,1,22,1971/01/22 05:00:00+00
349877,349878,1971017S11059,SI,MM,FELICIE,-16.79,43.39,0,0,1971,1,22,1971/01/22 05:00:00+00
349878,349879,1971017S11059,SI,MM,FELICIE,-16.9,43.36,0,0,1971,1,23,1971/01/23 05:00:00+00
349879,349880,1971017S11059,SI,MM,FELICIE,-16.97,43.33,0,0,1971,1,23,1971/01/23 05:00:00+00
349880,349881,1971017S11059,SI,MM,FELICIE,-17.02,43.32,0,0,1971,1,23,1971/01/23 05:00:00+00
349881,349882,1971017S11059,SI,MM,FELICIE,-17.08,43.3,0,0,1971,1,23,1971/01/23 05:00:00+00
349882,349883,1971017S11059,SI,MM,FELICIE,-17.13,43.31,0,0,1971,1,23,1971/01/23 05:00:00+00
349883,349884,1971017S11059,SI,MM,FELICIE,-17.15,43.36,0,0,1971,1,23,1971/01/23 05:00:00+00
349884,349885,1971017S11059,SI,MM,FELICIE,-17.16,43.42,0,0,1971,1,23,1971/01/23 05:00:00+00
349885,349886,1971017S11059,SI,MM,FELICIE,-17.16,43.44,0,0,1971,1,23,1971/01/23 05:00:00+00
349886,349887,1971017S11059,SI,MM,FELICIE,-17.19,43.44,0,0,1971,1,24,1971/01/24 05:00:00+00
349887,349888,1971017S11059,SI,MM,FELICIE,-17.25,43.45,0,0,1971,1,24,1971/01/24 05:00:00+00
349888,349889,1971017S11059,SI,MM,FELICIE,-17.38,43.48,0,0,1971,1,24,1971/01/24 05:00:00+00
349889,349890,1971017S11059,SI,MM,FELICIE,-17.61,43.58,0,0,1971,1,24,1971/01/24 05:00:00+00
349890,349891,1971017S11059,SI,MM,FELICIE,-17.88,43.71,0,0,1971,1,24,1971/01/24 05:00:00+00
349891,349892,1971017S11059,SI,MM,FELICIE,-18.18,43.83,0,0,1971,1,24,1971/01/24 05:00:00+00
349892,349893,1971017S11059,SI,MM,FELICIE,-18.38,43.94,0,0,1971,1,24,1971/01/24 05:00:00+00
349893,349894,1971017S11059,SI,MM,FELICIE,-18.35,44.03,0,0,1971,1,24,1971/01/24 05:00:00+00
349894,349895,1971017S11059,SI,MM,FELICIE,-18.22,44.08,0,0,1971,1,25,1971/01/25 05:00:00+00
349895,349896,1971017S11059,SI,MM,FELICIE,-18.12,44.07,0,0,1971,1,25,1971/01/25 05:00:00+00
349896,349897,1971017S11059,SI,MM,FELICIE,-18.06,43.98,0,0,1971,1,25,1971/01/25 05:00:00+00
349897,349898,1971017S11059,SI,MM,FELICIE,-18.08,43.77,0,0,1971,1,25,1971/01/25 05:00:00+00
349898,349899,1971017S11059,SI,MM,FELICIE,-18.15,43.48,0,0,1971,1,25,1971/01/25 05:00:00+00
349899,349900,1971017S11059,SI,MM,FELICIE,-18.23,43.15,0,0,1971,1,25,1971/01/25 05:00:00+00
