Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
436575,436576,1983173S11056,SI,MM,FELY,-10.8,55.8,0,0,1983,6,22,1983/06/22 04:00:00+00
436576,436577,1983173S11056,SI,MM,FELY,-11.24,55.54,0,0,1983,6,22,1983/06/22 04:00:00+00
436577,436578,1983173S11056,SI,MM,FELY,-11.7,55.2,0,0,1983,6,22,1983/06/22 04:00:00+00
436578,436579,1983173S11056,SI,MM,FELY,-12.19,54.75,0,0,1983,6,22,1983/06/22 04:00:00+00
436579,436580,1983173S11056,SI,MM,FELY,-12.7,54.3,0,0,1983,6,22,1983/06/22 04:00:00+00
436580,436581,1983173S11056,SI,MM,FELY,-13.19,54.01,0,0,1983,6,22,1983/06/22 04:00:00+00
436581,436582,1983173S11056,SI,MM,FELY,-13.7,53.7,0,0,1983,6,23,1983/06/23 04:00:00+00
436582,436583,1983173S11056,SI,MM,FELY,-14.31,53.19,0,0,1983,6,23,1983/06/23 04:00:00+00
436583,436584,1983173S11056,SI,MM,FELY,-14.8,52.7,0,0,1983,6,23,1983/06/23 04:00:00+00
436584,436585,1983173S11056,SI,MM,FELY,-14.94,52.4,0,0,1983,6,23,1983/06/23 04:00:00+00
436585,436586,1983173S11056,SI,MM,FELY,-15.0,52.2,0,0,1983,6,23,1983/06/23 04:00:00+00
436586,436587,1983173S11056,SI,MM,FELY,-15.23,52.01,0,0,1983,6,23,1983/06/23 04:00:00+00
436587,436588,1983173S11056,SI,MM,FELY,-15.5,51.8,0,0,1983,6,23,1983/06/23 04:00:00+00
436588,436589,1983173S11056,SI,MM,FELY,-15.76,51.49,0,0,1983,6,23,1983/06/23 04:00:00+00
436589,436590,1983173S11056,SI,MM,FELY,-16.0,51.2,0,0,1983,6,24,1983/06/24 04:00:00+00
436590,436591,1983173S11056,SI,MM,FELY,-16.18,51.1,0,0,1983,6,24,1983/06/24 04:00:00+00
436591,436592,1983173S11056,SI,MM,FELY,-16.4,51.0,0,0,1983,6,24,1983/06/24 04:00:00+00
436592,436593,1983173S11056,SI,MM,FELY,-16.72,50.75,0,0,1983,6,24,1983/06/24 04:00:00+00
