Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
441872,441873,1984062S12131,SI,WA,FERDINAND,-12.0,131.0,0,0,1984,3,2,1984/03/02 05:00:00+00
441873,441874,1984062S12131,SI,WA,FERDINAND,-11.9,131.1,0,0,1984,3,2,1984/03/02 05:00:00+00
441874,441875,1984062S12131,SI,WA,FERDINAND,-11.88,131.16,0,0,1984,3,2,1984/03/02 05:00:00+00
441875,441876,1984062S12131,SI,WA,FERDINAND,-11.84,131.3,0,0,1984,3,2,1984/03/02 05:00:00+00
441876,441877,1984062S12131,SI,WA,FERDINAND,-11.84,131.38,0,0,1984,3,2,1984/03/02 05:00:00+00
441877,441878,1984062S12131,SI,WA,FERDINAND,-11.81,131.55,0,0,1984,3,2,1984/03/02 05:00:00+00
441878,441879,1984062S12131,SI,WA,FERDINAND,-11.78,131.63,0,0,1984,3,2,1984/03/02 05:00:00+00
441879,441880,1984062S12131,SI,WA,FERDINAND,-11.74,131.7,0,0,1984,3,2,1984/03/02 05:00:00+00
441880,441881,1984062S12131,SI,WA,FERDINAND,-11.7,131.76,0,0,1984,3,2,1984/03/02 05:00:00+00
441881,441882,1984062S12131,SI,WA,FERDINAND,-11.66,131.81,0,0,1984,3,2,1984/03/02 05:00:00+00
441882,441883,1984062S12131,SI,WA,FERDINAND,-11.56,131.88,0,0,1984,3,2,1984/03/02 05:00:00+00
441883,441884,1984062S12131,SI,WA,FERDINAND,-11.5,131.91,0,0,1984,3,2,1984/03/02 05:00:00+00
441884,441885,1984062S12131,SI,WA,FERDINAND,-11.36,131.94,0,0,1984,3,2,1984/03/02 05:00:00+00
441885,441886,1984062S12131,SI,WA,FERDINAND,-11.27,131.96,0,0,1984,3,2,1984/03/02 05:00:00+00
441886,441887,1984062S12131,SI,WA,FERDINAND,-11.09,132.04,0,0,1984,3,2,1984/03/02 05:00:00+00
441887,441888,1984062S12131,SI,WA,FERDINAND,-11.03,132.11,0,0,1984,3,2,1984/03/02 05:00:00+00
441888,441889,1984062S12131,SI,WA,FERDINAND,-10.94,132.28,0,0,1984,3,2,1984/03/02 05:00:00+00
441889,441890,1984062S12131,SI,WA,FERDINAND,-10.92,132.36,0,0,1984,3,3,1984/03/03 05:00:00+00
441890,441891,1984062S12131,SI,WA,FERDINAND,-10.94,132.52,0,0,1984,3,3,1984/03/03 05:00:00+00
441891,441892,1984062S12131,SI,WA,FERDINAND,-10.97,132.59,0,0,1984,3,3,1984/03/03 05:00:00+00
441892,441893,1984062S12131,SI,WA,FERDINAND,-11.06,132.75,0,0,1984,3,3,1984/03/03 05:00:00+00
441893,441894,1984062S12131,SI,WA,FERDINAND,-11.1,132.85,0,0,1984,3,3,1984/03/03 05:00:00+00
441894,441895,1984062S12131,SI,WA,FERDINAND,-11.16,133.04,0,0,1984,3,3,1984/03/03 05:00:00+00
441895,441896,1984062S12131,SI,WA,FERDINAND,-11.19,133.12,0,0,1984,3,3,1984/03/03 05:00:00+00
441896,441897,1984062S12131,SI,WA,FERDINAND,-11.26,133.25,0,0,1984,3,3,1984/03/03 05:00:00+00
441897,441898,1984062S12131,SI,WA,FERDINAND,-11.29,133.3,0,0,1984,3,3,1984/03/03 05:00:00+00
441898,441899,1984062S12131,SI,WA,FERDINAND,-11.35,133.37,0,0,1984,3,3,1984/03/03 05:00:00+00
441899,441900,1984062S12131,SI,WA,FERDINAND,-11.38,133.41,0,0,1984,3,3,1984/03/03 05:00:00+00
441900,441901,1984062S12131,SI,WA,FERDINAND,-11.44,133.47,0,0,1984,3,3,1984/03/03 05:00:00+00
