Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
267523,267524,1958248N10315,,,FIFI,10.1,-44.8,25,0,1958,9,4,1958/09/04 04:00:00+00
267524,267525,1958248N10315,,,FIFI,10.33,-45.76,25,0,1958,9,4,1958/09/04 04:00:00+00
267525,267526,1958248N10315,,,FIFI,10.6,-46.7,25,0,1958,9,4,1958/09/04 04:00:00+00
267526,267527,1958248N10315,,,FIFI,10.96,-47.61,27,0,1958,9,4,1958/09/04 04:00:00+00
267527,267528,1958248N10315,,,FIFI,11.4,-48.5,30,0,1958,9,5,1958/09/05 04:00:00+00
267528,267529,1958248N10315,,,FIFI,11.88,-49.4,32,0,1958,9,5,1958/09/05 04:00:00+00
267529,267530,1958248N10315,,,FIFI,12.4,-50.3,35,0,1958,9,5,1958/09/05 04:00:00+00
267530,267531,1958248N10315,,,FIFI,12.96,-51.22,37,0,1958,9,5,1958/09/05 04:00:00+00
267531,267532,1958248N10315,,,FIFI,13.5,-52.1,40,0,1958,9,5,1958/09/05 04:00:00+00
267532,267533,1958248N10315,,,FIFI,13.97,-52.95,42,0,1958,9,5,1958/09/05 04:00:00+00
267533,267534,1958248N10315,,,FIFI,14.4,-53.7,45,1000,1958,9,5,1958/09/05 04:00:00+00
267534,267535,1958248N10315,,,FIFI,14.81,-54.33,50,0,1958,9,5,1958/09/05 04:00:00+00
267535,267536,1958248N10315,,,FIFI,15.2,-54.9,55,0,1958,9,6,1958/09/06 04:00:00+00
267536,267537,1958248N10315,,,FIFI,15.56,-55.52,60,0,1958,9,6,1958/09/06 04:00:00+00
267537,267538,1958248N10315,,,FIFI,15.9,-56.1,65,0,1958,9,6,1958/09/06 04:00:00+00
267538,267539,1958248N10315,,,FIFI,16.23,-56.6,70,0,1958,9,6,1958/09/06 04:00:00+00
267539,267540,1958248N10315,,,FIFI,16.6,-57.1,75,0,1958,9,6,1958/09/06 04:00:00+00
267540,267541,1958248N10315,,,FIFI,17.03,-57.68,72,0,1958,9,6,1958/09/06 04:00:00+00
267541,267542,1958248N10315,,,FIFI,17.5,-58.3,70,0,1958,9,6,1958/09/06 04:00:00+00
267542,267543,1958248N10315,,,FIFI,17.99,-58.94,65,0,1958,9,6,1958/09/06 04:00:00+00
267543,267544,1958248N10315,,,FIFI,18.5,-59.6,60,1004,1958,9,7,1958/09/07 04:00:00+00
267544,267545,1958248N10315,,,FIFI,19.0,-60.26,60,1003,1958,9,7,1958/09/07 04:00:00+00
267545,267546,1958248N10315,,,FIFI,19.5,-60.9,60,1003,1958,9,7,1958/09/07 04:00:00+00
267546,267547,1958248N10315,,,FIFI,20.03,-61.52,60,1003,1958,9,7,1958/09/07 04:00:00+00
267547,267548,1958248N10315,,,FIFI,20.5,-62.1,60,1003,1958,9,7,1958/09/07 04:00:00+00
267548,267549,1958248N10315,,,FIFI,20.84,-62.64,60,1001,1958,9,7,1958/09/07 04:00:00+00
267549,267550,1958248N10315,,,FIFI,21.1,-63.1,60,1000,1958,9,7,1958/09/07 04:00:00+00
267550,267551,1958248N10315,,,FIFI,21.36,-63.48,57,1001,1958,9,7,1958/09/07 04:00:00+00
267551,267552,1958248N10315,,,FIFI,21.6,-63.8,55,1003,1958,9,8,1958/09/08 04:00:00+00
267552,267553,1958248N10315,,,FIFI,21.85,-64.12,55,0,1958,9,8,1958/09/08 04:00:00+00
267553,267554,1958248N10315,,,FIFI,22.1,-64.4,55,0,1958,9,8,1958/09/08 04:00:00+00
267554,267555,1958248N10315,,,FIFI,22.36,-64.66,55,0,1958,9,8,1958/09/08 04:00:00+00
267555,267556,1958248N10315,,,FIFI,22.6,-64.9,55,0,1958,9,8,1958/09/08 04:00:00+00
267556,267557,1958248N10315,,,FIFI,22.77,-65.16,55,0,1958,9,8,1958/09/08 04:00:00+00
267557,267558,1958248N10315,,,FIFI,22.9,-65.4,55,1000,1958,9,8,1958/09/08 04:00:00+00
267558,267559,1958248N10315,,,FIFI,23.06,-65.61,52,0,1958,9,8,1958/09/08 04:00:00+00
267559,267560,1958248N10315,,,FIFI,23.2,-65.8,50,0,1958,9,9,1958/09/09 04:00:00+00
