Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
379196,379197,1974258N15295,,CS,FIFI:ORLENE,15.3,-65.0,30,0,1974,9,14,1974/09/14 04:00:00+00
379197,379198,1974258N15295,,CS,FIFI:ORLENE,15.51,-65.75,30,0,1974,9,14,1974/09/14 04:00:00+00
379198,379199,1974258N15295,,CS,FIFI:ORLENE,15.7,-66.5,30,0,1974,9,14,1974/09/14 04:00:00+00
379199,379200,1974258N15295,,CS,FIFI:ORLENE,15.86,-67.25,30,0,1974,9,14,1974/09/14 04:00:00+00
379200,379201,1974258N15295,,CS,FIFI:ORLENE,16.0,-68.0,30,0,1974,9,15,1974/09/15 04:00:00+00
379201,379202,1974258N15295,,CS,FIFI:ORLENE,16.16,-68.75,30,0,1974,9,15,1974/09/15 04:00:00+00
379202,379203,1974258N15295,,CS,FIFI:ORLENE,16.3,-69.5,30,0,1974,9,15,1974/09/15 04:00:00+00
379203,379204,1974258N15295,,CS,FIFI:ORLENE,16.4,-70.25,30,0,1974,9,15,1974/09/15 04:00:00+00
379204,379205,1974258N15295,,CS,FIFI:ORLENE,16.5,-71.0,30,0,1974,9,15,1974/09/15 04:00:00+00
379205,379206,1974258N15295,,CS,FIFI:ORLENE,16.65,-71.75,30,0,1974,9,15,1974/09/15 04:00:00+00
379206,379207,1974258N15295,,CS,FIFI:ORLENE,16.8,-72.5,30,0,1974,9,15,1974/09/15 04:00:00+00
379207,379208,1974258N15295,,CS,FIFI:ORLENE,16.92,-73.25,30,0,1974,9,15,1974/09/15 04:00:00+00
379208,379209,1974258N15295,,CS,FIFI:ORLENE,17.0,-74.0,30,0,1974,9,16,1974/09/16 04:00:00+00
379209,379210,1974258N15295,,CS,FIFI:ORLENE,17.01,-74.75,30,0,1974,9,16,1974/09/16 04:00:00+00
379210,379211,1974258N15295,,CS,FIFI:ORLENE,17.0,-75.5,30,0,1974,9,16,1974/09/16 04:00:00+00
379211,379212,1974258N15295,,CS,FIFI:ORLENE,17.0,-76.3,30,0,1974,9,16,1974/09/16 04:00:00+00
379212,379213,1974258N15295,,CS,FIFI:ORLENE,17.0,-77.0,30,0,1974,9,16,1974/09/16 04:00:00+00
379213,379214,1974258N15295,,CS,FIFI:ORLENE,17.0,-77.44,32,0,1974,9,16,1974/09/16 04:00:00+00
379214,379215,1974258N15295,,CS,FIFI:ORLENE,17.0,-77.8,35,1005,1974,9,16,1974/09/16 04:00:00+00
379215,379216,1974258N15295,,CS,FIFI:ORLENE,17.01,-78.25,42,1002,1974,9,16,1974/09/16 04:00:00+00
379216,379217,1974258N15295,,CS,FIFI:ORLENE,17.0,-78.7,50,999,1974,9,17,1974/09/17 04:00:00+00
379217,379218,1974258N15295,,CS,FIFI:ORLENE,16.97,-79.11,55,996,1974,9,17,1974/09/17 04:00:00+00
379218,379219,1974258N15295,,CS,FIFI:ORLENE,16.9,-79.5,60,993,1974,9,17,1974/09/17 04:00:00+00
