Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
455877,455878,1986036S10082,SI,MM,FILOMENA,-10.0,82.1,25,0,1986,2,5,1986/02/05 05:00:00+00
455878,455879,1986036S10082,SI,MM,FILOMENA,-10.14,81.75,25,0,1986,2,5,1986/02/05 05:00:00+00
455879,455880,1986036S10082,SI,MM,FILOMENA,-10.3,81.4,25,0,1986,2,5,1986/02/05 05:00:00+00
455880,455881,1986036S10082,SI,MM,FILOMENA,-10.49,81.04,27,0,1986,2,5,1986/02/05 05:00:00+00
455881,455882,1986036S10082,SI,MM,FILOMENA,-10.7,80.7,30,0,1986,2,5,1986/02/05 05:00:00+00
455882,455883,1986036S10082,SI,MM,FILOMENA,-10.9,80.39,30,0,1986,2,5,1986/02/05 05:00:00+00
455883,455884,1986036S10082,SI,MM,FILOMENA,-11.1,80.1,30,0,1986,2,6,1986/02/06 05:00:00+00
455884,455885,1986036S10082,SI,MM,FILOMENA,-11.3,79.83,32,0,1986,2,6,1986/02/06 05:00:00+00
455885,455886,1986036S10082,SI,MM,FILOMENA,-11.56,79.76,35,0,1986,2,6,1986/02/06 05:00:00+00
455886,455887,1986036S10082,SI,MM,FILOMENA,-11.73,79.65,35,0,1986,2,6,1986/02/06 05:00:00+00
455887,455888,1986036S10082,SI,MM,FILOMENA,-11.85,79.54,35,0,1986,2,6,1986/02/06 05:00:00+00
455888,455889,1986036S10082,SI,MM,FILOMENA,-11.95,79.31,37,0,1986,2,6,1986/02/06 05:00:00+00
455889,455890,1986036S10082,SI,MM,FILOMENA,-12.09,79.03,40,0,1986,2,6,1986/02/06 05:00:00+00
455890,455891,1986036S10082,SI,MM,FILOMENA,-12.26,78.74,40,0,1986,2,6,1986/02/06 05:00:00+00
455891,455892,1986036S10082,SI,MM,FILOMENA,-12.5,78.49,40,0,1986,2,7,1986/02/07 05:00:00+00
455892,455893,1986036S10082,SI,MM,FILOMENA,-12.82,78.31,42,0,1986,2,7,1986/02/07 05:00:00+00
455893,455894,1986036S10082,SI,MM,FILOMENA,-13.15,78.2,45,0,1986,2,7,1986/02/07 05:00:00+00
455894,455895,1986036S10082,SI,MM,FILOMENA,-13.4,78.15,47,0,1986,2,7,1986/02/07 05:00:00+00
455895,455896,1986036S10082,SI,MM,FILOMENA,-13.64,78.18,50,0,1986,2,7,1986/02/07 05:00:00+00
455896,455897,1986036S10082,SI,MM,FILOMENA,-13.89,78.26,52,0,1986,2,7,1986/02/07 05:00:00+00
455897,455898,1986036S10082,SI,MM,FILOMENA,-14.18,78.4,55,0,1986,2,7,1986/02/07 05:00:00+00
455898,455899,1986036S10082,SI,MM,FILOMENA,-14.49,78.59,55,0,1986,2,7,1986/02/07 05:00:00+00
455899,455900,1986036S10082,SI,MM,FILOMENA,-14.81,78.81,55,0,1986,2,8,1986/02/08 05:00:00+00
455900,455901,1986036S10082,SI,MM,FILOMENA,-15.14,79.0,55,0,1986,2,8,1986/02/08 05:00:00+00
455901,455902,1986036S10082,SI,MM,FILOMENA,-15.47,79.17,55,0,1986,2,8,1986/02/08 05:00:00+00
455902,455903,1986036S10082,SI,MM,FILOMENA,-15.82,79.35,55,0,1986,2,8,1986/02/08 05:00:00+00
455903,455904,1986036S10082,SI,MM,FILOMENA,-16.17,79.5,55,0,1986,2,8,1986/02/08 05:00:00+00
455904,455905,1986036S10082,SI,MM,FILOMENA,-16.55,79.65,55,0,1986,2,8,1986/02/08 05:00:00+00
455905,455906,1986036S10082,SI,MM,FILOMENA,-16.95,79.78,55,0,1986,2,8,1986/02/08 05:00:00+00
455906,455907,1986036S10082,SI,MM,FILOMENA,-17.41,79.89,55,0,1986,2,8,1986/02/08 05:00:00+00
455907,455908,1986036S10082,SI,MM,FILOMENA,-17.89,79.98,55,0,1986,2,9,1986/02/09 05:00:00+00
455908,455909,1986036S10082,SI,MM,FILOMENA,-18.35,80.05,55,0,1986,2,9,1986/02/09 05:00:00+00
455909,455910,1986036S10082,SI,MM,FILOMENA,-18.77,80.1,55,0,1986,2,9,1986/02/09 05:00:00+00
455910,455911,1986036S10082,SI,MM,FILOMENA,-19.12,80.16,52,0,1986,2,9,1986/02/09 05:00:00+00
455911,455912,1986036S10082,SI,MM,FILOMENA,-19.43,80.22,50,0,1986,2,9,1986/02/09 05:00:00+00
455912,455913,1986036S10082,SI,MM,FILOMENA,-19.73,80.25,47,0,1986,2,9,1986/02/09 05:00:00+00
455913,455914,1986036S10082,SI,MM,FILOMENA,-20.05,80.28,45,0,1986,2,9,1986/02/09 05:00:00+00
455914,455915,1986036S10082,SI,MM,FILOMENA,-20.37,80.3,42,0,1986,2,9,1986/02/09 05:00:00+00
455915,455916,1986036S10082,SI,MM,FILOMENA,-20.74,80.31,40,0,1986,2,10,1986/02/10 05:00:00+00
455916,455917,1986036S10082,SI,MM,FILOMENA,-21.16,80.32,37,0,1986,2,10,1986/02/10 05:00:00+00
455917,455918,1986036S10082,SI,MM,FILOMENA,-21.65,80.3,35,0,1986,2,10,1986/02/10 05:00:00+00
455918,455919,1986036S10082,SI,MM,FILOMENA,-22.2,80.3,32,0,1986,2,10,1986/02/10 05:00:00+00
455919,455920,1986036S10082,SI,MM,FILOMENA,-22.79,80.24,30,0,1986,2,10,1986/02/10 05:00:00+00
455920,455921,1986036S10082,SI,MM,FILOMENA,-23.41,80.1,30,0,1986,2,10,1986/02/10 05:00:00+00
455921,455922,1986036S10082,SI,MM,FILOMENA,-24.02,79.83,30,0,1986,2,10,1986/02/10 05:00:00+00
455922,455923,1986036S10082,SI,MM,FILOMENA,-24.6,79.44,30,0,1986,2,10,1986/02/10 05:00:00+00
455923,455924,1986036S10082,SI,MM,FILOMENA,-25.35,78.81,30,0,1986,2,11,1986/02/11 05:00:00+00
455924,455925,1986036S10082,SI,MM,FILOMENA,-26.24,77.96,27,0,1986,2,11,1986/02/11 05:00:00+00
455925,455926,1986036S10082,SI,MM,FILOMENA,-27.26,76.88,25,0,1986,2,11,1986/02/11 05:00:00+00
455926,455927,1986036S10082,SI,MM,FILOMENA,-28.47,75.49,0,0,1986,2,11,1986/02/11 05:00:00+00
455927,455928,1986036S10082,SI,MM,FILOMENA,-28.67,74.49,0,0,1986,2,11,1986/02/11 05:00:00+00
455928,455929,1986036S10082,SI,MM,FILOMENA,-28.68,73.52,0,0,1986,2,11,1986/02/11 05:00:00+00
455929,455930,1986036S10082,SI,MM,FILOMENA,-28.55,72.6,0,0,1986,2,11,1986/02/11 05:00:00+00
455930,455931,1986036S10082,SI,MM,FILOMENA,-28.51,71.65,0,0,1986,2,11,1986/02/11 05:00:00+00
455931,455932,1986036S10082,SI,MM,FILOMENA,-28.06,70.82,0,0,1986,2,12,1986/02/12 05:00:00+00
455932,455933,1986036S10082,SI,MM,FILOMENA,-27.1,70.24,0,0,1986,2,12,1986/02/12 05:00:00+00
455933,455934,1986036S10082,SI,MM,FILOMENA,-26.08,69.92,0,0,1986,2,12,1986/02/12 05:00:00+00
455934,455935,1986036S10082,SI,MM,FILOMENA,-25.49,69.91,0,0,1986,2,12,1986/02/12 05:00:00+00
455935,455936,1986036S10082,SI,MM,FILOMENA,-24.93,70.15,0,0,1986,2,12,1986/02/12 05:00:00+00
455936,455937,1986036S10082,SI,MM,FILOMENA,-24.4,70.54,0,0,1986,2,12,1986/02/12 05:00:00+00
