Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
474614,474615,1989024S11064,SI,MM,FIRINGA,-11.0,64.0,25,0,1989,1,24,1989/01/24 05:00:00+00
474615,474616,1989024S11064,SI,MM,FIRINGA,-11.05,64.2,25,0,1989,1,24,1989/01/24 05:00:00+00
474616,474617,1989024S11064,SI,MM,FIRINGA,-11.13,64.34,25,0,1989,1,24,1989/01/24 05:00:00+00
474617,474618,1989024S11064,SI,MM,FIRINGA,-11.2,64.5,25,0,1989,1,24,1989/01/24 05:00:00+00
474618,474619,1989024S11064,SI,MM,FIRINGA,-11.29,64.62,25,0,1989,1,24,1989/01/24 05:00:00+00
474619,474620,1989024S11064,SI,MM,FIRINGA,-11.38,64.7,25,0,1989,1,24,1989/01/24 05:00:00+00
474620,474621,1989024S11064,SI,MM,FIRINGA,-11.47,64.83,25,0,1989,1,25,1989/01/25 05:00:00+00
474621,474622,1989024S11064,SI,MM,FIRINGA,-11.57,65.0,27,0,1989,1,25,1989/01/25 05:00:00+00
474622,474623,1989024S11064,SI,MM,FIRINGA,-11.69,65.17,30,0,1989,1,25,1989/01/25 05:00:00+00
474623,474624,1989024S11064,SI,MM,FIRINGA,-11.84,65.32,30,0,1989,1,25,1989/01/25 05:00:00+00
474624,474625,1989024S11064,SI,MM,FIRINGA,-12.03,65.47,30,0,1989,1,25,1989/01/25 05:00:00+00
474625,474626,1989024S11064,SI,MM,FIRINGA,-12.22,65.69,32,0,1989,1,25,1989/01/25 05:00:00+00
474626,474627,1989024S11064,SI,MM,FIRINGA,-12.44,65.89,35,0,1989,1,25,1989/01/25 05:00:00+00
474627,474628,1989024S11064,SI,MM,FIRINGA,-12.64,66.07,35,0,1989,1,25,1989/01/25 05:00:00+00
474628,474629,1989024S11064,SI,MM,FIRINGA,-12.88,66.17,35,0,1989,1,26,1989/01/26 05:00:00+00
474629,474630,1989024S11064,SI,MM,FIRINGA,-13.18,66.19,35,0,1989,1,26,1989/01/26 05:00:00+00
474630,474631,1989024S11064,SI,MM,FIRINGA,-13.52,66.13,35,0,1989,1,26,1989/01/26 05:00:00+00
474631,474632,1989024S11064,SI,MM,FIRINGA,-13.88,66.06,37,0,1989,1,26,1989/01/26 05:00:00+00
474632,474633,1989024S11064,SI,MM,FIRINGA,-14.22,65.92,40,0,1989,1,26,1989/01/26 05:00:00+00
