Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
641127,641128,2014030S14129,SI,WA,FLETCHER,-13.6,129.3,0,0,2014,1,30,2014/01/30 05:00:00+00
641128,641129,2014030S14129,SI,WA,FLETCHER,-13.87,129.4,0,0,2014,1,30,2014/01/30 05:00:00+00
641129,641130,2014030S14129,SI,WA,FLETCHER,-14.0,129.5,0,0,2014,1,30,2014/01/30 05:00:00+00
641130,641131,2014030S14129,SI,WA,FLETCHER,-13.93,129.62,0,0,2014,1,30,2014/01/30 05:00:00+00
641131,641132,2014030S14129,SI,WA,FLETCHER,-13.8,129.7,0,0,2014,1,30,2014/01/30 05:00:00+00
641132,641133,2014030S14129,SI,WA,FLETCHER,-13.79,129.75,0,0,2014,1,30,2014/01/30 05:00:00+00
641133,641134,2014030S14129,SI,WA,FLETCHER,-13.8,129.7,0,0,2014,1,30,2014/01/30 05:00:00+00
641134,641135,2014030S14129,SI,WA,FLETCHER,-13.73,129.5,0,0,2014,1,30,2014/01/30 05:00:00+00
641135,641136,2014030S14129,SI,WA,FLETCHER,-13.7,129.3,0,0,2014,1,31,2014/01/31 05:00:00+00
641136,641137,2014030S14129,SI,WA,FLETCHER,-13.84,129.22,0,0,2014,1,31,2014/01/31 05:00:00+00
641137,641138,2014030S14129,SI,WA,FLETCHER,-14.0,129.3,0,0,2014,1,31,2014/01/31 05:00:00+00
641138,641139,2014030S14129,SI,WA,FLETCHER,-14.01,129.51,0,0,2014,1,31,2014/01/31 05:00:00+00
641139,641140,2014030S14129,SI,WA,FLETCHER,-14.0,129.9,0,0,2014,1,31,2014/01/31 05:00:00+00
641140,641141,2014030S14129,SI,WA,FLETCHER,-14.02,130.48,0,0,2014,1,31,2014/01/31 05:00:00+00
641141,641142,2014030S14129,SI,WA,FLETCHER,-14.1,131.1,0,0,2014,1,31,2014/01/31 05:00:00+00
641142,641143,2014030S14129,SI,WA,FLETCHER,-14.26,131.56,0,0,2014,1,31,2014/01/31 05:00:00+00
641143,641144,2014030S14129,SI,WA,FLETCHER,-14.5,132.0,0,0,2014,2,1,2014/02/01 05:00:00+00
641144,641145,2014030S14129,SI,WA,FLETCHER,-14.8,132.5,0,0,2014,2,1,2014/02/01 05:00:00+00
641145,641146,2014030S14129,SI,WA,FLETCHER,-15.0,133.1,0,0,2014,2,1,2014/02/01 05:00:00+00
641146,641147,2014030S14129,SI,WA,FLETCHER,-15.43,133.48,0,0,2014,2,1,2014/02/01 05:00:00+00
641147,641148,2014030S14129,SI,WA,FLETCHER,-15.9,133.8,0,0,2014,2,1,2014/02/01 05:00:00+00
641148,641149,2014030S14129,SI,WA,FLETCHER,-16.15,134.3,0,0,2014,2,1,2014/02/01 05:00:00+00
641149,641150,2014030S14129,SI,WA,FLETCHER,-16.3,134.8,0,0,2014,2,1,2014/02/01 05:00:00+00
641150,641151,2014030S14129,SP,EA,FLETCHER,-16.4,135.2,0,0,2014,2,1,2014/02/01 05:00:00+00
641151,641152,2014030S14129,SP,EA,FLETCHER,-16.52,135.65,0,0,2014,2,2,2014/02/02 05:00:00+00
641152,641153,2014030S14129,SP,EA,FLETCHER,-16.4,136.2,0,0,2014,2,2,2014/02/02 05:00:00+00
641153,641154,2014030S14129,SP,EA,FLETCHER,-16.4,136.9,0,0,2014,2,2,2014/02/02 05:00:00+00
641154,641155,2014030S14129,SP,EA,FLETCHER,-16.87,137.61,0,0,2014,2,2,2014/02/02 05:00:00+00
641155,641156,2014030S14129,SP,EA,FLETCHER,-17.3,138.4,0,0,2014,2,2,2014/02/02 05:00:00+00
641156,641157,2014030S14129,SP,EA,FLETCHER,-17.2,139.3,0,0,2014,2,2,2014/02/02 05:00:00+00
641157,641158,2014030S14129,SP,EA,FLETCHER,-17.6,139.4,0,0,2014,2,2,2014/02/02 05:00:00+00
641158,641159,2014030S14129,SP,EA,FLETCHER,-17.4,139.7,0,0,2014,2,2,2014/02/02 05:00:00+00
641159,641160,2014030S14129,SP,EA,FLETCHER,-17.46,139.91,0,0,2014,2,2,2014/02/02 05:00:00+00
641160,641161,2014030S14129,SP,EA,FLETCHER,-17.41,140.04,0,0,2014,2,2,2014/02/02 05:00:00+00
