Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
218429,218430,1948233N18118,WP,MM,FLO,18.4,117.9,30,0,1948,8,20,1948/08/20 04:00:00+00
218430,218431,1948233N18118,WP,MM,FLO,18.3,117.2,32,0,1948,8,20,1948/08/20 04:00:00+00
218431,218432,1948233N18118,WP,MM,FLO,18.22,116.51,35,0,1948,8,20,1948/08/20 04:00:00+00
218432,218433,1948233N18118,WP,MM,FLO,18.2,115.84,37,0,1948,8,20,1948/08/20 04:00:00+00
218433,218434,1948233N18118,WP,MM,FLO,18.2,115.2,40,0,1948,8,20,1948/08/20 04:00:00+00
218434,218435,1948233N18118,WP,MM,FLO,18.19,114.59,42,0,1948,8,20,1948/08/20 04:00:00+00
218435,218436,1948233N18118,WP,MM,FLO,18.19,113.99,45,0,1948,8,20,1948/08/20 04:00:00+00
218436,218437,1948233N18118,WP,MM,FLO,18.22,113.39,47,0,1948,8,20,1948/08/20 04:00:00+00
218437,218438,1948233N18118,WP,MM,FLO,18.3,112.8,50,0,1948,8,21,1948/08/21 04:00:00+00
218438,218439,1948233N18118,WP,MM,FLO,18.47,112.24,50,0,1948,8,21,1948/08/21 04:00:00+00
218439,218440,1948233N18118,WP,MM,FLO,18.68,111.7,50,0,1948,8,21,1948/08/21 04:00:00+00
218440,218441,1948233N18118,WP,MM,FLO,18.88,111.16,50,0,1948,8,21,1948/08/21 04:00:00+00
218441,218442,1948233N18118,WP,MM,FLO,19.1,110.6,50,0,1948,8,21,1948/08/21 04:00:00+00
218442,218443,1948233N18118,WP,MM,FLO,19.34,110.01,50,0,1948,8,21,1948/08/21 04:00:00+00
218443,218444,1948233N18118,WP,MM,FLO,19.62,109.41,50,0,1948,8,21,1948/08/21 04:00:00+00
218444,218445,1948233N18118,WP,MM,FLO,19.96,108.85,47,0,1948,8,21,1948/08/21 04:00:00+00
218445,218446,1948233N18118,WP,MM,FLO,20.3,108.3,45,0,1948,8,22,1948/08/22 04:00:00+00
218446,218447,1948233N18118,WP,MM,FLO,20.65,107.76,42,0,1948,8,22,1948/08/22 04:00:00+00
218447,218448,1948233N18118,WP,MM,FLO,20.8,107.2,40,0,1948,8,22,1948/08/22 04:00:00+00
218448,218449,1948233N18118,WP,MM,FLO,20.46,106.44,40,0,1948,8,22,1948/08/22 04:00:00+00
