Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
425789,425790,1981247N16300,,CS,FLOYD,16.2,-60.3,20,1010,1981,9,3,1981/09/03 04:00:00+00
425790,425791,1981247N16300,,CS,FLOYD,16.44,-60.7,20,1010,1981,9,3,1981/09/03 04:00:00+00
425791,425792,1981247N16300,,CS,FLOYD,16.7,-61.1,20,1010,1981,9,3,1981/09/03 04:00:00+00
425792,425793,1981247N16300,,CS,FLOYD,16.98,-61.51,20,1009,1981,9,3,1981/09/03 04:00:00+00
425793,425794,1981247N16300,,CS,FLOYD,17.3,-61.9,20,1009,1981,9,4,1981/09/04 04:00:00+00
425794,425795,1981247N16300,,CS,FLOYD,17.65,-62.26,20,1008,1981,9,4,1981/09/04 04:00:00+00
425795,425796,1981247N16300,,CS,FLOYD,18.0,-62.6,20,1008,1981,9,4,1981/09/04 04:00:00+00
425796,425797,1981247N16300,,CS,FLOYD,18.32,-62.95,25,1007,1981,9,4,1981/09/04 04:00:00+00
425797,425798,1981247N16300,,CS,FLOYD,18.6,-63.3,30,1006,1981,9,4,1981/09/04 04:00:00+00
425798,425799,1981247N16300,,CS,FLOYD,18.81,-63.65,32,1005,1981,9,4,1981/09/04 04:00:00+00
425799,425800,1981247N16300,,,FLOYD,19.0,-64.0,35,1004,1981,9,4,1981/09/04 04:00:00+00
425800,425801,1981247N16300,,,FLOYD,19.23,-64.34,40,1003,1981,9,4,1981/09/04 04:00:00+00
425801,425802,1981247N16300,,,FLOYD,19.5,-64.7,45,1002,1981,9,5,1981/09/05 04:00:00+00
425802,425803,1981247N16300,,,FLOYD,19.78,-65.1,47,1001,1981,9,5,1981/09/05 04:00:00+00
425803,425804,1981247N16300,,,FLOYD,20.1,-65.5,50,1000,1981,9,5,1981/09/05 04:00:00+00
425804,425805,1981247N16300,,,FLOYD,20.48,-65.84,55,999,1981,9,5,1981/09/05 04:00:00+00
425805,425806,1981247N16300,,,FLOYD,20.9,-66.2,60,999,1981,9,5,1981/09/05 04:00:00+00
425806,425807,1981247N16300,,,FLOYD,21.29,-66.66,65,998,1981,9,5,1981/09/05 04:00:00+00
