Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
207971,207972,1945222N22149,WP,MM,FRANCES,22.0,149.0,25,0,1945,8,9,1945/08/09 04:00:00+00
207972,207973,1945222N22149,WP,MM,FRANCES,22.59,148.7,27,0,1945,8,9,1945/08/09 04:00:00+00
207973,207974,1945222N22149,WP,MM,FRANCES,23.22,148.43,30,0,1945,8,9,1945/08/09 04:00:00+00
207974,207975,1945222N22149,WP,MM,FRANCES,23.91,148.21,30,0,1945,8,9,1945/08/09 04:00:00+00
207975,207976,1945222N22149,WP,MM,FRANCES,24.6,148.0,30,0,1945,8,10,1945/08/10 04:00:00+00
207976,207977,1945222N22149,WP,MM,FRANCES,25.19,147.75,32,0,1945,8,10,1945/08/10 04:00:00+00
207977,207978,1945222N22149,WP,MM,FRANCES,25.76,147.49,35,0,1945,8,10,1945/08/10 04:00:00+00
207978,207979,1945222N22149,WP,MM,FRANCES,26.43,147.23,35,0,1945,8,10,1945/08/10 04:00:00+00
207979,207980,1945222N22149,WP,MM,FRANCES,27.0,147.0,35,0,1945,8,10,1945/08/10 04:00:00+00
207980,207981,1945222N22149,WP,MM,FRANCES,27.28,146.83,37,0,1945,8,10,1945/08/10 04:00:00+00
207981,207982,1945222N22149,WP,MM,FRANCES,27.44,146.69,40,0,1945,8,10,1945/08/10 04:00:00+00
207982,207983,1945222N22149,WP,MM,FRANCES,27.66,146.54,40,0,1945,8,10,1945/08/10 04:00:00+00
207983,207984,1945222N22149,WP,MM,FRANCES,27.9,146.4,40,0,1945,8,11,1945/08/11 04:00:00+00
207984,207985,1945222N22149,WP,MM,FRANCES,28.19,146.28,40,0,1945,8,11,1945/08/11 04:00:00+00
207985,207986,1945222N22149,WP,MM,FRANCES,28.48,146.17,40,0,1945,8,11,1945/08/11 04:00:00+00
207986,207987,1945222N22149,WP,MM,FRANCES,28.73,146.04,45,0,1945,8,11,1945/08/11 04:00:00+00
207987,207988,1945222N22149,WP,MM,FRANCES,29.0,146.0,50,0,1945,8,11,1945/08/11 04:00:00+00
207988,207989,1945222N22149,WP,MM,FRANCES,29.33,146.14,50,0,1945,8,11,1945/08/11 04:00:00+00
207989,207990,1945222N22149,WP,MM,FRANCES,29.69,146.4,50,0,1945,8,11,1945/08/11 04:00:00+00
207990,207991,1945222N22149,WP,MM,FRANCES,30.04,146.7,45,0,1945,8,11,1945/08/11 04:00:00+00
