Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
314010,314011,1966031S10052,SI,MM,FRANCINE,-9.6,52.3,0,0,1966,1,30,1966/01/30 05:00:00+00
314011,314012,1966031S10052,SI,MM,FRANCINE,-9.74,52.22,0,0,1966,1,30,1966/01/30 05:00:00+00
314012,314013,1966031S10052,SI,MM,FRANCINE,-9.9,52.11,0,0,1966,1,31,1966/01/31 05:00:00+00
314013,314014,1966031S10052,SI,MM,FRANCINE,-10.08,51.98,0,0,1966,1,31,1966/01/31 05:00:00+00
314014,314015,1966031S10052,SI,MM,FRANCINE,-10.43,51.97,0,0,1966,1,31,1966/01/31 05:00:00+00
314015,314016,1966031S10052,SI,MM,FRANCINE,-10.73,51.92,0,0,1966,1,31,1966/01/31 05:00:00+00
314016,314017,1966031S10052,SI,MM,FRANCINE,-10.99,51.83,0,0,1966,1,31,1966/01/31 05:00:00+00
314017,314018,1966031S10052,SI,MM,FRANCINE,-11.24,51.71,0,0,1966,1,31,1966/01/31 05:00:00+00
314018,314019,1966031S10052,SI,MM,FRANCINE,-11.46,51.54,0,0,1966,1,31,1966/01/31 05:00:00+00
314019,314020,1966031S10052,SI,MM,FRANCINE,-11.66,51.47,0,0,1966,1,31,1966/01/31 05:00:00+00
314020,314021,1966031S10052,SI,MM,FRANCINE,-11.85,51.53,0,0,1966,2,1,1966/02/01 05:00:00+00
314021,314022,1966031S10052,SI,MM,FRANCINE,-12.03,51.71,0,0,1966,2,1,1966/02/01 05:00:00+00
