Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
529366,529367,1996202N17115,WP,MM,FRANKIE,16.9,114.7,15,0,1996,7,19,1996/07/19 04:00:00+00
529367,529368,1996202N17115,WP,MM,FRANKIE,16.73,114.94,15,0,1996,7,19,1996/07/19 04:00:00+00
529368,529369,1996202N17115,WP,MM,FRANKIE,16.6,115.2,15,0,1996,7,19,1996/07/19 04:00:00+00
529369,529370,1996202N17115,WP,MM,FRANKIE,16.51,115.49,15,0,1996,7,19,1996/07/19 04:00:00+00
529370,529371,1996202N17115,WP,MM,FRANKIE,16.4,115.7,15,0,1996,7,20,1996/07/20 04:00:00+00
529371,529372,1996202N17115,WP,MM,FRANKIE,16.18,115.78,17,0,1996,7,20,1996/07/20 04:00:00+00
529372,529373,1996202N17115,WP,MM,FRANKIE,15.92,115.63,20,0,1996,7,20,1996/07/20 04:00:00+00
529373,529374,1996202N17115,WP,MM,FRANKIE,15.82,115.31,22,0,1996,7,20,1996/07/20 04:00:00+00
529374,529375,1996202N17115,WP,MM,FRANKIE,15.82,114.93,25,0,1996,7,20,1996/07/20 04:00:00+00
529375,529376,1996202N17115,WP,MM,FRANKIE,15.91,114.57,25,0,1996,7,20,1996/07/20 04:00:00+00
529376,529377,1996202N17115,WP,MM,FRANKIE,16.1,114.23,25,0,1996,7,20,1996/07/20 04:00:00+00
529377,529378,1996202N17115,WP,MM,FRANKIE,16.33,113.89,25,0,1996,7,20,1996/07/20 04:00:00+00
529378,529379,1996202N17115,WP,MM,FRANKIE,16.58,113.59,25,0,1996,7,21,1996/07/21 04:00:00+00
529379,529380,1996202N17115,WP,MM,FRANKIE,16.89,113.33,27,0,1996,7,21,1996/07/21 04:00:00+00
529380,529381,1996202N17115,WP,MM,FRANKIE,17.17,113.07,30,0,1996,7,21,1996/07/21 04:00:00+00
529381,529382,1996202N17115,WP,MM,FRANKIE,17.38,112.75,30,0,1996,7,21,1996/07/21 04:00:00+00
529382,529383,1996202N17115,WP,MM,FRANKIE,17.52,112.42,30,0,1996,7,21,1996/07/21 04:00:00+00
529383,529384,1996202N17115,WP,MM,FRANKIE,17.65,112.12,32,0,1996,7,21,1996/07/21 04:00:00+00
529384,529385,1996202N17115,WP,MM,FRANKIE,17.77,111.83,35,0,1996,7,21,1996/07/21 04:00:00+00
