Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
262508,262509,1957264N32294,,,FRIEDA,31.7,-65.8,25,0,1957,9,20,1957/09/20 04:00:00+00
262509,262510,1957264N32294,,,FRIEDA,31.41,-65.79,25,0,1957,9,20,1957/09/20 04:00:00+00
262510,262511,1957264N32294,,,FRIEDA,31.0,-65.8,25,0,1957,9,20,1957/09/20 04:00:00+00
262511,262512,1957264N32294,,,FRIEDA,30.41,-65.85,25,0,1957,9,20,1957/09/20 04:00:00+00
262512,262513,1957264N32294,,,FRIEDA,29.7,-65.9,25,0,1957,9,21,1957/09/21 04:00:00+00
262513,262514,1957264N32294,,,FRIEDA,28.93,-65.92,27,0,1957,9,21,1957/09/21 04:00:00+00
262514,262515,1957264N32294,,,FRIEDA,28.2,-65.9,30,0,1957,9,21,1957/09/21 04:00:00+00
262515,262516,1957264N32294,,,FRIEDA,27.57,-65.87,30,0,1957,9,21,1957/09/21 04:00:00+00
262516,262517,1957264N32294,,,FRIEDA,27.2,-65.8,30,1005,1957,9,21,1957/09/21 04:00:00+00
262517,262518,1957264N32294,,,FRIEDA,27.25,-65.64,30,1004,1957,9,21,1957/09/21 04:00:00+00
262518,262519,1957264N32294,,,FRIEDA,27.5,-65.5,30,1004,1957,9,21,1957/09/21 04:00:00+00
262519,262520,1957264N32294,,,FRIEDA,27.69,-65.39,32,1003,1957,9,21,1957/09/21 04:00:00+00
262520,262521,1957264N32294,,,FRIEDA,27.8,-65.5,35,1002,1957,9,22,1957/09/22 04:00:00+00
262521,262522,1957264N32294,,,FRIEDA,27.73,-65.99,37,1001,1957,9,22,1957/09/22 04:00:00+00
262522,262523,1957264N32294,,,FRIEDA,27.5,-66.7,40,1001,1957,9,22,1957/09/22 04:00:00+00
262523,262524,1957264N32294,,,FRIEDA,27.08,-67.42,40,0,1957,9,22,1957/09/22 04:00:00+00
262524,262525,1957264N32294,,,FRIEDA,26.7,-68.2,40,0,1957,9,22,1957/09/22 04:00:00+00
262525,262526,1957264N32294,,,FRIEDA,26.63,-69.06,42,0,1957,9,22,1957/09/22 04:00:00+00
262526,262527,1957264N32294,,,FRIEDA,26.7,-69.8,45,0,1957,9,22,1957/09/22 04:00:00+00
262527,262528,1957264N32294,,,FRIEDA,26.74,-70.21,45,0,1957,9,22,1957/09/22 04:00:00+00
262528,262529,1957264N32294,,,FRIEDA,26.8,-70.5,45,0,1957,9,23,1957/09/23 04:00:00+00
262529,262530,1957264N32294,,,FRIEDA,26.83,-70.92,45,0,1957,9,23,1957/09/23 04:00:00+00
262530,262531,1957264N32294,,,FRIEDA,26.9,-71.3,45,0,1957,9,23,1957/09/23 04:00:00+00
262531,262532,1957264N32294,,,FRIEDA,27.05,-71.58,45,0,1957,9,23,1957/09/23 04:00:00+00
262532,262533,1957264N32294,,,FRIEDA,27.3,-71.8,45,1004,1957,9,23,1957/09/23 04:00:00+00
262533,262534,1957264N32294,,,FRIEDA,27.61,-72.04,45,0,1957,9,23,1957/09/23 04:00:00+00
262534,262535,1957264N32294,,,FRIEDA,28.0,-72.2,45,0,1957,9,23,1957/09/23 04:00:00+00
262535,262536,1957264N32294,,,FRIEDA,28.45,-72.25,45,0,1957,9,23,1957/09/23 04:00:00+00
262536,262537,1957264N32294,,,FRIEDA,29.0,-72.2,45,0,1957,9,24,1957/09/24 04:00:00+00
262537,262538,1957264N32294,,,FRIEDA,29.69,-72.17,45,0,1957,9,24,1957/09/24 04:00:00+00
262538,262539,1957264N32294,,,FRIEDA,30.4,-72.0,45,0,1957,9,24,1957/09/24 04:00:00+00
262539,262540,1957264N32294,,,FRIEDA,31.0,-71.56,45,0,1957,9,24,1957/09/24 04:00:00+00
262540,262541,1957264N32294,,,FRIEDA,31.5,-71.0,45,1002,1957,9,24,1957/09/24 04:00:00+00
262541,262542,1957264N32294,,,FRIEDA,31.86,-70.54,47,1000,1957,9,24,1957/09/24 04:00:00+00
262542,262543,1957264N32294,,,FRIEDA,32.2,-70.0,50,998,1957,9,24,1957/09/24 04:00:00+00
262543,262544,1957264N32294,,,FRIEDA,32.66,-69.32,55,996,1957,9,24,1957/09/24 04:00:00+00
262544,262545,1957264N32294,,,FRIEDA,33.2,-68.5,60,995,1957,9,25,1957/09/25 04:00:00+00
262545,262546,1957264N32294,,,FRIEDA,33.77,-67.59,65,0,1957,9,25,1957/09/25 04:00:00+00
262546,262547,1957264N32294,,,FRIEDA,34.4,-66.6,70,0,1957,9,25,1957/09/25 04:00:00+00
262547,262548,1957264N32294,,,FRIEDA,35.07,-65.55,72,0,1957,9,25,1957/09/25 04:00:00+00
262548,262549,1957264N32294,,,FRIEDA,35.8,-64.5,75,0,1957,9,25,1957/09/25 04:00:00+00
262549,262550,1957264N32294,,,FRIEDA,36.6,-63.53,75,0,1957,9,25,1957/09/25 04:00:00+00
262550,262551,1957264N32294,,,FRIEDA,37.4,-62.6,75,975,1957,9,25,1957/09/25 04:00:00+00
262551,262552,1957264N32294,,,FRIEDA,38.11,-61.69,75,975,1957,9,25,1957/09/25 04:00:00+00
262552,262553,1957264N32294,,,FRIEDA,38.8,-60.8,75,976,1957,9,26,1957/09/26 04:00:00+00
262553,262554,1957264N32294,,,FRIEDA,39.51,-59.9,72,0,1957,9,26,1957/09/26 04:00:00+00
262554,262555,1957264N32294,,,FRIEDA,40.2,-59.0,70,0,1957,9,26,1957/09/26 04:00:00+00
262555,262556,1957264N32294,,,FRIEDA,40.81,-58.07,67,0,1957,9,26,1957/09/26 04:00:00+00
262556,262557,1957264N32294,,,FRIEDA,41.4,-57.2,65,0,1957,9,26,1957/09/26 04:00:00+00
262557,262558,1957264N32294,,,FRIEDA,41.98,-56.46,62,0,1957,9,26,1957/09/26 04:00:00+00
262558,262559,1957264N32294,,,FRIEDA,42.6,-55.8,60,0,1957,9,26,1957/09/26 04:00:00+00
262559,262560,1957264N32294,,,FRIEDA,43.25,-55.12,57,0,1957,9,26,1957/09/26 04:00:00+00
262560,262561,1957264N32294,,,FRIEDA,44.0,-54.5,55,0,1957,9,27,1957/09/27 04:00:00+00
262561,262562,1957264N32294,,,FRIEDA,44.84,-53.98,52,0,1957,9,27,1957/09/27 04:00:00+00
262562,262563,1957264N32294,,,FRIEDA,45.8,-53.5,50,0,1957,9,27,1957/09/27 04:00:00+00
262563,262564,1957264N32294,,,FRIEDA,46.87,-53.01,50,0,1957,9,27,1957/09/27 04:00:00+00
399385,399386,1977290N17277,,CS,FRIEDA,17.3,-83.2,25,1011,1977,10,16,1977/10/16 04:00:00+00
399386,399387,1977290N17277,,CS,FRIEDA,17.3,-83.3,27,1010,1977,10,16,1977/10/16 04:00:00+00
399387,399388,1977290N17277,,CS,FRIEDA,17.3,-83.4,30,1010,1977,10,17,1977/10/17 04:00:00+00
399388,399389,1977290N17277,,CS,FRIEDA,17.31,-83.49,30,1009,1977,10,17,1977/10/17 04:00:00+00
399389,399390,1977290N17277,,CS,FRIEDA,17.3,-83.6,30,1009,1977,10,17,1977/10/17 04:00:00+00
399390,399391,1977290N17277,,CS,FRIEDA,17.25,-83.73,35,1008,1977,10,17,1977/10/17 04:00:00+00
399391,399392,1977290N17277,,CS,FRIEDA,17.2,-83.9,40,1008,1977,10,17,1977/10/17 04:00:00+00
399392,399393,1977290N17277,,CS,FRIEDA,17.18,-84.13,42,1007,1977,10,17,1977/10/17 04:00:00+00
399393,399394,1977290N17277,,CS,FRIEDA,17.2,-84.4,45,1007,1977,10,17,1977/10/17 04:00:00+00
399394,399395,1977290N17277,,CS,FRIEDA,17.24,-84.68,47,1006,1977,10,17,1977/10/17 04:00:00+00
399395,399396,1977290N17277,,CS,FRIEDA,17.3,-85.0,50,1006,1977,10,18,1977/10/18 04:00:00+00
399396,399397,1977290N17277,,CS,FRIEDA,17.35,-85.39,45,1005,1977,10,18,1977/10/18 04:00:00+00
