Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
685488,685489,2020326N11063,NI,AS,GATI,11.2,62.6,20,1008,2020,11,20,2020/11/20 05:00:00+00
685489,685490,2020326N11063,NI,AS,GATI,10.97,62.15,22,1007,2020,11,20,2020/11/20 05:00:00+00
685490,685491,2020326N11063,NI,AS,GATI,10.9,61.7,25,1006,2020,11,20,2020/11/20 05:00:00+00
685491,685492,2020326N11063,NI,AS,GATI,11.08,61.22,25,1005,2020,11,20,2020/11/20 05:00:00+00
685492,685493,2020326N11063,NI,AS,GATI,11.3,60.6,25,1004,2020,11,21,2020/11/21 05:00:00+00
685493,685494,2020326N11063,NI,AS,GATI,11.33,59.74,30,1003,2020,11,21,2020/11/21 05:00:00+00
685494,685495,2020326N11063,NI,AS,GATI,11.3,58.8,35,1002,2020,11,21,2020/11/21 05:00:00+00
685495,685496,2020326N11063,NI,AS,GATI,11.34,57.94,32,1002,2020,11,21,2020/11/21 05:00:00+00
685496,685497,2020326N11063,NI,AS,GATI,11.3,57.1,30,1003,2020,11,21,2020/11/21 05:00:00+00
685497,685498,2020326N11063,NI,AS,GATI,11.06,56.24,32,1004,2020,11,21,2020/11/21 05:00:00+00
685498,685499,2020326N11063,NI,AS,GATI,10.88,55.8,35,1005,2020,11,21,2020/11/21 05:00:00+00
685499,685500,2020326N11063,NI,AS,GATI,10.87,55.24,47,998,2020,11,21,2020/11/21 05:00:00+00
685500,685501,2020326N11063,NI,AS,GATI,10.81,54.49,60,992,2020,11,22,2020/11/22 05:00:00+00
685501,685502,2020326N11063,NI,AS,GATI,10.59,53.45,80,979,2020,11,22,2020/11/22 05:00:00+00
685502,685503,2020326N11063,NI,AS,GATI,10.4,52.6,100,967,2020,11,22,2020/11/22 05:00:00+00
685503,685504,2020326N11063,NI,AS,GATI,10.39,51.99,95,970,2020,11,22,2020/11/22 05:00:00+00
685504,685505,2020326N11063,NI,AS,GATI,10.4,51.5,90,974,2020,11,22,2020/11/22 05:00:00+00
685505,685506,2020326N11063,NI,AS,GATI,10.38,51.01,77,983,2020,11,22,2020/11/22 05:00:00+00
685506,685507,2020326N11063,NI,AS,GATI,10.4,50.55,65,992,2020,11,22,2020/11/22 05:00:00+00
685507,685508,2020326N11063,NI,AS,GATI,10.48,50.16,57,996,2020,11,22,2020/11/22 05:00:00+00
685508,685509,2020326N11063,NI,AS,GATI,10.65,49.95,50,1000,2020,11,23,2020/11/23 05:00:00+00
685509,685510,2020326N11063,NI,AS,GATI,10.88,49.65,45,1002,2020,11,23,2020/11/23 05:00:00+00
685510,685511,2020326N11063,NI,AS,GATI,11.1,49.25,40,1005,2020,11,23,2020/11/23 05:00:00+00
685511,685512,2020326N11063,NI,AS,GATI,11.28,48.91,37,1005,2020,11,23,2020/11/23 05:00:00+00
685512,685513,2020326N11063,NI,AS,GATI,11.45,48.55,35,1005,2020,11,23,2020/11/23 05:00:00+00
685513,685514,2020326N11063,NI,AS,GATI,11.67,48.02,32,1006,2020,11,23,2020/11/23 05:00:00+00
685514,685515,2020326N11063,NI,AS,GATI,11.8,47.5,30,1007,2020,11,23,2020/11/23 05:00:00+00
685515,685516,2020326N11063,NI,AS,GATI,11.69,47.11,27,1008,2020,11,23,2020/11/23 05:00:00+00
685516,685517,2020326N11063,NI,AS,GATI,11.47,46.8,25,1009,2020,11,24,2020/11/24 05:00:00+00
685517,685518,2020326N11063,NI,AS,GATI,11.24,46.6,25,1010,2020,11,24,2020/11/24 05:00:00+00
685518,685519,2020326N11063,NI,AS,GATI,10.9,46.5,25,1011,2020,11,24,2020/11/24 05:00:00+00
685519,685520,2020326N11063,NI,AS,GATI,10.65,46.41,20,1012,2020,11,24,2020/11/24 05:00:00+00
