Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
308220,308221,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-12.7,84.6,0,0,1965,2,24,1965/02/24 05:00:00+00
308221,308222,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-13.3,84.58,0,0,1965,2,24,1965/02/24 05:00:00+00
308222,308223,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-13.3,84.55,0,0,1965,2,24,1965/02/24 05:00:00+00
308223,308224,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-13.78,84.42,0,0,1965,2,24,1965/02/24 05:00:00+00
308224,308225,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-14.24,84.25,0,0,1965,2,24,1965/02/24 05:00:00+00
308225,308226,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-14.7,84.04,0,0,1965,2,24,1965/02/24 05:00:00+00
308226,308227,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-15.18,83.72,0,0,1965,2,24,1965/02/24 05:00:00+00
308227,308228,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-15.64,83.33,0,0,1965,2,24,1965/02/24 05:00:00+00
308228,308229,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-16.04,82.94,0,0,1965,2,25,1965/02/25 05:00:00+00
308229,308230,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-16.36,82.63,0,0,1965,2,25,1965/02/25 05:00:00+00
308230,308231,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-16.6,82.42,0,0,1965,2,25,1965/02/25 05:00:00+00
308231,308232,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-16.78,82.38,0,0,1965,2,25,1965/02/25 05:00:00+00
308232,308233,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-16.93,82.3,0,0,1965,2,25,1965/02/25 05:00:00+00
308233,308234,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.11,82.15,0,0,1965,2,25,1965/02/25 05:00:00+00
308234,308235,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.29,81.95,0,0,1965,2,25,1965/02/25 05:00:00+00
308235,308236,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.45,81.68,0,0,1965,2,25,1965/02/25 05:00:00+00
308236,308237,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.54,81.36,0,0,1965,2,26,1965/02/26 05:00:00+00
308237,308238,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.65,81.12,0,0,1965,2,26,1965/02/26 05:00:00+00
308238,308239,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.74,80.91,0,0,1965,2,26,1965/02/26 05:00:00+00
308239,308240,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.83,80.73,0,0,1965,2,26,1965/02/26 05:00:00+00
308240,308241,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.92,80.57,0,0,1965,2,26,1965/02/26 05:00:00+00
308241,308242,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.97,80.39,0,0,1965,2,26,1965/02/26 05:00:00+00
308242,308243,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-18.0,80.2,0,0,1965,2,26,1965/02/26 05:00:00+00
308243,308244,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-18.03,80.0,0,0,1965,2,26,1965/02/26 05:00:00+00
308244,308245,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-18.04,79.79,0,0,1965,2,27,1965/02/27 05:00:00+00
308245,308246,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-18.0,79.54,0,0,1965,2,27,1965/02/27 05:00:00+00
308246,308247,1965055S13085,SI,MM,GAY-OLIVE:OLIVE:PEGGY,-17.92,79.26,0,0,1965,2,27,1965/02/27 05:00:00+00
