Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
323855,323856,1967206N15241,EP,MM,GEORGETTE,14.9,-119.2,25,0,1967,7,25,1967/07/25 04:00:00+00
323856,323857,1967206N15241,EP,MM,GEORGETTE,14.75,-119.65,25,0,1967,7,25,1967/07/25 04:00:00+00
323857,323858,1967206N15241,EP,MM,GEORGETTE,14.61,-120.11,25,0,1967,7,25,1967/07/25 04:00:00+00
323858,323859,1967206N15241,EP,MM,GEORGETTE,14.51,-120.6,25,0,1967,7,25,1967/07/25 04:00:00+00
323859,323860,1967206N15241,EP,MM,GEORGETTE,14.4,-121.1,25,0,1967,7,25,1967/07/25 04:00:00+00
323860,323861,1967206N15241,EP,MM,GEORGETTE,14.25,-121.59,25,0,1967,7,25,1967/07/25 04:00:00+00
323861,323862,1967206N15241,EP,MM,GEORGETTE,14.1,-122.1,25,0,1967,7,25,1967/07/25 04:00:00+00
323862,323863,1967206N15241,EP,MM,GEORGETTE,13.98,-122.63,25,0,1967,7,25,1967/07/25 04:00:00+00
323863,323864,1967206N15241,EP,MM,GEORGETTE,13.9,-123.2,25,0,1967,7,26,1967/07/26 04:00:00+00
323864,323865,1967206N15241,EP,MM,GEORGETTE,13.87,-123.83,25,0,1967,7,26,1967/07/26 04:00:00+00
323865,323866,1967206N15241,EP,MM,GEORGETTE,13.9,-124.5,25,0,1967,7,26,1967/07/26 04:00:00+00
323866,323867,1967206N15241,EP,MM,GEORGETTE,13.99,-125.19,25,0,1967,7,26,1967/07/26 04:00:00+00
323867,323868,1967206N15241,EP,MM,GEORGETTE,14.1,-125.9,25,0,1967,7,26,1967/07/26 04:00:00+00
323868,323869,1967206N15241,EP,MM,GEORGETTE,14.19,-126.61,35,0,1967,7,26,1967/07/26 04:00:00+00
323869,323870,1967206N15241,EP,MM,GEORGETTE,14.3,-127.31,45,0,1967,7,26,1967/07/26 04:00:00+00
323870,323871,1967206N15241,EP,MM,GEORGETTE,14.45,-128.04,45,0,1967,7,26,1967/07/26 04:00:00+00
323871,323872,1967206N15241,EP,MM,GEORGETTE,14.6,-128.7,45,0,1967,7,27,1967/07/27 04:00:00+00
323872,323873,1967206N15241,EP,MM,GEORGETTE,14.75,-129.19,45,0,1967,7,27,1967/07/27 04:00:00+00
323873,323874,1967206N15241,EP,MM,GEORGETTE,14.89,-129.6,45,0,1967,7,27,1967/07/27 04:00:00+00
323874,323875,1967206N15241,EP,MM,GEORGETTE,15.04,-130.0,45,0,1967,7,27,1967/07/27 04:00:00+00
323875,323876,1967206N15241,EP,MM,GEORGETTE,15.2,-130.4,45,0,1967,7,27,1967/07/27 04:00:00+00
323876,323877,1967206N15241,EP,MM,GEORGETTE,15.39,-130.89,45,0,1967,7,27,1967/07/27 04:00:00+00
323877,323878,1967206N15241,EP,MM,GEORGETTE,15.61,-131.4,45,0,1967,7,27,1967/07/27 04:00:00+00
323878,323879,1967206N15241,EP,MM,GEORGETTE,15.85,-131.89,45,0,1967,7,27,1967/07/27 04:00:00+00
323879,323880,1967206N15241,EP,MM,GEORGETTE,16.1,-132.3,45,0,1967,7,28,1967/07/28 04:00:00+00
323880,323881,1967206N15241,EP,MM,GEORGETTE,16.31,-132.59,45,0,1967,7,28,1967/07/28 04:00:00+00
323881,323882,1967206N15241,EP,MM,GEORGETTE,16.51,-132.81,45,0,1967,7,28,1967/07/28 04:00:00+00
323882,323883,1967206N15241,EP,MM,GEORGETTE,16.76,-133.06,45,0,1967,7,28,1967/07/28 04:00:00+00
323883,323884,1967206N15241,EP,MM,GEORGETTE,17.0,-133.3,45,0,1967,7,28,1967/07/28 04:00:00+00
323884,323885,1967206N15241,EP,MM,GEORGETTE,17.16,-133.55,45,0,1967,7,28,1967/07/28 04:00:00+00
323885,323886,1967206N15241,EP,MM,GEORGETTE,17.31,-133.8,45,0,1967,7,28,1967/07/28 04:00:00+00
323886,323887,1967206N15241,EP,MM,GEORGETTE,17.51,-134.06,45,0,1967,7,28,1967/07/28 04:00:00+00
323887,323888,1967206N15241,EP,MM,GEORGETTE,17.7,-134.3,45,0,1967,7,29,1967/07/29 04:00:00+00
323888,323889,1967206N15241,EP,MM,GEORGETTE,17.85,-134.51,45,0,1967,7,29,1967/07/29 04:00:00+00
323889,323890,1967206N15241,EP,MM,GEORGETTE,18.01,-134.7,45,0,1967,7,29,1967/07/29 04:00:00+00
323890,323891,1967206N15241,EP,MM,GEORGETTE,18.2,-134.9,45,0,1967,7,29,1967/07/29 04:00:00+00
323891,323892,1967206N15241,EP,MM,GEORGETTE,18.4,-135.1,45,0,1967,7,29,1967/07/29 04:00:00+00
323892,323893,1967206N15241,EP,MM,GEORGETTE,18.6,-135.3,45,0,1967,7,29,1967/07/29 04:00:00+00
323893,323894,1967206N15241,EP,MM,GEORGETTE,18.81,-135.5,45,0,1967,7,29,1967/07/29 04:00:00+00
