Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
267851,267852,1958257N17293,,CS,GERDA,17.4,-67.5,40,0,1958,9,14,1958/09/14 04:00:00+00
267852,267853,1958257N17293,,CS,GERDA,17.43,-68.52,42,0,1958,9,14,1958/09/14 04:00:00+00
267853,267854,1958257N17293,,CS,GERDA,17.5,-69.4,45,0,1958,9,14,1958/09/14 04:00:00+00
267854,267855,1958257N17293,,CS,GERDA,17.63,-70.05,47,0,1958,9,14,1958/09/14 04:00:00+00
267855,267856,1958257N17293,,CS,GERDA,17.8,-70.6,50,1004,1958,9,14,1958/09/14 04:00:00+00
267856,267857,1958257N17293,,CS,GERDA,18.0,-71.2,50,1004,1958,9,14,1958/09/14 04:00:00+00
267857,267858,1958257N17293,,CS,GERDA,18.1,-71.9,40,0,1958,9,15,1958/09/15 04:00:00+00
267858,267859,1958257N17293,,CS,GERDA,18.2,-72.57,40,0,1958,9,15,1958/09/15 04:00:00+00
267859,267860,1958257N17293,,CS,GERDA,18.3,-73.4,40,0,1958,9,15,1958/09/15 04:00:00+00
267860,267861,1958257N17293,,CS,GERDA,18.4,-74.56,37,0,1958,9,15,1958/09/15 04:00:00+00
267861,267862,1958257N17293,,CS,GERDA,18.5,-75.9,35,0,1958,9,15,1958/09/15 04:00:00+00
267862,267863,1958257N17293,,CS,GERDA,18.61,-77.22,35,0,1958,9,15,1958/09/15 04:00:00+00
267863,267864,1958257N17293,,CS,GERDA,18.7,-78.6,35,0,1958,9,15,1958/09/15 04:00:00+00
267864,267865,1958257N17293,,CS,GERDA,18.79,-80.03,32,0,1958,9,15,1958/09/15 04:00:00+00
267865,267866,1958257N17293,,CS,GERDA,18.8,-81.5,30,0,1958,9,16,1958/09/16 04:00:00+00
267866,267867,1958257N17293,,CS,GERDA,18.69,-83.03,30,0,1958,9,16,1958/09/16 04:00:00+00
267867,267868,1958257N17293,,CS,GERDA,18.5,-84.5,30,0,1958,9,16,1958/09/16 04:00:00+00
267868,267869,1958257N17293,,CS,GERDA,18.31,-85.81,27,0,1958,9,16,1958/09/16 04:00:00+00
