Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
425861,425862,1981250N15306,,,GERT,14.8,-54.0,25,1013,1981,9,7,1981/09/07 04:00:00+00
425862,425863,1981250N15306,,,GERT,14.84,-54.85,27,1012,1981,9,7,1981/09/07 04:00:00+00
425863,425864,1981250N15306,,,GERT,14.9,-55.7,30,1012,1981,9,7,1981/09/07 04:00:00+00
425864,425865,1981250N15306,,,GERT,14.99,-56.56,30,1012,1981,9,7,1981/09/07 04:00:00+00
425865,425866,1981250N15306,,,GERT,15.1,-57.4,30,1012,1981,9,7,1981/09/07 04:00:00+00
425866,425867,1981250N15306,,,GERT,15.19,-58.21,30,1011,1981,9,7,1981/09/07 04:00:00+00
425867,425868,1981250N15306,,,GERT,15.3,-59.0,30,1010,1981,9,7,1981/09/07 04:00:00+00
425868,425869,1981250N15306,,,GERT,15.43,-59.79,35,1009,1981,9,7,1981/09/07 04:00:00+00
425869,425870,1981250N15306,,CS,GERT,15.6,-60.6,40,1008,1981,9,8,1981/09/08 04:00:00+00
425870,425871,1981250N15306,,CS,GERT,15.82,-61.44,42,1006,1981,9,8,1981/09/08 04:00:00+00
425871,425872,1981250N15306,,CS,GERT,16.1,-62.3,45,1005,1981,9,8,1981/09/08 04:00:00+00
425872,425873,1981250N15306,,CS,GERT,16.41,-63.17,47,1003,1981,9,8,1981/09/08 04:00:00+00
425873,425874,1981250N15306,,CS,GERT,16.8,-64.0,50,1002,1981,9,8,1981/09/08 04:00:00+00
425874,425875,1981250N15306,,CS,GERT,17.27,-64.72,50,1003,1981,9,8,1981/09/08 04:00:00+00
425875,425876,1981250N15306,,CS,GERT,17.8,-65.4,50,1004,1981,9,8,1981/09/08 04:00:00+00
425876,425877,1981250N15306,,,GERT,18.37,-66.15,47,1005,1981,9,8,1981/09/08 04:00:00+00
425877,425878,1981250N15306,,,GERT,18.9,-66.9,45,1006,1981,9,9,1981/09/09 04:00:00+00
425878,425879,1981250N15306,,,GERT,19.28,-67.59,42,1007,1981,9,9,1981/09/09 04:00:00+00
425879,425880,1981250N15306,,,GERT,19.6,-68.3,40,1009,1981,9,9,1981/09/09 04:00:00+00
425880,425881,1981250N15306,,,GERT,19.93,-69.13,37,1010,1981,9,9,1981/09/09 04:00:00+00
425881,425882,1981250N15306,,,GERT,20.3,-70.0,35,1011,1981,9,9,1981/09/09 04:00:00+00
425882,425883,1981250N15306,,,GERT,20.79,-70.89,35,1011,1981,9,9,1981/09/09 04:00:00+00
425883,425884,1981250N15306,,,GERT,21.3,-71.7,35,1012,1981,9,9,1981/09/09 04:00:00+00
425884,425885,1981250N15306,,,GERT,21.73,-72.31,37,1011,1981,9,9,1981/09/09 04:00:00+00
425885,425886,1981250N15306,,,GERT,22.1,-72.8,40,1010,1981,9,10,1981/09/10 04:00:00+00
425886,425887,1981250N15306,,,GERT,22.38,-73.27,45,1009,1981,9,10,1981/09/10 04:00:00+00
425887,425888,1981250N15306,,,GERT,22.7,-73.7,50,1008,1981,9,10,1981/09/10 04:00:00+00
425888,425889,1981250N15306,,,GERT,23.16,-74.17,55,1004,1981,9,10,1981/09/10 04:00:00+00
425889,425890,1981250N15306,,,GERT,23.7,-74.5,60,1001,1981,9,10,1981/09/10 04:00:00+00
425890,425891,1981250N15306,,,GERT,24.21,-74.55,65,998,1981,9,10,1981/09/10 04:00:00+00
425891,425892,1981250N15306,,,GERT,24.8,-74.4,70,996,1981,9,10,1981/09/10 04:00:00+00
425892,425893,1981250N15306,,,GERT,25.53,-74.21,75,994,1981,9,10,1981/09/10 04:00:00+00
425893,425894,1981250N15306,,,GERT,26.3,-73.9,80,993,1981,9,11,1981/09/11 04:00:00+00
425894,425895,1981250N15306,,,GERT,27.02,-73.49,82,991,1981,9,11,1981/09/11 04:00:00+00
425895,425896,1981250N15306,,,GERT,27.7,-73.0,85,990,1981,9,11,1981/09/11 04:00:00+00
425896,425897,1981250N15306,,,GERT,28.36,-72.51,87,989,1981,9,11,1981/09/11 04:00:00+00
425897,425898,1981250N15306,,,GERT,29.0,-72.0,90,988,1981,9,11,1981/09/11 04:00:00+00
425898,425899,1981250N15306,,,GERT,29.6,-71.47,90,988,1981,9,11,1981/09/11 04:00:00+00
425899,425900,1981250N15306,,,GERT,30.2,-70.9,90,988,1981,9,11,1981/09/11 04:00:00+00
425900,425901,1981250N15306,,,GERT,30.87,-70.25,90,988,1981,9,11,1981/09/11 04:00:00+00
425901,425902,1981250N15306,,,GERT,31.5,-69.6,90,989,1981,9,12,1981/09/12 04:00:00+00
425902,425903,1981250N15306,,,GERT,32.03,-69.06,90,989,1981,9,12,1981/09/12 04:00:00+00
425903,425904,1981250N15306,,,GERT,32.5,-68.5,90,990,1981,9,12,1981/09/12 04:00:00+00
425904,425905,1981250N15306,,,GERT,32.97,-67.83,87,991,1981,9,12,1981/09/12 04:00:00+00
425905,425906,1981250N15306,,,GERT,33.4,-67.1,85,992,1981,9,12,1981/09/12 04:00:00+00
425906,425907,1981250N15306,,,GERT,33.76,-66.4,77,994,1981,9,12,1981/09/12 04:00:00+00
425907,425908,1981250N15306,,,GERT,34.1,-65.6,70,997,1981,9,12,1981/09/12 04:00:00+00
425908,425909,1981250N15306,,,GERT,34.48,-64.65,65,999,1981,9,12,1981/09/12 04:00:00+00
425909,425910,1981250N15306,,,GERT,34.9,-63.5,60,1002,1981,9,13,1981/09/13 04:00:00+00
425910,425911,1981250N15306,,,GERT,35.33,-62.22,57,1004,1981,9,13,1981/09/13 04:00:00+00
425911,425912,1981250N15306,,,GERT,35.8,-60.7,55,1006,1981,9,13,1981/09/13 04:00:00+00
425912,425913,1981250N15306,,,GERT,36.3,-58.92,52,1007,1981,9,13,1981/09/13 04:00:00+00
425913,425914,1981250N15306,,,GERT,36.8,-57.0,50,1008,1981,9,13,1981/09/13 04:00:00+00
425914,425915,1981250N15306,,,GERT,37.28,-55.11,47,1009,1981,9,13,1981/09/13 04:00:00+00
425915,425916,1981250N15306,,,GERT,37.7,-53.2,45,1010,1981,9,13,1981/09/13 04:00:00+00
