Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
218550,218551,1948240N14139,WP,MM,GERTRUDE,14.3,139.4,0,0,1948,8,26,1948/08/26 04:00:00+00
218551,218552,1948240N14139,WP,MM,GERTRUDE,14.6,139.1,0,0,1948,8,26,1948/08/26 04:00:00+00
218552,218553,1948240N14139,WP,MM,GERTRUDE,14.89,138.79,0,0,1948,8,26,1948/08/26 04:00:00+00
218553,218554,1948240N14139,WP,MM,GERTRUDE,15.16,138.46,0,0,1948,8,26,1948/08/26 04:00:00+00
218554,218555,1948240N14139,WP,MM,GERTRUDE,15.4,138.1,0,0,1948,8,27,1948/08/27 04:00:00+00
218555,218556,1948240N14139,WP,MM,GERTRUDE,15.61,137.71,0,0,1948,8,27,1948/08/27 04:00:00+00
218556,218557,1948240N14139,WP,MM,GERTRUDE,15.75,137.47,40,0,1948,8,27,1948/08/27 04:00:00+00
218557,218558,1948240N14139,WP,MM,GERTRUDE,15.85,137.01,42,0,1948,8,27,1948/08/27 04:00:00+00
218558,218559,1948240N14139,WP,MM,GERTRUDE,15.96,136.47,45,0,1948,8,27,1948/08/27 04:00:00+00
218559,218560,1948240N14139,WP,MM,GERTRUDE,16.1,135.89,47,0,1948,8,27,1948/08/27 04:00:00+00
218560,218561,1948240N14139,WP,MM,GERTRUDE,16.24,135.35,50,0,1948,8,27,1948/08/27 04:00:00+00
218561,218562,1948240N14139,WP,MM,GERTRUDE,16.34,134.92,55,0,1948,8,27,1948/08/27 04:00:00+00
218562,218563,1948240N14139,WP,MM,GERTRUDE,16.45,134.5,60,0,1948,8,28,1948/08/28 04:00:00+00
218563,218564,1948240N14139,WP,MM,GERTRUDE,16.61,133.97,67,0,1948,8,28,1948/08/28 04:00:00+00
218564,218565,1948240N14139,WP,MM,GERTRUDE,16.77,133.41,75,0,1948,8,28,1948/08/28 04:00:00+00
218565,218566,1948240N14139,WP,MM,GERTRUDE,16.89,132.88,80,0,1948,8,28,1948/08/28 04:00:00+00
218566,218567,1948240N14139,WP,MM,GERTRUDE,17.0,132.38,85,0,1948,8,28,1948/08/28 04:00:00+00
218567,218568,1948240N14139,WP,MM,GERTRUDE,17.15,131.92,80,0,1948,8,28,1948/08/28 04:00:00+00
218568,218569,1948240N14139,WP,MM,GERTRUDE,17.28,131.42,75,0,1948,8,28,1948/08/28 04:00:00+00
218569,218570,1948240N14139,WP,MM,GERTRUDE,17.35,130.8,70,0,1948,8,28,1948/08/28 04:00:00+00
218570,218571,1948240N14139,WP,MM,GERTRUDE,17.38,130.18,65,0,1948,8,29,1948/08/29 04:00:00+00
