Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
381875,381876,1975033S11073,SI,MM,GERVAISE,-11.0,73.1,0,0,1975,2,1,1975/02/01 05:00:00+00
381876,381877,1975033S11073,SI,MM,GERVAISE,-11.15,72.59,0,0,1975,2,1,1975/02/01 05:00:00+00
381877,381878,1975033S11073,SI,MM,GERVAISE,-11.31,72.1,0,0,1975,2,2,1975/02/02 05:00:00+00
381878,381879,1975033S11073,SI,MM,GERVAISE,-11.5,71.67,0,0,1975,2,2,1975/02/02 05:00:00+00
381879,381880,1975033S11073,SI,MM,GERVAISE,-11.74,71.4,0,0,1975,2,2,1975/02/02 05:00:00+00
381880,381881,1975033S11073,SI,MM,GERVAISE,-11.94,71.2,0,0,1975,2,2,1975/02/02 05:00:00+00
381881,381882,1975033S11073,SI,MM,GERVAISE,-12.11,71.02,0,0,1975,2,2,1975/02/02 05:00:00+00
381882,381883,1975033S11073,SI,MM,GERVAISE,-12.29,70.85,0,0,1975,2,2,1975/02/02 05:00:00+00
381883,381884,1975033S11073,SI,MM,GERVAISE,-12.48,70.62,0,0,1975,2,2,1975/02/02 05:00:00+00
381884,381885,1975033S11073,SI,MM,GERVAISE,-12.69,70.34,0,0,1975,2,2,1975/02/02 05:00:00+00
381885,381886,1975033S11073,SI,MM,GERVAISE,-12.88,70.05,0,0,1975,2,3,1975/02/03 05:00:00+00
381886,381887,1975033S11073,SI,MM,GERVAISE,-13.02,69.81,0,0,1975,2,3,1975/02/03 05:00:00+00
381887,381888,1975033S11073,SI,MM,GERVAISE,-13.16,69.56,0,0,1975,2,3,1975/02/03 05:00:00+00
381888,381889,1975033S11073,SI,MM,GERVAISE,-13.34,69.29,0,0,1975,2,3,1975/02/03 05:00:00+00
381889,381890,1975033S11073,SI,MM,GERVAISE,-13.54,69.0,0,0,1975,2,3,1975/02/03 05:00:00+00
381890,381891,1975033S11073,SI,MM,GERVAISE,-13.74,68.7,0,0,1975,2,3,1975/02/03 05:00:00+00
381891,381892,1975033S11073,SI,MM,GERVAISE,-13.92,68.4,0,0,1975,2,3,1975/02/03 05:00:00+00
381892,381893,1975033S11073,SI,MM,GERVAISE,-14.04,68.14,0,0,1975,2,3,1975/02/03 05:00:00+00
381893,381894,1975033S11073,SI,MM,GERVAISE,-14.17,67.86,0,0,1975,2,4,1975/02/04 05:00:00+00
381894,381895,1975033S11073,SI,MM,GERVAISE,-14.37,67.51,0,0,1975,2,4,1975/02/04 05:00:00+00
381895,381896,1975033S11073,SI,MM,GERVAISE,-14.58,67.1,0,0,1975,2,4,1975/02/04 05:00:00+00
381896,381897,1975033S11073,SI,MM,GERVAISE,-14.74,66.63,0,0,1975,2,4,1975/02/04 05:00:00+00
381897,381898,1975033S11073,SI,MM,GERVAISE,-14.89,66.11,0,0,1975,2,4,1975/02/04 05:00:00+00
381898,381899,1975033S11073,SI,MM,GERVAISE,-15.03,65.55,0,0,1975,2,4,1975/02/04 05:00:00+00
381899,381900,1975033S11073,SI,MM,GERVAISE,-15.16,64.98,0,0,1975,2,4,1975/02/04 05:00:00+00
381900,381901,1975033S11073,SI,MM,GERVAISE,-15.26,64.43,0,0,1975,2,4,1975/02/04 05:00:00+00
381901,381902,1975033S11073,SI,MM,GERVAISE,-15.39,63.86,0,0,1975,2,5,1975/02/05 05:00:00+00
381902,381903,1975033S11073,SI,MM,GERVAISE,-15.59,63.22,0,0,1975,2,5,1975/02/05 05:00:00+00
381903,381904,1975033S11073,SI,MM,GERVAISE,-15.82,62.58,0,0,1975,2,5,1975/02/05 05:00:00+00
381904,381905,1975033S11073,SI,MM,GERVAISE,-16.03,62.03,0,0,1975,2,5,1975/02/05 05:00:00+00
381905,381906,1975033S11073,SI,MM,GERVAISE,-16.27,61.5,0,0,1975,2,5,1975/02/05 05:00:00+00
381906,381907,1975033S11073,SI,MM,GERVAISE,-16.59,60.92,0,0,1975,2,5,1975/02/05 05:00:00+00
381907,381908,1975033S11073,SI,MM,GERVAISE,-16.94,60.34,0,0,1975,2,5,1975/02/05 05:00:00+00
381908,381909,1975033S11073,SI,MM,GERVAISE,-17.27,59.78,0,0,1975,2,5,1975/02/05 05:00:00+00
381909,381910,1975033S11073,SI,MM,GERVAISE,-17.64,59.25,0,0,1975,2,6,1975/02/06 05:00:00+00
381910,381911,1975033S11073,SI,MM,GERVAISE,-18.04,58.69,0,0,1975,2,6,1975/02/06 05:00:00+00
381911,381912,1975033S11073,SI,MM,GERVAISE,-18.5,58.22,0,0,1975,2,6,1975/02/06 05:00:00+00
381912,381913,1975033S11073,SI,MM,GERVAISE,-19.0,57.94,0,0,1975,2,6,1975/02/06 05:00:00+00
381913,381914,1975033S11073,SI,MM,GERVAISE,-19.53,57.73,0,0,1975,2,6,1975/02/06 05:00:00+00
381914,381915,1975033S11073,SI,MM,GERVAISE,-20.11,57.48,0,0,1975,2,6,1975/02/06 05:00:00+00
381915,381916,1975033S11073,SI,MM,GERVAISE,-20.68,57.24,0,0,1975,2,6,1975/02/06 05:00:00+00
381916,381917,1975033S11073,SI,MM,GERVAISE,-21.2,57.02,0,0,1975,2,6,1975/02/06 05:00:00+00
381917,381918,1975033S11073,SI,MM,GERVAISE,-21.71,56.82,0,0,1975,2,7,1975/02/07 05:00:00+00
381918,381919,1975033S11073,SI,MM,GERVAISE,-22.23,56.63,0,0,1975,2,7,1975/02/07 05:00:00+00
381919,381920,1975033S11073,SI,MM,GERVAISE,-22.74,56.46,0,0,1975,2,7,1975/02/07 05:00:00+00
381920,381921,1975033S11073,SI,MM,GERVAISE,-23.22,56.28,0,0,1975,2,7,1975/02/07 05:00:00+00
381921,381922,1975033S11073,SI,MM,GERVAISE,-23.75,56.14,0,0,1975,2,7,1975/02/07 05:00:00+00
381922,381923,1975033S11073,SI,MM,GERVAISE,-24.37,56.04,0,0,1975,2,7,1975/02/07 05:00:00+00
381923,381924,1975033S11073,SI,MM,GERVAISE,-25.04,56.0,0,0,1975,2,7,1975/02/07 05:00:00+00
381924,381925,1975033S11073,SI,MM,GERVAISE,-25.7,55.96,0,0,1975,2,7,1975/02/07 05:00:00+00
381925,381926,1975033S11073,SI,MM,GERVAISE,-26.34,55.99,0,0,1975,2,8,1975/02/08 05:00:00+00
381926,381927,1975033S11073,SI,MM,GERVAISE,-26.97,56.12,0,0,1975,2,8,1975/02/08 05:00:00+00
381927,381928,1975033S11073,SI,MM,GERVAISE,-27.56,56.4,0,0,1975,2,8,1975/02/08 05:00:00+00
381928,381929,1975033S11073,SI,MM,GERVAISE,-28.12,56.87,0,0,1975,2,8,1975/02/08 05:00:00+00
381929,381930,1975033S11073,SI,MM,GERVAISE,-28.67,57.51,0,0,1975,2,8,1975/02/08 05:00:00+00
381930,381931,1975033S11073,SI,MM,GERVAISE,-29.23,58.26,0,0,1975,2,8,1975/02/08 05:00:00+00
381931,381932,1975033S11073,SI,MM,GERVAISE,-29.8,59.08,0,0,1975,2,8,1975/02/08 05:00:00+00
381932,381933,1975033S11073,SI,MM,GERVAISE,-30.36,59.81,0,0,1975,2,8,1975/02/08 05:00:00+00
381933,381934,1975033S11073,SI,MM,GERVAISE,-30.93,60.59,0,0,1975,2,9,1975/02/09 05:00:00+00
381934,381935,1975033S11073,SI,MM,GERVAISE,-31.45,61.42,0,0,1975,2,9,1975/02/09 05:00:00+00
381935,381936,1975033S11073,SI,MM,GERVAISE,-32.1,62.5,0,0,1975,2,9,1975/02/09 05:00:00+00
381936,381937,1975033S11073,SI,MM,GERVAISE,-32.99,63.95,0,0,1975,2,9,1975/02/09 05:00:00+00
381937,381938,1975033S11073,SI,MM,GERVAISE,-34.1,65.77,0,0,1975,2,9,1975/02/09 05:00:00+00
381938,381939,1975033S11073,SI,MM,GERVAISE,-35.28,67.59,0,0,1975,2,9,1975/02/09 05:00:00+00
381939,381940,1975033S11073,SI,MM,GERVAISE,-36.33,69.15,0,0,1975,2,9,1975/02/09 05:00:00+00
381940,381941,1975033S11073,SI,MM,GERVAISE,-36.92,70.0,0,0,1975,2,9,1975/02/09 05:00:00+00
381941,381942,1975033S11073,SI,MM,GERVAISE,-38.0,72.0,0,0,1975,2,10,1975/02/10 05:00:00+00
381942,381943,1975033S11073,SI,MM,GERVAISE,-39.41,73.99,0,0,1975,2,10,1975/02/10 05:00:00+00
