Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
320971,320972,1967008S09071,SI,MM,GILBERTE,-8.8,71.0,0,0,1967,1,8,1967/01/08 05:00:00+00
320972,320973,1967008S09071,SI,MM,GILBERTE,-9.26,70.31,0,0,1967,1,8,1967/01/08 05:00:00+00
320973,320974,1967008S09071,SI,MM,GILBERTE,-9.7,69.62,0,0,1967,1,8,1967/01/08 05:00:00+00
320974,320975,1967008S09071,SI,MM,GILBERTE,-10.12,68.92,0,0,1967,1,8,1967/01/08 05:00:00+00
320975,320976,1967008S09071,SI,MM,GILBERTE,-10.5,68.2,0,0,1967,1,8,1967/01/08 05:00:00+00
320976,320977,1967008S09071,SI,MM,GILBERTE,-10.83,67.44,0,0,1967,1,8,1967/01/08 05:00:00+00
320977,320978,1967008S09071,SI,MM,GILBERTE,-11.11,66.68,0,0,1967,1,9,1967/01/09 05:00:00+00
320978,320979,1967008S09071,SI,MM,GILBERTE,-11.38,65.94,0,0,1967,1,9,1967/01/09 05:00:00+00
320979,320980,1967008S09071,SI,MM,GILBERTE,-11.47,65.59,0,0,1967,1,9,1967/01/09 05:00:00+00
320980,320981,1967008S09071,SI,MM,GILBERTE,-11.53,65.31,0,0,1967,1,9,1967/01/09 05:00:00+00
320981,320982,1967008S09071,SI,MM,GILBERTE,-11.58,65.12,0,0,1967,1,9,1967/01/09 05:00:00+00
320982,320983,1967008S09071,SI,MM,GILBERTE,-11.62,65.01,0,0,1967,1,9,1967/01/09 05:00:00+00
320983,320984,1967008S09071,SI,MM,GILBERTE,-11.72,64.82,0,0,1967,1,9,1967/01/09 05:00:00+00
320984,320985,1967008S09071,SI,MM,GILBERTE,-11.81,64.59,0,0,1967,1,9,1967/01/09 05:00:00+00
320985,320986,1967008S09071,SI,MM,GILBERTE,-11.92,64.37,0,0,1967,1,10,1967/01/10 05:00:00+00
320986,320987,1967008S09071,SI,MM,GILBERTE,-12.07,64.21,0,0,1967,1,10,1967/01/10 05:00:00+00
320987,320988,1967008S09071,SI,MM,GILBERTE,-12.24,64.02,0,0,1967,1,10,1967/01/10 05:00:00+00
320988,320989,1967008S09071,SI,MM,GILBERTE,-12.38,63.75,0,0,1967,1,10,1967/01/10 05:00:00+00
320989,320990,1967008S09071,SI,MM,GILBERTE,-12.54,63.44,0,0,1967,1,10,1967/01/10 05:00:00+00
320990,320991,1967008S09071,SI,MM,GILBERTE,-12.76,63.15,0,0,1967,1,10,1967/01/10 05:00:00+00
320991,320992,1967008S09071,SI,MM,GILBERTE,-13.0,62.86,0,0,1967,1,10,1967/01/10 05:00:00+00
320992,320993,1967008S09071,SI,MM,GILBERTE,-13.21,62.57,0,0,1967,1,10,1967/01/10 05:00:00+00
