Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
329499,329500,1968044S15122,SI,WA,GINA:JANINE,-14.9,122.0,0,0,1968,2,12,1968/02/12 05:00:00+00
329500,329501,1968044S15122,SI,WA,GINA:JANINE,-14.91,121.82,0,0,1968,2,13,1968/02/13 05:00:00+00
329501,329502,1968044S15122,SI,WA,GINA:JANINE,-14.93,121.71,0,0,1968,2,13,1968/02/13 05:00:00+00
329502,329503,1968044S15122,SI,WA,GINA:JANINE,-14.96,121.4,0,0,1968,2,13,1968/02/13 05:00:00+00
329503,329504,1968044S15122,SI,WA,GINA:JANINE,-15.0,120.93,0,0,1968,2,13,1968/02/13 05:00:00+00
329504,329505,1968044S15122,SI,WA,GINA:JANINE,-15.02,120.42,0,0,1968,2,13,1968/02/13 05:00:00+00
329505,329506,1968044S15122,SI,WA,GINA:JANINE,-15.03,120.07,0,0,1968,2,13,1968/02/13 05:00:00+00
329506,329507,1968044S15122,SI,WA,GINA:JANINE,-15.04,119.9,0,0,1968,2,13,1968/02/13 05:00:00+00
329507,329508,1968044S15122,SI,WA,GINA:JANINE,-15.04,119.38,0,0,1968,2,13,1968/02/13 05:00:00+00
329508,329509,1968044S15122,SI,WA,GINA:JANINE,-15.05,118.85,0,0,1968,2,13,1968/02/13 05:00:00+00
329509,329510,1968044S15122,SI,WA,GINA:JANINE,-15.06,118.3,0,0,1968,2,13,1968/02/13 05:00:00+00
329510,329511,1968044S15122,SI,WA,GINA:JANINE,-15.07,117.89,0,0,1968,2,13,1968/02/13 05:00:00+00
329511,329512,1968044S15122,SI,WA,GINA:JANINE,-15.08,117.62,0,0,1968,2,14,1968/02/14 05:00:00+00
329512,329513,1968044S15122,SI,WA,GINA:JANINE,-15.09,117.36,0,0,1968,2,14,1968/02/14 05:00:00+00
329513,329514,1968044S15122,SI,WA,GINA:JANINE,-15.1,116.82,0,0,1968,2,14,1968/02/14 05:00:00+00
329514,329515,1968044S15122,SI,WA,GINA:JANINE,-15.12,115.97,0,0,1968,2,14,1968/02/14 05:00:00+00
329515,329516,1968044S15122,SI,WA,GINA:JANINE,-15.14,115.12,0,0,1968,2,14,1968/02/14 05:00:00+00
329516,329517,1968044S15122,SI,WA,GINA:JANINE,-15.18,114.53,0,0,1968,2,14,1968/02/14 05:00:00+00
329517,329518,1968044S15122,SI,WA,GINA:JANINE,-15.21,114.24,0,0,1968,2,14,1968/02/14 05:00:00+00
329518,329519,1968044S15122,SI,WA,GINA:JANINE,-15.34,113.38,0,0,1968,2,14,1968/02/14 05:00:00+00
329519,329520,1968044S15122,SI,WA,GINA:JANINE,-15.4,113.08,0,0,1968,2,14,1968/02/14 05:00:00+00
329520,329521,1968044S15122,SI,WA,GINA:JANINE,-15.5,112.5,0,0,1968,2,14,1968/02/14 05:00:00+00
329521,329522,1968044S15122,SI,WA,GINA:JANINE,-15.62,111.61,0,0,1968,2,14,1968/02/14 05:00:00+00
329522,329523,1968044S15122,SI,WA,GINA:JANINE,-15.68,111.04,0,0,1968,2,14,1968/02/14 05:00:00+00
329523,329524,1968044S15122,SI,WA,GINA:JANINE,-15.7,110.78,0,0,1968,2,15,1968/02/15 05:00:00+00
329524,329525,1968044S15122,SI,WA,GINA:JANINE,-15.73,110.52,0,0,1968,2,15,1968/02/15 05:00:00+00
329525,329526,1968044S15122,SI,WA,GINA:JANINE,-15.76,110.04,0,0,1968,2,15,1968/02/15 05:00:00+00
329526,329527,1968044S15122,SI,WA,GINA:JANINE,-15.8,109.38,0,0,1968,2,15,1968/02/15 05:00:00+00
329527,329528,1968044S15122,SI,WA,GINA:JANINE,-15.83,108.78,0,0,1968,2,15,1968/02/15 05:00:00+00
329528,329529,1968044S15122,SI,WA,GINA:JANINE,-15.85,108.4,0,0,1968,2,15,1968/02/15 05:00:00+00
329529,329530,1968044S15122,SI,WA,GINA:JANINE,-15.85,108.3,0,0,1968,2,15,1968/02/15 05:00:00+00
329530,329531,1968044S15122,SI,WA,GINA:JANINE,-15.89,107.85,0,0,1968,2,15,1968/02/15 05:00:00+00
329531,329532,1968044S15122,SI,WA,GINA:JANINE,-15.92,107.51,0,0,1968,2,15,1968/02/15 05:00:00+00
329532,329533,1968044S15122,SI,WA,GINA:JANINE,-15.94,107.24,0,0,1968,2,15,1968/02/15 05:00:00+00
329533,329534,1968044S15122,SI,WA,GINA:JANINE,-15.96,107.02,0,0,1968,2,15,1968/02/15 05:00:00+00
329534,329535,1968044S15122,SI,WA,GINA:JANINE,-15.95,107.03,0,0,1968,2,16,1968/02/16 05:00:00+00
329535,329536,1968044S15122,SI,WA,GINA:JANINE,-15.95,106.88,0,0,1968,2,16,1968/02/16 05:00:00+00
329536,329537,1968044S15122,SI,WA,GINA:JANINE,-15.95,106.47,0,0,1968,2,16,1968/02/16 05:00:00+00
329537,329538,1968044S15122,SI,WA,GINA:JANINE,-15.95,105.85,0,0,1968,2,16,1968/02/16 05:00:00+00
329538,329539,1968044S15122,SI,WA,GINA:JANINE,-15.97,105.18,0,0,1968,2,16,1968/02/16 05:00:00+00
329539,329540,1968044S15122,SI,WA,GINA:JANINE,-15.98,104.51,0,0,1968,2,16,1968/02/16 05:00:00+00
329540,329541,1968044S15122,SI,WA,GINA:JANINE,-15.97,103.87,0,0,1968,2,16,1968/02/16 05:00:00+00
329541,329542,1968044S15122,SI,WA,GINA:JANINE,-15.96,103.28,0,0,1968,2,16,1968/02/16 05:00:00+00
329542,329543,1968044S15122,SI,WA,GINA:JANINE,-15.96,102.73,0,0,1968,2,16,1968/02/16 05:00:00+00
329543,329544,1968044S15122,SI,WA,GINA:JANINE,-15.97,102.24,0,0,1968,2,17,1968/02/17 05:00:00+00
329544,329545,1968044S15122,SI,WA,GINA:JANINE,-16.03,101.8,0,0,1968,2,17,1968/02/17 05:00:00+00
329545,329546,1968044S15122,SI,WA,GINA:JANINE,-16.1,101.03,0,0,1968,2,17,1968/02/17 05:00:00+00
329546,329547,1968044S15122,SI,WA,GINA:JANINE,-16.21,100.66,0,0,1968,2,17,1968/02/17 05:00:00+00
329547,329548,1968044S15122,SI,WA,GINA:JANINE,-16.34,100.43,0,0,1968,2,17,1968/02/17 05:00:00+00
329548,329549,1968044S15122,SI,WA,GINA:JANINE,-16.47,100.23,0,0,1968,2,17,1968/02/17 05:00:00+00
329549,329550,1968044S15122,SI,WA,GINA:JANINE,-16.58,100.12,0,0,1968,2,17,1968/02/17 05:00:00+00
329550,329551,1968044S15122,SI,WA,GINA:JANINE,-16.67,100.04,0,0,1968,2,17,1968/02/17 05:00:00+00
329551,329552,1968044S15122,SI,WA,GINA:JANINE,-16.76,99.93,0,0,1968,2,18,1968/02/18 05:00:00+00
329552,329553,1968044S15122,SI,WA,GINA:JANINE,-16.83,99.75,0,0,1968,2,18,1968/02/18 05:00:00+00
329553,329554,1968044S15122,SI,WA,GINA:JANINE,-16.89,99.47,0,0,1968,2,18,1968/02/18 05:00:00+00
329554,329555,1968044S15122,SI,WA,GINA:JANINE,-16.99,99.04,0,0,1968,2,18,1968/02/18 05:00:00+00
329555,329556,1968044S15122,SI,WA,GINA:JANINE,-17.11,98.5,0,0,1968,2,18,1968/02/18 05:00:00+00
329556,329557,1968044S15122,SI,WA,GINA:JANINE,-17.24,97.89,0,0,1968,2,18,1968/02/18 05:00:00+00
329557,329558,1968044S15122,SI,WA,GINA:JANINE,-17.4,97.27,0,0,1968,2,18,1968/02/18 05:00:00+00
329558,329559,1968044S15122,SI,WA,GINA:JANINE,-17.54,96.7,0,0,1968,2,18,1968/02/18 05:00:00+00
