Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
635375,635376,2013041S10087,SI,MM,GINO,-9.6,87.0,20,1007,2013,2,9,2013/02/09 05:00:00+00
635376,635377,2013041S10087,SI,MM,GINO,-9.83,87.04,22,1005,2013,2,9,2013/02/09 05:00:00+00
635377,635378,2013041S10087,SI,MM,GINO,-10.1,87.0,25,1004,2013,2,9,2013/02/09 05:00:00+00
635378,635379,2013041S10087,SI,MM,GINO,-10.45,86.82,25,1004,2013,2,9,2013/02/09 05:00:00+00
635379,635380,2013041S10087,SI,MM,GINO,-10.8,86.5,25,1004,2013,2,10,2013/02/10 05:00:00+00
635380,635381,2013041S10087,SI,MM,GINO,-11.06,86.09,25,1004,2013,2,10,2013/02/10 05:00:00+00
635381,635382,2013041S10087,SI,MM,GINO,-11.4,85.66,25,1004,2013,2,10,2013/02/10 05:00:00+00
635382,635383,2013041S10087,SI,MM,GINO,-11.78,85.11,25,1004,2013,2,10,2013/02/10 05:00:00+00
635383,635384,2013041S10087,SI,MM,GINO,-12.03,84.5,25,1004,2013,2,10,2013/02/10 05:00:00+00
635384,635385,2013041S10087,SI,MM,GINO,-12.01,83.86,27,1002,2013,2,10,2013/02/10 05:00:00+00
635385,635386,2013041S10087,SI,MM,GINO,-11.9,83.3,30,1000,2013,2,10,2013/02/10 05:00:00+00
635386,635387,2013041S10087,SI,MM,GINO,-11.88,82.91,30,1000,2013,2,10,2013/02/10 05:00:00+00
635387,635388,2013041S10087,SI,MM,GINO,-11.95,82.6,30,1000,2013,2,11,2013/02/11 05:00:00+00
635388,635389,2013041S10087,SI,MM,GINO,-12.12,82.29,32,998,2013,2,11,2013/02/11 05:00:00+00
635389,635390,2013041S10087,SI,MM,GINO,-12.4,82.0,35,996,2013,2,11,2013/02/11 05:00:00+00
635390,635391,2013041S10087,SI,MM,GINO,-12.74,81.69,37,994,2013,2,11,2013/02/11 05:00:00+00
635391,635392,2013041S10087,SI,MM,GINO,-13.15,81.4,40,993,2013,2,11,2013/02/11 05:00:00+00
635392,635393,2013041S10087,SI,MM,GINO,-13.6,81.14,42,991,2013,2,11,2013/02/11 05:00:00+00
635393,635394,2013041S10087,SI,MM,GINO,-14.05,80.9,45,989,2013,2,11,2013/02/11 05:00:00+00
635394,635395,2013041S10087,SI,MM,GINO,-14.4,80.63,50,985,2013,2,11,2013/02/11 05:00:00+00
635395,635396,2013041S10087,SI,MM,GINO,-14.75,80.4,55,982,2013,2,12,2013/02/12 05:00:00+00
635396,635397,2013041S10087,SI,MM,GINO,-15.18,80.24,60,978,2013,2,12,2013/02/12 05:00:00+00
635397,635398,2013041S10087,SI,MM,GINO,-15.65,80.1,65,974,2013,2,12,2013/02/12 05:00:00+00
635398,635399,2013041S10087,SI,MM,GINO,-16.15,79.89,67,972,2013,2,12,2013/02/12 05:00:00+00
635399,635400,2013041S10087,SI,MM,GINO,-16.65,79.7,70,970,2013,2,12,2013/02/12 05:00:00+00
635400,635401,2013041S10087,SI,MM,GINO,-17.09,79.6,72,968,2013,2,12,2013/02/12 05:00:00+00
635401,635402,2013041S10087,SI,MM,GINO,-17.5,79.55,75,967,2013,2,12,2013/02/12 05:00:00+00
635402,635403,2013041S10087,SI,MM,GINO,-17.93,79.51,80,963,2013,2,12,2013/02/12 05:00:00+00
635403,635404,2013041S10087,SI,MM,GINO,-18.35,79.5,85,959,2013,2,13,2013/02/13 05:00:00+00
635404,635405,2013041S10087,SI,MM,GINO,-18.72,79.49,85,959,2013,2,13,2013/02/13 05:00:00+00
635405,635406,2013041S10087,SI,MM,GINO,-19.1,79.5,85,959,2013,2,13,2013/02/13 05:00:00+00
635406,635407,2013041S10087,SI,MM,GINO,-19.56,79.56,85,959,2013,2,13,2013/02/13 05:00:00+00
635407,635408,2013041S10087,SI,MM,GINO,-20.05,79.65,85,959,2013,2,13,2013/02/13 05:00:00+00
635408,635409,2013041S10087,SI,MM,GINO,-20.5,79.74,87,957,2013,2,13,2013/02/13 05:00:00+00
635409,635410,2013041S10087,SI,MM,GINO,-20.95,79.85,90,956,2013,2,13,2013/02/13 05:00:00+00
635410,635411,2013041S10087,SI,MM,GINO,-21.39,79.98,90,956,2013,2,13,2013/02/13 05:00:00+00
635411,635412,2013041S10087,SI,MM,GINO,-21.85,80.15,90,956,2013,2,14,2013/02/14 05:00:00+00
635412,635413,2013041S10087,SI,MM,GINO,-22.33,80.35,90,956,2013,2,14,2013/02/14 05:00:00+00
635413,635414,2013041S10087,SI,MM,GINO,-22.85,80.6,90,956,2013,2,14,2013/02/14 05:00:00+00
635414,635415,2013041S10087,SI,MM,GINO,-23.46,80.86,82,961,2013,2,14,2013/02/14 05:00:00+00
635415,635416,2013041S10087,SI,MM,GINO,-24.05,81.2,75,967,2013,2,14,2013/02/14 05:00:00+00
635416,635417,2013041S10087,SI,MM,GINO,-24.53,81.62,67,972,2013,2,14,2013/02/14 05:00:00+00
635417,635418,2013041S10087,SI,MM,GINO,-24.95,82.15,60,978,2013,2,14,2013/02/14 05:00:00+00
635418,635419,2013041S10087,SI,MM,GINO,-25.34,82.77,57,980,2013,2,14,2013/02/14 05:00:00+00
635419,635420,2013041S10087,SI,MM,GINO,-25.7,83.45,55,982,2013,2,15,2013/02/15 05:00:00+00
635420,635421,2013041S10087,SI,MM,GINO,-26.07,84.15,50,985,2013,2,15,2013/02/15 05:00:00+00
635421,635422,2013041S10087,SI,MM,GINO,-26.35,84.85,45,989,2013,2,15,2013/02/15 05:00:00+00
635422,635423,2013041S10087,SI,MM,GINO,-26.51,85.55,42,991,2013,2,15,2013/02/15 05:00:00+00
635423,635424,2013041S10087,SI,MM,GINO,-26.55,86.2,40,993,2013,2,15,2013/02/15 05:00:00+00
635424,635425,2013041S10087,SI,MM,GINO,-26.52,86.77,40,993,2013,2,15,2013/02/15 05:00:00+00
635425,635426,2013041S10087,SI,MM,GINO,-26.45,87.25,40,993,2013,2,15,2013/02/15 05:00:00+00
635426,635427,2013041S10087,SI,MM,GINO,-26.41,87.63,35,996,2013,2,15,2013/02/15 05:00:00+00
635427,635428,2013041S10087,SI,MM,GINO,-26.33,87.93,30,1000,2013,2,16,2013/02/16 05:00:00+00
635428,635429,2013041S10087,SI,MM,GINO,-26.22,88.25,27,1002,2013,2,16,2013/02/16 05:00:00+00
635429,635430,2013041S10087,SI,MM,GINO,-26.04,88.54,25,1004,2013,2,16,2013/02/16 05:00:00+00
635430,635431,2013041S10087,SI,MM,GINO,-25.73,88.72,0,0,2013,2,16,2013/02/16 05:00:00+00
635431,635432,2013041S10087,SI,MM,GINO,-25.3,88.8,0,0,2013,2,16,2013/02/16 05:00:00+00
635432,635433,2013041S10087,SI,MM,GINO,-24.62,88.77,0,0,2013,2,16,2013/02/16 05:00:00+00
635433,635434,2013041S10087,SI,MM,GINO,-24.0,88.6,0,0,2013,2,16,2013/02/16 05:00:00+00
635434,635435,2013041S10087,SI,MM,GINO,-23.74,88.34,0,0,2013,2,16,2013/02/16 05:00:00+00
635435,635436,2013041S10087,SI,MM,GINO,-23.7,88.0,0,0,2013,2,17,2013/02/17 05:00:00+00
635436,635437,2013041S10087,SI,MM,GINO,-23.77,87.65,0,0,2013,2,17,2013/02/17 05:00:00+00
635437,635438,2013041S10087,SI,MM,GINO,-23.9,87.3,0,0,2013,2,17,2013/02/17 05:00:00+00
635438,635439,2013041S10087,SI,MM,GINO,-23.97,86.99,0,0,2013,2,17,2013/02/17 05:00:00+00
