Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
296816,296817,1963201N14244,EP,MM,GLENDA,14.3,-116.0,75,0,1963,7,19,1963/07/19 04:00:00+00
296817,296818,1963201N14244,EP,MM,GLENDA,14.2,-116.5,75,0,1963,7,19,1963/07/19 04:00:00+00
296818,296819,1963201N14244,EP,MM,GLENDA,14.1,-117.0,75,0,1963,7,19,1963/07/19 04:00:00+00
296819,296820,1963201N14244,EP,MM,GLENDA,14.04,-117.5,75,0,1963,7,19,1963/07/19 04:00:00+00
296820,296821,1963201N14244,EP,MM,GLENDA,14.0,-118.0,75,0,1963,7,20,1963/07/20 04:00:00+00
296821,296822,1963201N14244,EP,MM,GLENDA,13.99,-118.5,75,0,1963,7,20,1963/07/20 04:00:00+00
296822,296823,1963201N14244,EP,MM,GLENDA,14.0,-119.0,75,0,1963,7,20,1963/07/20 04:00:00+00
296823,296824,1963201N14244,EP,MM,GLENDA,14.0,-119.5,75,0,1963,7,20,1963/07/20 04:00:00+00
296824,296825,1963201N14244,EP,MM,GLENDA,14.0,-120.0,75,0,1963,7,20,1963/07/20 04:00:00+00
296825,296826,1963201N14244,EP,MM,GLENDA,14.0,-120.5,75,0,1963,7,20,1963/07/20 04:00:00+00
296826,296827,1963201N14244,EP,MM,GLENDA,14.0,-121.0,75,0,1963,7,20,1963/07/20 04:00:00+00
296827,296828,1963201N14244,EP,MM,GLENDA,14.0,-121.5,75,0,1963,7,20,1963/07/20 04:00:00+00
296828,296829,1963201N14244,EP,MM,GLENDA,14.0,-122.0,75,0,1963,7,21,1963/07/21 04:00:00+00
296829,296830,1963201N14244,EP,MM,GLENDA,14.0,-122.5,75,0,1963,7,21,1963/07/21 04:00:00+00
296830,296831,1963201N14244,EP,MM,GLENDA,14.0,-123.0,75,0,1963,7,21,1963/07/21 04:00:00+00
296831,296832,1963201N14244,EP,MM,GLENDA,14.0,-123.5,75,0,1963,7,21,1963/07/21 04:00:00+00
311760,311761,1965257N12248,EP,MM,GLENDA,12.0,-111.9,45,0,1965,9,13,1965/09/13 04:00:00+00
311761,311762,1965257N12248,EP,MM,GLENDA,12.05,-112.5,45,0,1965,9,13,1965/09/13 04:00:00+00
311762,311763,1965257N12248,EP,MM,GLENDA,12.09,-113.09,45,0,1965,9,13,1965/09/13 04:00:00+00
311763,311764,1965257N12248,EP,MM,GLENDA,12.1,-113.65,45,0,1965,9,13,1965/09/13 04:00:00+00
311764,311765,1965257N12248,EP,MM,GLENDA,12.1,-114.2,45,0,1965,9,14,1965/09/14 04:00:00+00
311765,311766,1965257N12248,EP,MM,GLENDA,12.1,-114.75,45,0,1965,9,14,1965/09/14 04:00:00+00
311766,311767,1965257N12248,EP,MM,GLENDA,12.1,-115.3,45,0,1965,9,14,1965/09/14 04:00:00+00
311767,311768,1965257N12248,EP,MM,GLENDA,12.14,-115.83,45,0,1965,9,14,1965/09/14 04:00:00+00
311768,311769,1965257N12248,EP,MM,GLENDA,12.2,-116.4,45,0,1965,9,14,1965/09/14 04:00:00+00
311769,311770,1965257N12248,EP,MM,GLENDA,12.29,-117.03,45,0,1965,9,14,1965/09/14 04:00:00+00
311770,311771,1965257N12248,EP,MM,GLENDA,12.41,-117.7,45,0,1965,9,14,1965/09/14 04:00:00+00
311771,311772,1965257N12248,EP,MM,GLENDA,12.56,-118.36,45,0,1965,9,14,1965/09/14 04:00:00+00
311772,311773,1965257N12248,EP,MM,GLENDA,12.7,-119.0,45,0,1965,9,15,1965/09/15 04:00:00+00
311773,311774,1965257N12248,EP,MM,GLENDA,12.76,-119.57,45,0,1965,9,15,1965/09/15 04:00:00+00
311774,311775,1965257N12248,EP,MM,GLENDA,12.8,-120.11,45,0,1965,9,15,1965/09/15 04:00:00+00
311775,311776,1965257N12248,EP,MM,GLENDA,12.84,-120.67,45,0,1965,9,15,1965/09/15 04:00:00+00
311776,311777,1965257N12248,EP,MM,GLENDA,12.9,-121.2,45,0,1965,9,15,1965/09/15 04:00:00+00
311777,311778,1965257N12248,EP,MM,GLENDA,12.99,-121.67,45,0,1965,9,15,1965/09/15 04:00:00+00
311778,311779,1965257N12248,EP,MM,GLENDA,13.11,-122.11,45,0,1965,9,15,1965/09/15 04:00:00+00
311779,311780,1965257N12248,EP,MM,GLENDA,13.25,-122.58,45,0,1965,9,15,1965/09/15 04:00:00+00
311780,311781,1965257N12248,EP,MM,GLENDA,13.4,-123.0,45,0,1965,9,16,1965/09/16 04:00:00+00
311781,311782,1965257N12248,EP,MM,GLENDA,13.55,-123.33,45,0,1965,9,16,1965/09/16 04:00:00+00
311782,311783,1965257N12248,EP,MM,GLENDA,13.69,-123.61,45,0,1965,9,16,1965/09/16 04:00:00+00
311783,311784,1965257N12248,EP,MM,GLENDA,13.8,-123.91,45,0,1965,9,16,1965/09/16 04:00:00+00
311784,311785,1965257N12248,EP,MM,GLENDA,13.9,-124.2,45,0,1965,9,16,1965/09/16 04:00:00+00
311785,311786,1965257N12248,EP,MM,GLENDA,14.0,-124.46,45,0,1965,9,16,1965/09/16 04:00:00+00
311786,311787,1965257N12248,EP,MM,GLENDA,14.1,-124.71,45,0,1965,9,16,1965/09/16 04:00:00+00
311787,311788,1965257N12248,EP,MM,GLENDA,14.2,-124.96,45,0,1965,9,16,1965/09/16 04:00:00+00
311788,311789,1965257N12248,EP,MM,GLENDA,14.3,-125.2,45,0,1965,9,17,1965/09/17 04:00:00+00
311789,311790,1965257N12248,EP,MM,GLENDA,14.4,-125.41,45,0,1965,9,17,1965/09/17 04:00:00+00
311790,311791,1965257N12248,EP,MM,GLENDA,14.51,-125.6,45,0,1965,9,17,1965/09/17 04:00:00+00
311791,311792,1965257N12248,EP,MM,GLENDA,14.65,-125.8,45,0,1965,9,17,1965/09/17 04:00:00+00
311792,311793,1965257N12248,EP,MM,GLENDA,14.8,-126.0,45,0,1965,9,17,1965/09/17 04:00:00+00
311793,311794,1965257N12248,EP,MM,GLENDA,14.94,-126.2,45,0,1965,9,17,1965/09/17 04:00:00+00
311794,311795,1965257N12248,EP,MM,GLENDA,15.1,-126.41,45,0,1965,9,17,1965/09/17 04:00:00+00
311795,311796,1965257N12248,EP,MM,GLENDA,15.29,-126.66,45,0,1965,9,17,1965/09/17 04:00:00+00
311796,311797,1965257N12248,EP,MM,GLENDA,15.5,-126.9,45,0,1965,9,18,1965/09/18 04:00:00+00
311797,311798,1965257N12248,EP,MM,GLENDA,15.7,-127.11,45,0,1965,9,18,1965/09/18 04:00:00+00
311798,311799,1965257N12248,EP,MM,GLENDA,15.91,-127.29,45,0,1965,9,18,1965/09/18 04:00:00+00
311799,311800,1965257N12248,EP,MM,GLENDA,16.15,-127.44,45,0,1965,9,18,1965/09/18 04:00:00+00
311800,311801,1965257N12248,EP,MM,GLENDA,16.4,-127.6,45,0,1965,9,18,1965/09/18 04:00:00+00
311801,311802,1965257N12248,EP,MM,GLENDA,16.65,-127.84,45,0,1965,9,18,1965/09/18 04:00:00+00
311802,311803,1965257N12248,EP,MM,GLENDA,16.9,-128.1,45,0,1965,9,18,1965/09/18 04:00:00+00
311803,311804,1965257N12248,EP,MM,GLENDA,17.16,-128.36,45,0,1965,9,18,1965/09/18 04:00:00+00
311804,311805,1965257N12248,EP,MM,GLENDA,17.4,-128.6,45,0,1965,9,19,1965/09/19 04:00:00+00
311805,311806,1965257N12248,EP,MM,GLENDA,17.61,-128.76,45,0,1965,9,19,1965/09/19 04:00:00+00
311806,311807,1965257N12248,EP,MM,GLENDA,17.79,-128.91,45,0,1965,9,19,1965/09/19 04:00:00+00
311807,311808,1965257N12248,EP,MM,GLENDA,17.94,-129.1,45,0,1965,9,19,1965/09/19 04:00:00+00
311808,311809,1965257N12248,EP,MM,GLENDA,18.1,-129.3,45,0,1965,9,19,1965/09/19 04:00:00+00
311809,311810,1965257N12248,EP,MM,GLENDA,18.29,-129.5,45,0,1965,9,19,1965/09/19 04:00:00+00
311810,311811,1965257N12248,EP,MM,GLENDA,18.51,-129.7,45,0,1965,9,19,1965/09/19 04:00:00+00
311811,311812,1965257N12248,EP,MM,GLENDA,18.75,-129.94,45,0,1965,9,19,1965/09/19 04:00:00+00
311812,311813,1965257N12248,EP,MM,GLENDA,19.0,-130.2,45,0,1965,9,20,1965/09/20 04:00:00+00
311813,311814,1965257N12248,EP,MM,GLENDA,19.25,-130.45,45,0,1965,9,20,1965/09/20 04:00:00+00
311814,311815,1965257N12248,EP,MM,GLENDA,19.51,-130.71,45,0,1965,9,20,1965/09/20 04:00:00+00
311815,311816,1965257N12248,EP,MM,GLENDA,19.78,-131.01,45,0,1965,9,20,1965/09/20 04:00:00+00
311816,311817,1965257N12248,EP,MM,GLENDA,20.0,-131.3,45,0,1965,9,20,1965/09/20 04:00:00+00
311817,311818,1965257N12248,EP,MM,GLENDA,20.12,-131.51,45,0,1965,9,20,1965/09/20 04:00:00+00
