Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
693136,693137,2022067S16050,SI,MM,GOMBE,-15.5,50.4,35,999,2022,3,8,2022/03/08 05:00:00+00
693137,693138,2022067S16050,SI,MM,GOMBE,-15.49,49.91,32,1001,2022,3,8,2022/03/08 05:00:00+00
693138,693139,2022067S16050,SI,MM,GOMBE,-15.4,49.4,29,1004,2022,3,8,2022/03/08 05:00:00+00
693139,693140,2022067S16050,SI,MM,GOMBE,-15.19,48.88,29,1003,2022,3,8,2022/03/08 05:00:00+00
693140,693141,2022067S16050,SI,MM,GOMBE,-15.0,48.4,29,1002,2022,3,8,2022/03/08 05:00:00+00
693141,693142,2022067S16050,SI,MM,GOMBE,-15.03,47.98,29,1002,2022,3,8,2022/03/08 05:00:00+00
693142,693143,2022067S16050,SI,MM,GOMBE,-15.1,47.6,29,1002,2022,3,8,2022/03/08 05:00:00+00
693143,693144,2022067S16050,SI,MM,GOMBE,-15.01,47.26,37,999,2022,3,8,2022/03/08 05:00:00+00
693144,693145,2022067S16050,SI,MM,GOMBE,-14.9,46.9,45,996,2022,3,9,2022/03/09 05:00:00+00
693145,693146,2022067S16050,SI,MM,GOMBE,-14.83,46.44,45,997,2022,3,9,2022/03/09 05:00:00+00
693146,693147,2022067S16050,SI,MM,GOMBE,-14.8,46.0,45,999,2022,3,9,2022/03/09 05:00:00+00
693147,693148,2022067S16050,SI,MM,GOMBE,-14.83,45.72,48,996,2022,3,9,2022/03/09 05:00:00+00
693148,693149,2022067S16050,SI,MM,GOMBE,-14.9,45.4,51,994,2022,3,9,2022/03/09 05:00:00+00
693149,693150,2022067S16050,SI,MM,GOMBE,-14.99,44.8,55,991,2022,3,9,2022/03/09 05:00:00+00
693150,693151,2022067S16050,SI,MM,GOMBE,-15.1,44.2,60,989,2022,3,9,2022/03/09 05:00:00+00
693151,693152,2022067S16050,SI,MM,GOMBE,-15.19,43.87,60,989,2022,3,9,2022/03/09 05:00:00+00
693152,693153,2022067S16050,SI,MM,GOMBE,-15.3,43.6,60,989,2022,3,10,2022/03/10 05:00:00+00
693153,693154,2022067S16050,SI,MM,GOMBE,-15.44,43.21,62,988,2022,3,10,2022/03/10 05:00:00+00
693154,693155,2022067S16050,SI,MM,GOMBE,-15.6,42.8,64,988,2022,3,10,2022/03/10 05:00:00+00
693155,693156,2022067S16050,SI,MM,GOMBE,-15.77,42.44,69,983,2022,3,10,2022/03/10 05:00:00+00
693156,693157,2022067S16050,SI,MM,GOMBE,-15.9,42.1,74,979,2022,3,10,2022/03/10 05:00:00+00
