Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208003,208004,1945228N17161,WP,MM,GRACE,17.0,161.0,25,0,1945,8,15,1945/08/15 04:00:00+00
208004,208005,1945228N17161,WP,MM,GRACE,17.25,160.55,25,0,1945,8,15,1945/08/15 04:00:00+00
208005,208006,1945228N17161,WP,MM,GRACE,17.5,160.1,25,0,1945,8,15,1945/08/15 04:00:00+00
208006,208007,1945228N17161,WP,MM,GRACE,17.76,159.68,25,0,1945,8,15,1945/08/15 04:00:00+00
208007,208008,1945228N17161,WP,MM,GRACE,18.0,159.3,25,0,1945,8,16,1945/08/16 04:00:00+00
208008,208009,1945228N17161,WP,MM,GRACE,18.21,159.02,25,0,1945,8,16,1945/08/16 04:00:00+00
208009,208010,1945228N17161,WP,MM,GRACE,18.42,158.75,25,0,1945,8,16,1945/08/16 04:00:00+00
208010,208011,1945228N17161,WP,MM,GRACE,18.71,158.37,25,0,1945,8,16,1945/08/16 04:00:00+00
208011,208012,1945228N17161,WP,MM,GRACE,19.0,158.0,25,0,1945,8,16,1945/08/16 04:00:00+00
208012,208013,1945228N17161,WP,MM,GRACE,19.26,157.73,25,0,1945,8,16,1945/08/16 04:00:00+00
208013,208014,1945228N17161,WP,MM,GRACE,19.5,157.48,25,0,1945,8,16,1945/08/16 04:00:00+00
208014,208015,1945228N17161,WP,MM,GRACE,19.76,157.18,25,0,1945,8,16,1945/08/16 04:00:00+00
208015,208016,1945228N17161,WP,MM,GRACE,20.0,156.9,25,0,1945,8,17,1945/08/17 04:00:00+00
208016,208017,1945228N17161,WP,MM,GRACE,20.21,156.69,25,0,1945,8,17,1945/08/17 04:00:00+00
208017,208018,1945228N17161,WP,MM,GRACE,20.43,156.5,25,0,1945,8,17,1945/08/17 04:00:00+00
208018,208019,1945228N17161,WP,MM,GRACE,20.72,156.28,25,0,1945,8,17,1945/08/17 04:00:00+00
208019,208020,1945228N17161,WP,MM,GRACE,21.0,156.0,25,0,1945,8,17,1945/08/17 04:00:00+00
208020,208021,1945228N17161,WP,MM,GRACE,21.17,155.63,25,0,1945,8,17,1945/08/17 04:00:00+00
208021,208022,1945228N17161,WP,MM,GRACE,21.32,155.22,25,0,1945,8,17,1945/08/17 04:00:00+00
208022,208023,1945228N17161,WP,MM,GRACE,21.51,154.86,25,0,1945,8,17,1945/08/17 04:00:00+00
208023,208024,1945228N17161,WP,MM,GRACE,21.7,154.5,25,0,1945,8,18,1945/08/18 04:00:00+00
208024,208025,1945228N17161,WP,MM,GRACE,21.85,154.11,25,0,1945,8,18,1945/08/18 04:00:00+00
208025,208026,1945228N17161,WP,MM,GRACE,22.02,153.71,25,0,1945,8,18,1945/08/18 04:00:00+00
208026,208027,1945228N17161,WP,MM,GRACE,22.25,153.36,27,0,1945,8,18,1945/08/18 04:00:00+00
208027,208028,1945228N17161,WP,MM,GRACE,22.5,153.0,30,0,1945,8,18,1945/08/18 04:00:00+00
208028,208029,1945228N17161,WP,MM,GRACE,22.75,152.56,30,0,1945,8,18,1945/08/18 04:00:00+00
208029,208030,1945228N17161,WP,MM,GRACE,23.0,152.11,30,0,1945,8,18,1945/08/18 04:00:00+00
208030,208031,1945228N17161,WP,MM,GRACE,23.25,151.73,30,0,1945,8,18,1945/08/18 04:00:00+00
208031,208032,1945228N17161,WP,MM,GRACE,23.5,151.4,30,0,1945,8,19,1945/08/19 04:00:00+00
208032,208033,1945228N17161,WP,MM,GRACE,23.7,151.09,32,0,1945,8,19,1945/08/19 04:00:00+00
208033,208034,1945228N17161,WP,MM,GRACE,23.91,150.84,35,0,1945,8,19,1945/08/19 04:00:00+00
208034,208035,1945228N17161,WP,MM,GRACE,24.18,150.69,35,0,1945,8,19,1945/08/19 04:00:00+00
