Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
429056,429057,1982027S16120,SI,WA,GRAHAM,-15.7,120.0,0,0,1982,1,26,1982/01/26 05:00:00+00
429057,429058,1982027S16120,SI,WA,GRAHAM,-16.36,120.25,0,0,1982,1,26,1982/01/26 05:00:00+00
429058,429059,1982027S16120,SI,WA,GRAHAM,-16.7,120.5,0,0,1982,1,27,1982/01/27 05:00:00+00
429059,429060,1982027S16120,SI,WA,GRAHAM,-16.56,120.74,0,0,1982,1,27,1982/01/27 05:00:00+00
429060,429061,1982027S16120,SI,WA,GRAHAM,-16.18,120.8,0,0,1982,1,27,1982/01/27 05:00:00+00
429061,429062,1982027S16120,SI,WA,GRAHAM,-16.2,120.92,0,0,1982,1,27,1982/01/27 05:00:00+00
429062,429063,1982027S16120,SI,WA,GRAHAM,-16.29,121.13,0,0,1982,1,27,1982/01/27 05:00:00+00
429063,429064,1982027S16120,SI,WA,GRAHAM,-16.41,121.38,0,0,1982,1,27,1982/01/27 05:00:00+00
429064,429065,1982027S16120,SI,WA,GRAHAM,-16.5,121.65,0,0,1982,1,27,1982/01/27 05:00:00+00
429065,429066,1982027S16120,SI,WA,GRAHAM,-16.55,121.92,0,0,1982,1,27,1982/01/27 05:00:00+00
429066,429067,1982027S16120,SI,WA,GRAHAM,-16.6,122.15,0,0,1982,1,28,1982/01/28 05:00:00+00
429067,429068,1982027S16120,SI,WA,GRAHAM,-16.67,122.42,0,0,1982,1,28,1982/01/28 05:00:00+00
429068,429069,1982027S16120,SI,WA,GRAHAM,-16.75,122.65,0,0,1982,1,28,1982/01/28 05:00:00+00
429069,429070,1982027S16120,SI,WA,GRAHAM,-16.77,122.97,0,0,1982,1,28,1982/01/28 05:00:00+00
429070,429071,1982027S16120,SI,WA,GRAHAM,-16.85,123.25,0,0,1982,1,28,1982/01/28 05:00:00+00
429071,429072,1982027S16120,SI,WA,GRAHAM,-16.88,123.48,0,0,1982,1,28,1982/01/28 05:00:00+00
429072,429073,1982027S16120,SI,WA,GRAHAM,-16.95,123.65,0,0,1982,1,28,1982/01/28 05:00:00+00
