Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
591589,591590,2005229N21156,WP,MM,GUCHOL,21.5,156.0,15,1006,2005,8,17,2005/08/17 04:00:00+00
591590,591591,2005229N21156,WP,MM,GUCHOL,21.5,155.85,15,1006,2005,8,17,2005/08/17 04:00:00+00
591591,591592,2005229N21156,WP,MM,GUCHOL,21.5,155.7,15,1006,2005,8,17,2005/08/17 04:00:00+00
591592,591593,2005229N21156,WP,MM,GUCHOL,21.49,155.55,15,1006,2005,8,17,2005/08/17 04:00:00+00
591593,591594,2005229N21156,WP,MM,GUCHOL,21.5,155.4,15,1006,2005,8,17,2005/08/17 04:00:00+00
591594,591595,2005229N21156,WP,MM,GUCHOL,21.54,155.25,15,1006,2005,8,17,2005/08/17 04:00:00+00
591595,591596,2005229N21156,WP,MM,GUCHOL,21.6,155.1,15,1006,2005,8,18,2005/08/18 04:00:00+00
591596,591597,2005229N21156,WP,MM,GUCHOL,21.65,154.97,15,1006,2005,8,18,2005/08/18 04:00:00+00
591597,591598,2005229N21156,WP,MM,GUCHOL,21.7,154.8,15,1006,2005,8,18,2005/08/18 04:00:00+00
591598,591599,2005229N21156,WP,MM,GUCHOL,21.75,154.57,17,1005,2005,8,18,2005/08/18 04:00:00+00
591599,591600,2005229N21156,WP,MM,GUCHOL,21.8,154.3,20,1004,2005,8,18,2005/08/18 04:00:00+00
591600,591601,2005229N21156,WP,MM,GUCHOL,21.85,154.01,20,1004,2005,8,18,2005/08/18 04:00:00+00
591601,591602,2005229N21156,WP,MM,GUCHOL,21.8,153.63,20,1004,2005,8,18,2005/08/18 04:00:00+00
591602,591603,2005229N21156,WP,MM,GUCHOL,21.83,153.29,20,1004,2005,8,18,2005/08/18 04:00:00+00
591603,591604,2005229N21156,WP,MM,GUCHOL,21.88,152.98,20,1004,2005,8,19,2005/08/19 04:00:00+00
591604,591605,2005229N21156,WP,MM,GUCHOL,21.94,152.69,20,1004,2005,8,19,2005/08/19 04:00:00+00
591605,591606,2005229N21156,WP,MM,GUCHOL,22.03,152.43,20,1004,2005,8,19,2005/08/19 04:00:00+00
591606,591607,2005229N21156,WP,MM,GUCHOL,22.16,152.16,20,1004,2005,8,19,2005/08/19 04:00:00+00
591607,591608,2005229N21156,WP,MM,GUCHOL,22.3,151.9,20,1004,2005,8,19,2005/08/19 04:00:00+00
