Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
569380,569381,2002045S18049,SI,MM,GUILLAUME,-17.8,49.1,0,0,2002,2,14,2002/02/14 05:00:00+00
569381,569382,2002045S18049,SI,MM,GUILLAUME,-17.99,49.21,0,0,2002,2,14,2002/02/14 05:00:00+00
569382,569383,2002045S18049,SI,MM,GUILLAUME,-18.1,49.4,0,0,2002,2,14,2002/02/14 05:00:00+00
569383,569384,2002045S18049,SI,MM,GUILLAUME,-18.07,49.7,0,0,2002,2,14,2002/02/14 05:00:00+00
569384,569385,2002045S18049,SI,MM,GUILLAUME,-17.6,50.23,25,1002,2002,2,14,2002/02/14 05:00:00+00
569385,569386,2002045S18049,SI,MM,GUILLAUME,-17.18,50.51,25,1002,2002,2,14,2002/02/14 05:00:00+00
569386,569387,2002045S18049,SI,MM,GUILLAUME,-16.82,50.72,25,1002,2002,2,14,2002/02/14 05:00:00+00
569387,569388,2002045S18049,SI,MM,GUILLAUME,-16.55,50.91,27,1001,2002,2,14,2002/02/14 05:00:00+00
569388,569389,2002045S18049,SI,MM,GUILLAUME,-16.37,51.03,30,1000,2002,2,15,2002/02/15 05:00:00+00
569389,569390,2002045S18049,SI,MM,GUILLAUME,-16.2,51.15,30,1000,2002,2,15,2002/02/15 05:00:00+00
569390,569391,2002045S18049,SI,MM,GUILLAUME,-16.07,51.27,30,1000,2002,2,15,2002/02/15 05:00:00+00
569391,569392,2002045S18049,SI,MM,GUILLAUME,-15.97,51.43,30,1000,2002,2,15,2002/02/15 05:00:00+00
569392,569393,2002045S18049,SI,MM,GUILLAUME,-15.87,51.6,30,1000,2002,2,15,2002/02/15 05:00:00+00
569393,569394,2002045S18049,SI,MM,GUILLAUME,-15.71,51.71,30,1000,2002,2,15,2002/02/15 05:00:00+00
569394,569395,2002045S18049,SI,MM,GUILLAUME,-15.53,51.83,30,1000,2002,2,15,2002/02/15 05:00:00+00
569395,569396,2002045S18049,SI,MM,GUILLAUME,-15.33,52.01,32,998,2002,2,15,2002/02/15 05:00:00+00
569396,569397,2002045S18049,SI,MM,GUILLAUME,-15.13,52.23,35,997,2002,2,16,2002/02/16 05:00:00+00
569397,569398,2002045S18049,SI,MM,GUILLAUME,-14.96,52.47,35,997,2002,2,16,2002/02/16 05:00:00+00
569398,569399,2002045S18049,SI,MM,GUILLAUME,-14.8,52.77,35,997,2002,2,16,2002/02/16 05:00:00+00
569399,569400,2002045S18049,SI,MM,GUILLAUME,-14.64,53.09,37,995,2002,2,16,2002/02/16 05:00:00+00
569400,569401,2002045S18049,SI,MM,GUILLAUME,-14.5,53.5,40,994,2002,2,16,2002/02/16 05:00:00+00
569401,569402,2002045S18049,SI,MM,GUILLAUME,-14.39,54.03,45,990,2002,2,16,2002/02/16 05:00:00+00
569402,569403,2002045S18049,SI,MM,GUILLAUME,-14.33,54.57,50,987,2002,2,16,2002/02/16 05:00:00+00
569403,569404,2002045S18049,SI,MM,GUILLAUME,-14.34,54.95,62,977,2002,2,16,2002/02/16 05:00:00+00
569404,569405,2002045S18049,SI,MM,GUILLAUME,-14.4,55.33,75,967,2002,2,17,2002/02/17 05:00:00+00
569405,569406,2002045S18049,SI,MM,GUILLAUME,-14.44,55.82,82,960,2002,2,17,2002/02/17 05:00:00+00
569406,569407,2002045S18049,SI,MM,GUILLAUME,-14.53,56.33,90,954,2002,2,17,2002/02/17 05:00:00+00
569407,569408,2002045S18049,SI,MM,GUILLAUME,-14.72,56.81,90,954,2002,2,17,2002/02/17 05:00:00+00
569408,569409,2002045S18049,SI,MM,GUILLAUME,-14.97,57.27,90,954,2002,2,17,2002/02/17 05:00:00+00
569409,569410,2002045S18049,SI,MM,GUILLAUME,-15.22,57.73,90,954,2002,2,17,2002/02/17 05:00:00+00
569410,569411,2002045S18049,SI,MM,GUILLAUME,-15.5,58.13,90,954,2002,2,17,2002/02/17 05:00:00+00
569411,569412,2002045S18049,SI,MM,GUILLAUME,-15.81,58.44,92,951,2002,2,17,2002/02/17 05:00:00+00
569412,569413,2002045S18049,SI,MM,GUILLAUME,-16.13,58.7,95,949,2002,2,18,2002/02/18 05:00:00+00
569413,569414,2002045S18049,SI,MM,GUILLAUME,-16.44,58.97,100,943,2002,2,18,2002/02/18 05:00:00+00
569414,569415,2002045S18049,SI,MM,GUILLAUME,-16.77,59.2,105,938,2002,2,18,2002/02/18 05:00:00+00
569415,569416,2002045S18049,SI,MM,GUILLAUME,-17.13,59.39,110,932,2002,2,18,2002/02/18 05:00:00+00
569416,569417,2002045S18049,SI,MM,GUILLAUME,-17.5,59.5,115,927,2002,2,18,2002/02/18 05:00:00+00
569417,569418,2002045S18049,SI,MM,GUILLAUME,-17.87,59.53,117,924,2002,2,18,2002/02/18 05:00:00+00
569418,569419,2002045S18049,SI,MM,GUILLAUME,-18.23,59.5,120,922,2002,2,18,2002/02/18 05:00:00+00
569419,569420,2002045S18049,SI,MM,GUILLAUME,-18.6,59.47,120,922,2002,2,18,2002/02/18 05:00:00+00
569420,569421,2002045S18049,SI,MM,GUILLAUME,-18.93,59.4,120,922,2002,2,19,2002/02/19 05:00:00+00
569421,569422,2002045S18049,SI,MM,GUILLAUME,-19.21,59.31,117,924,2002,2,19,2002/02/19 05:00:00+00
569422,569423,2002045S18049,SI,MM,GUILLAUME,-19.47,59.2,115,927,2002,2,19,2002/02/19 05:00:00+00
569423,569424,2002045S18049,SI,MM,GUILLAUME,-19.76,59.05,115,927,2002,2,19,2002/02/19 05:00:00+00
569424,569425,2002045S18049,SI,MM,GUILLAUME,-20.03,58.93,115,927,2002,2,19,2002/02/19 05:00:00+00
569425,569426,2002045S18049,SI,MM,GUILLAUME,-20.23,58.9,115,927,2002,2,19,2002/02/19 05:00:00+00
569426,569427,2002045S18049,SI,MM,GUILLAUME,-20.4,58.9,115,927,2002,2,19,2002/02/19 05:00:00+00
569427,569428,2002045S18049,SI,MM,GUILLAUME,-20.59,58.87,117,924,2002,2,19,2002/02/19 05:00:00+00
569428,569429,2002045S18049,SI,MM,GUILLAUME,-20.77,58.87,120,922,2002,2,20,2002/02/20 05:00:00+00
569429,569430,2002045S18049,SI,MM,GUILLAUME,-20.92,58.89,120,922,2002,2,20,2002/02/20 05:00:00+00
569430,569431,2002045S18049,SI,MM,GUILLAUME,-21.1,58.97,120,922,2002,2,20,2002/02/20 05:00:00+00
569431,569432,2002045S18049,SI,MM,GUILLAUME,-21.33,59.1,120,922,2002,2,20,2002/02/20 05:00:00+00
569432,569433,2002045S18049,SI,MM,GUILLAUME,-21.63,59.3,120,922,2002,2,20,2002/02/20 05:00:00+00
569433,569434,2002045S18049,SI,MM,GUILLAUME,-22.04,59.54,112,930,2002,2,20,2002/02/20 05:00:00+00
569434,569435,2002045S18049,SI,MM,GUILLAUME,-22.47,59.8,105,938,2002,2,20,2002/02/20 05:00:00+00
569435,569436,2002045S18049,SI,MM,GUILLAUME,-22.84,60.0,97,946,2002,2,20,2002/02/20 05:00:00+00
569436,569437,2002045S18049,SI,MM,GUILLAUME,-23.2,60.2,90,954,2002,2,21,2002/02/21 05:00:00+00
569437,569438,2002045S18049,SI,MM,GUILLAUME,-23.58,60.46,82,960,2002,2,21,2002/02/21 05:00:00+00
569438,569439,2002045S18049,SI,MM,GUILLAUME,-23.97,60.73,75,967,2002,2,21,2002/02/21 05:00:00+00
569439,569440,2002045S18049,SI,MM,GUILLAUME,-24.37,60.98,72,969,2002,2,21,2002/02/21 05:00:00+00
569440,569441,2002045S18049,SI,MM,GUILLAUME,-24.7,61.2,70,972,2002,2,21,2002/02/21 05:00:00+00
569441,569442,2002045S18049,SI,MM,GUILLAUME,-24.9,61.39,65,976,2002,2,21,2002/02/21 05:00:00+00
569442,569443,2002045S18049,SI,MM,GUILLAUME,-25.03,61.57,60,980,2002,2,21,2002/02/21 05:00:00+00
569443,569444,2002045S18049,SI,MM,GUILLAUME,-25.19,61.73,55,983,2002,2,21,2002/02/21 05:00:00+00
