Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
445205,445206,1984261N29295,,,GUSTAV,28.6,-65.5,30,1009,1984,9,16,1984/09/16 04:00:00+00
445206,445207,1984261N29295,,,GUSTAV,29.14,-65.49,30,1009,1984,9,16,1984/09/16 04:00:00+00
445207,445208,1984261N29295,,,GUSTAV,29.6,-65.5,30,1009,1984,9,17,1984/09/17 04:00:00+00
445208,445209,1984261N29295,,,GUSTAV,29.95,-65.52,30,1009,1984,9,17,1984/09/17 04:00:00+00
445209,445210,1984261N29295,,,GUSTAV,30.3,-65.5,30,1009,1984,9,17,1984/09/17 04:00:00+00
445210,445211,1984261N29295,,,GUSTAV,30.79,-65.39,30,1009,1984,9,17,1984/09/17 04:00:00+00
445211,445212,1984261N29295,,,GUSTAV,31.3,-65.2,30,1009,1984,9,17,1984/09/17 04:00:00+00
445212,445213,1984261N29295,,,GUSTAV,31.78,-64.93,30,1009,1984,9,17,1984/09/17 04:00:00+00
445213,445214,1984261N29295,,,GUSTAV,32.1,-64.7,30,1009,1984,9,17,1984/09/17 04:00:00+00
445214,445215,1984261N29295,,,GUSTAV,32.16,-64.66,30,1009,1984,9,17,1984/09/17 04:00:00+00
445215,445216,1984261N29295,,,GUSTAV,32.1,-64.7,30,1009,1984,9,18,1984/09/18 04:00:00+00
445216,445217,1984261N29295,,,GUSTAV,32.1,-64.69,30,1009,1984,9,18,1984/09/18 04:00:00+00
445217,445218,1984261N29295,,,GUSTAV,32.1,-64.7,30,1009,1984,9,18,1984/09/18 04:00:00+00
445218,445219,1984261N29295,,,GUSTAV,32.1,-64.69,30,1009,1984,9,18,1984/09/18 04:00:00+00
445219,445220,1984261N29295,,,GUSTAV,32.1,-64.7,30,1009,1984,9,18,1984/09/18 04:00:00+00
445220,445221,1984261N29295,,,GUSTAV,32.02,-64.78,37,1007,1984,9,18,1984/09/18 04:00:00+00
445221,445222,1984261N29295,,,GUSTAV,32.1,-64.7,45,1006,1984,9,18,1984/09/18 04:00:00+00
445222,445223,1984261N29295,,,GUSTAV,32.55,-64.23,45,1006,1984,9,18,1984/09/18 04:00:00+00
445223,445224,1984261N29295,,,GUSTAV,33.2,-63.6,45,1006,1984,9,19,1984/09/19 04:00:00+00
445224,445225,1984261N29295,,,GUSTAV,33.9,-63.06,45,1006,1984,9,19,1984/09/19 04:00:00+00
486180,486181,1990236N13314,,,GUSTAV,12.6,-45.9,25,1010,1990,8,24,1990/08/24 04:00:00+00
486181,486182,1990236N13314,,,GUSTAV,12.75,-46.39,27,1009,1990,8,24,1990/08/24 04:00:00+00
486182,486183,1990236N13314,,,GUSTAV,12.9,-46.9,30,1009,1990,8,24,1990/08/24 04:00:00+00
486183,486184,1990236N13314,,,GUSTAV,13.06,-47.45,30,1008,1990,8,24,1990/08/24 04:00:00+00
486184,486185,1990236N13314,,,GUSTAV,13.2,-48.0,30,1007,1990,8,24,1990/08/24 04:00:00+00
486185,486186,1990236N13314,,,GUSTAV,13.26,-48.5,32,1006,1990,8,24,1990/08/24 04:00:00+00
486186,486187,1990236N13314,,,GUSTAV,13.3,-49.0,35,1005,1990,8,25,1990/08/25 04:00:00+00
486187,486188,1990236N13314,,,GUSTAV,13.39,-49.54,37,1004,1990,8,25,1990/08/25 04:00:00+00
486188,486189,1990236N13314,,,GUSTAV,13.5,-50.1,40,1004,1990,8,25,1990/08/25 04:00:00+00
486189,486190,1990236N13314,,,GUSTAV,13.61,-50.65,42,1003,1990,8,25,1990/08/25 04:00:00+00
486190,486191,1990236N13314,,,GUSTAV,13.7,-51.2,45,1002,1990,8,25,1990/08/25 04:00:00+00
486191,486192,1990236N13314,,,GUSTAV,13.75,-51.76,47,1001,1990,8,25,1990/08/25 04:00:00+00
486192,486193,1990236N13314,,,GUSTAV,13.8,-52.3,50,1000,1990,8,25,1990/08/25 04:00:00+00
486193,486194,1990236N13314,,,GUSTAV,13.89,-52.8,52,998,1990,8,25,1990/08/25 04:00:00+00
486194,486195,1990236N13314,,,GUSTAV,14.0,-53.3,55,997,1990,8,26,1990/08/26 04:00:00+00
486195,486196,1990236N13314,,,GUSTAV,14.09,-53.84,57,995,1990,8,26,1990/08/26 04:00:00+00
486196,486197,1990236N13314,,,GUSTAV,14.2,-54.4,60,993,1990,8,26,1990/08/26 04:00:00+00
486197,486198,1990236N13314,,,GUSTAV,14.33,-54.97,62,991,1990,8,26,1990/08/26 04:00:00+00
486198,486199,1990236N13314,,,GUSTAV,14.5,-55.5,65,990,1990,8,26,1990/08/26 04:00:00+00
486199,486200,1990236N13314,,,GUSTAV,14.75,-55.99,67,987,1990,8,26,1990/08/26 04:00:00+00
486200,486201,1990236N13314,,,GUSTAV,15.0,-56.4,70,984,1990,8,26,1990/08/26 04:00:00+00
486201,486202,1990236N13314,,,GUSTAV,15.14,-56.72,72,982,1990,8,26,1990/08/26 04:00:00+00
486202,486203,1990236N13314,,,GUSTAV,15.3,-57.0,75,980,1990,8,27,1990/08/27 04:00:00+00
486203,486204,1990236N13314,,,GUSTAV,15.57,-57.37,80,976,1990,8,27,1990/08/27 04:00:00+00
486204,486205,1990236N13314,,,GUSTAV,15.9,-57.7,85,973,1990,8,27,1990/08/27 04:00:00+00
486205,486206,1990236N13314,,,GUSTAV,16.24,-57.89,87,970,1990,8,27,1990/08/27 04:00:00+00
486206,486207,1990236N13314,,,GUSTAV,16.6,-58.0,90,967,1990,8,27,1990/08/27 04:00:00+00
486207,486208,1990236N13314,,,GUSTAV,16.94,-58.12,92,966,1990,8,27,1990/08/27 04:00:00+00
486208,486209,1990236N13314,,,GUSTAV,17.3,-58.2,95,965,1990,8,27,1990/08/27 04:00:00+00
486209,486210,1990236N13314,,,GUSTAV,17.68,-58.22,95,965,1990,8,27,1990/08/27 04:00:00+00
486210,486211,1990236N13314,,,GUSTAV,18.1,-58.2,95,966,1990,8,28,1990/08/28 04:00:00+00
486211,486212,1990236N13314,,,GUSTAV,18.54,-58.16,92,967,1990,8,28,1990/08/28 04:00:00+00
486212,486213,1990236N13314,,,GUSTAV,19.0,-58.1,90,969,1990,8,28,1990/08/28 04:00:00+00
486213,486214,1990236N13314,,,GUSTAV,19.48,-58.04,87,971,1990,8,28,1990/08/28 04:00:00+00
486214,486215,1990236N13314,,,GUSTAV,20.0,-58.0,85,973,1990,8,28,1990/08/28 04:00:00+00
486215,486216,1990236N13314,,,GUSTAV,20.54,-58.01,82,975,1990,8,28,1990/08/28 04:00:00+00
486216,486217,1990236N13314,,,GUSTAV,21.1,-58.0,80,978,1990,8,28,1990/08/28 04:00:00+00
486217,486218,1990236N13314,,,GUSTAV,21.68,-57.9,77,979,1990,8,28,1990/08/28 04:00:00+00
486218,486219,1990236N13314,,,GUSTAV,22.2,-57.8,75,981,1990,8,29,1990/08/29 04:00:00+00
486219,486220,1990236N13314,,,GUSTAV,22.57,-57.78,72,982,1990,8,29,1990/08/29 04:00:00+00
486220,486221,1990236N13314,,,GUSTAV,22.9,-57.8,70,984,1990,8,29,1990/08/29 04:00:00+00
