Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
527510,527511,1996078S12072,SI,MM,GUYLIANNE,-12.0,71.9,0,0,1996,3,17,1996/03/17 04:00:00+00
527511,527512,1996078S12072,SI,MM,GUYLIANNE,-12.26,71.39,0,0,1996,3,17,1996/03/17 04:00:00+00
527512,527513,1996078S12072,SI,MM,GUYLIANNE,-13.06,70.38,25,0,1996,3,17,1996/03/17 04:00:00+00
527513,527514,1996078S12072,SI,MM,GUYLIANNE,-13.31,69.75,25,0,1996,3,17,1996/03/17 04:00:00+00
527514,527515,1996078S12072,SI,MM,GUYLIANNE,-13.5,69.06,25,0,1996,3,18,1996/03/18 04:00:00+00
527515,527516,1996078S12072,SI,MM,GUYLIANNE,-13.62,68.35,25,0,1996,3,18,1996/03/18 04:00:00+00
527516,527517,1996078S12072,SI,MM,GUYLIANNE,-13.63,67.7,25,0,1996,3,18,1996/03/18 04:00:00+00
527517,527518,1996078S12072,SI,MM,GUYLIANNE,-13.62,67.07,25,0,1996,3,18,1996/03/18 04:00:00+00
527518,527519,1996078S12072,SI,MM,GUYLIANNE,-13.57,66.47,25,0,1996,3,18,1996/03/18 04:00:00+00
527519,527520,1996078S12072,SI,MM,GUYLIANNE,-13.48,65.89,25,0,1996,3,18,1996/03/18 04:00:00+00
527520,527521,1996078S12072,SI,MM,GUYLIANNE,-13.37,65.33,25,0,1996,3,18,1996/03/18 04:00:00+00
527521,527522,1996078S12072,SI,MM,GUYLIANNE,-13.24,64.77,25,0,1996,3,18,1996/03/18 04:00:00+00
527522,527523,1996078S12072,SI,MM,GUYLIANNE,-13.13,64.23,25,0,1996,3,19,1996/03/19 04:00:00+00
527523,527524,1996078S12072,SI,MM,GUYLIANNE,-13.07,63.72,27,0,1996,3,19,1996/03/19 04:00:00+00
527524,527525,1996078S12072,SI,MM,GUYLIANNE,-13.03,63.23,30,0,1996,3,19,1996/03/19 04:00:00+00
527525,527526,1996078S12072,SI,MM,GUYLIANNE,-13.0,62.77,30,0,1996,3,19,1996/03/19 04:00:00+00
527526,527527,1996078S12072,SI,MM,GUYLIANNE,-13.0,62.33,30,0,1996,3,19,1996/03/19 04:00:00+00
527527,527528,1996078S12072,SI,MM,GUYLIANNE,-13.05,61.91,30,0,1996,3,19,1996/03/19 04:00:00+00
527528,527529,1996078S12072,SI,MM,GUYLIANNE,-13.13,61.47,30,0,1996,3,19,1996/03/19 04:00:00+00
527529,527530,1996078S12072,SI,MM,GUYLIANNE,-13.22,60.97,30,0,1996,3,19,1996/03/19 04:00:00+00
527530,527531,1996078S12072,SI,MM,GUYLIANNE,-13.33,60.47,30,0,1996,3,20,1996/03/20 04:00:00+00
527531,527532,1996078S12072,SI,MM,GUYLIANNE,-13.5,59.98,30,0,1996,3,20,1996/03/20 04:00:00+00
527532,527533,1996078S12072,SI,MM,GUYLIANNE,-13.7,59.53,30,0,1996,3,20,1996/03/20 04:00:00+00
527533,527534,1996078S12072,SI,MM,GUYLIANNE,-13.92,59.17,30,0,1996,3,20,1996/03/20 04:00:00+00
527534,527535,1996078S12072,SI,MM,GUYLIANNE,-14.17,58.87,30,0,1996,3,20,1996/03/20 04:00:00+00
527535,527536,1996078S12072,SI,MM,GUYLIANNE,-14.44,58.58,30,0,1996,3,20,1996/03/20 04:00:00+00
527536,527537,1996078S12072,SI,MM,GUYLIANNE,-14.73,58.33,30,0,1996,3,20,1996/03/20 04:00:00+00
527537,527538,1996078S12072,SI,MM,GUYLIANNE,-15.04,58.13,30,0,1996,3,20,1996/03/20 04:00:00+00
527538,527539,1996078S12072,SI,MM,GUYLIANNE,-15.37,57.97,30,0,1996,3,21,1996/03/21 04:00:00+00
527539,527540,1996078S12072,SI,MM,GUYLIANNE,-15.69,57.82,30,0,1996,3,21,1996/03/21 04:00:00+00
527540,527541,1996078S12072,SI,MM,GUYLIANNE,-16.0,57.7,30,0,1996,3,21,1996/03/21 04:00:00+00
527541,527542,1996078S12072,SI,MM,GUYLIANNE,-16.31,57.61,30,0,1996,3,21,1996/03/21 04:00:00+00
527542,527543,1996078S12072,SI,MM,GUYLIANNE,-16.6,57.53,30,0,1996,3,21,1996/03/21 04:00:00+00
527543,527544,1996078S12072,SI,MM,GUYLIANNE,-16.84,57.45,30,0,1996,3,21,1996/03/21 04:00:00+00
527544,527545,1996078S12072,SI,MM,GUYLIANNE,-17.07,57.4,30,0,1996,3,21,1996/03/21 04:00:00+00
527545,527546,1996078S12072,SI,MM,GUYLIANNE,-17.3,57.37,30,0,1996,3,21,1996/03/21 04:00:00+00
527546,527547,1996078S12072,SI,MM,GUYLIANNE,-17.57,57.4,30,0,1996,3,22,1996/03/22 04:00:00+00
527547,527548,1996078S12072,SI,MM,GUYLIANNE,-17.9,57.49,32,0,1996,3,22,1996/03/22 04:00:00+00
527548,527549,1996078S12072,SI,MM,GUYLIANNE,-18.27,57.63,35,0,1996,3,22,1996/03/22 04:00:00+00
527549,527550,1996078S12072,SI,MM,GUYLIANNE,-18.59,57.8,35,0,1996,3,22,1996/03/22 04:00:00+00
527550,527551,1996078S12072,SI,MM,GUYLIANNE,-18.93,57.97,35,0,1996,3,22,1996/03/22 04:00:00+00
527551,527552,1996078S12072,SI,MM,GUYLIANNE,-19.32,58.07,35,0,1996,3,22,1996/03/22 04:00:00+00
527552,527553,1996078S12072,SI,MM,GUYLIANNE,-19.7,58.17,35,0,1996,3,22,1996/03/22 04:00:00+00
527553,527554,1996078S12072,SI,MM,GUYLIANNE,-20.0,58.28,35,0,1996,3,22,1996/03/22 04:00:00+00
527554,527555,1996078S12072,SI,MM,GUYLIANNE,-20.27,58.4,35,0,1996,3,23,1996/03/23 04:00:00+00
527555,527556,1996078S12072,SI,MM,GUYLIANNE,-20.55,58.52,35,0,1996,3,23,1996/03/23 04:00:00+00
527556,527557,1996078S12072,SI,MM,GUYLIANNE,-20.83,58.6,35,0,1996,3,23,1996/03/23 04:00:00+00
527557,527558,1996078S12072,SI,MM,GUYLIANNE,-21.11,58.61,35,0,1996,3,23,1996/03/23 04:00:00+00
527558,527559,1996078S12072,SI,MM,GUYLIANNE,-21.4,58.54,35,0,1996,3,23,1996/03/23 04:00:00+00
527559,527560,1996078S12072,SI,MM,GUYLIANNE,-21.72,58.37,32,0,1996,3,23,1996/03/23 04:00:00+00
527560,527561,1996078S12072,SI,MM,GUYLIANNE,-22.0,58.1,30,0,1996,3,23,1996/03/23 04:00:00+00
527561,527562,1996078S12072,SI,MM,GUYLIANNE,-22.07,57.66,0,0,1996,3,23,1996/03/23 04:00:00+00
527562,527563,1996078S12072,SI,MM,GUYLIANNE,-22.2,57.4,0,0,1996,3,24,1996/03/24 04:00:00+00
527563,527564,1996078S12072,SI,MM,GUYLIANNE,-22.29,57.31,0,0,1996,3,24,1996/03/24 04:00:00+00
527564,527565,1996078S12072,SI,MM,GUYLIANNE,-22.4,57.3,0,0,1996,3,24,1996/03/24 04:00:00+00
527565,527566,1996078S12072,SI,MM,GUYLIANNE,-22.6,57.26,0,0,1996,3,24,1996/03/24 04:00:00+00
527566,527567,1996078S12072,SI,MM,GUYLIANNE,-22.8,57.2,0,0,1996,3,24,1996/03/24 04:00:00+00
527567,527568,1996078S12072,SI,MM,GUYLIANNE,-22.9,57.1,0,0,1996,3,24,1996/03/24 04:00:00+00
527568,527569,1996078S12072,SI,MM,GUYLIANNE,-23.0,57.0,0,0,1996,3,24,1996/03/24 04:00:00+00
527569,527570,1996078S12072,SI,MM,GUYLIANNE,-23.18,56.94,0,0,1996,3,24,1996/03/24 04:00:00+00
527570,527571,1996078S12072,SI,MM,GUYLIANNE,-23.4,56.9,0,0,1996,3,25,1996/03/25 04:00:00+00
527571,527572,1996078S12072,SI,MM,GUYLIANNE,-23.61,56.89,0,0,1996,3,25,1996/03/25 04:00:00+00
