Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
573975,573976,2002323N09155,WP,MM,HAISHEN,9.1,155.3,25,1002,2002,11,19,2002/11/19 05:00:00+00
573976,573977,2002323N09155,WP,MM,HAISHEN,9.2,154.66,25,1002,2002,11,19,2002/11/19 05:00:00+00
573977,573978,2002323N09155,WP,MM,HAISHEN,9.3,154.0,25,1002,2002,11,19,2002/11/19 05:00:00+00
573978,573979,2002323N09155,WP,MM,HAISHEN,9.39,153.31,25,1002,2002,11,19,2002/11/19 05:00:00+00
573979,573980,2002323N09155,WP,MM,HAISHEN,9.5,152.6,25,1002,2002,11,19,2002/11/19 05:00:00+00
573980,573981,2002323N09155,WP,MM,HAISHEN,9.63,151.92,25,1002,2002,11,19,2002/11/19 05:00:00+00
573981,573982,2002323N09155,WP,MM,HAISHEN,9.8,151.2,25,1002,2002,11,19,2002/11/19 05:00:00+00
573982,573983,2002323N09155,WP,MM,HAISHEN,10.02,150.39,25,1002,2002,11,19,2002/11/19 05:00:00+00
573983,573984,2002323N09155,WP,MM,HAISHEN,9.8,148.67,25,1002,2002,11,20,2002/11/20 05:00:00+00
573984,573985,2002323N09155,WP,MM,HAISHEN,10.05,147.64,25,1002,2002,11,20,2002/11/20 05:00:00+00
573985,573986,2002323N09155,WP,MM,HAISHEN,10.45,146.79,25,1002,2002,11,20,2002/11/20 05:00:00+00
573986,573987,2002323N09155,WP,MM,HAISHEN,10.8,145.82,27,1001,2002,11,20,2002/11/20 05:00:00+00
573987,573988,2002323N09155,WP,MM,HAISHEN,11.05,144.84,30,1000,2002,11,20,2002/11/20 05:00:00+00
573988,573989,2002323N09155,WP,MM,HAISHEN,11.34,143.93,30,1000,2002,11,20,2002/11/20 05:00:00+00
573989,573990,2002323N09155,WP,MM,HAISHEN,11.6,143.1,30,1000,2002,11,20,2002/11/20 05:00:00+00
573990,573991,2002323N09155,WP,MM,HAISHEN,11.78,142.33,30,1000,2002,11,20,2002/11/20 05:00:00+00
573991,573992,2002323N09155,WP,MM,HAISHEN,11.93,141.62,30,1000,2002,11,21,2002/11/21 05:00:00+00
573992,573993,2002323N09155,WP,MM,HAISHEN,12.11,140.97,32,998,2002,11,21,2002/11/21 05:00:00+00
573993,573994,2002323N09155,WP,MM,HAISHEN,12.3,140.32,35,997,2002,11,21,2002/11/21 05:00:00+00
573994,573995,2002323N09155,WP,MM,HAISHEN,12.47,139.6,37,995,2002,11,21,2002/11/21 05:00:00+00
573995,573996,2002323N09155,WP,MM,HAISHEN,12.65,138.88,40,994,2002,11,21,2002/11/21 05:00:00+00
573996,573997,2002323N09155,WP,MM,HAISHEN,12.87,138.14,42,992,2002,11,21,2002/11/21 05:00:00+00
573997,573998,2002323N09155,WP,MM,HAISHEN,13.12,137.5,45,991,2002,11,21,2002/11/21 05:00:00+00
573998,573999,2002323N09155,WP,MM,HAISHEN,13.37,137.01,50,987,2002,11,21,2002/11/21 05:00:00+00
573999,574000,2002323N09155,WP,MM,HAISHEN,13.75,136.62,55,984,2002,11,22,2002/11/22 05:00:00+00
574000,574001,2002323N09155,WP,MM,HAISHEN,14.43,136.22,57,982,2002,11,22,2002/11/22 05:00:00+00
574001,574002,2002323N09155,WP,MM,HAISHEN,15.1,135.88,60,980,2002,11,22,2002/11/22 05:00:00+00
574002,574003,2002323N09155,WP,MM,HAISHEN,15.46,135.59,62,978,2002,11,22,2002/11/22 05:00:00+00
