Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
441399,441400,1984038S12073,SI,MM,HAJA,-12.47,72.9,25,0,1984,2,7,1984/02/07 05:00:00+00
441400,441401,1984038S12073,SI,MM,HAJA,-12.54,72.56,27,0,1984,2,7,1984/02/07 05:00:00+00
441401,441402,1984038S12073,SI,MM,HAJA,-12.63,72.46,30,0,1984,2,7,1984/02/07 05:00:00+00
441402,441403,1984038S12073,SI,MM,HAJA,-12.81,72.41,30,0,1984,2,7,1984/02/07 05:00:00+00
441403,441404,1984038S12073,SI,MM,HAJA,-12.9,72.3,30,0,1984,2,7,1984/02/07 05:00:00+00
441404,441405,1984038S12073,SI,MM,HAJA,-12.96,72.21,30,0,1984,2,7,1984/02/07 05:00:00+00
441405,441406,1984038S12073,SI,MM,HAJA,-13.0,72.1,30,0,1984,2,8,1984/02/08 05:00:00+00
441406,441407,1984038S12073,SI,MM,HAJA,-13.02,71.95,30,0,1984,2,8,1984/02/08 05:00:00+00
441407,441408,1984038S12073,SI,MM,HAJA,-13.0,71.8,30,0,1984,2,8,1984/02/08 05:00:00+00
441408,441409,1984038S12073,SI,MM,HAJA,-12.96,71.7,30,0,1984,2,8,1984/02/08 05:00:00+00
441409,441410,1984038S12073,SI,MM,HAJA,-12.9,71.6,30,0,1984,2,8,1984/02/08 05:00:00+00
441410,441411,1984038S12073,SI,MM,HAJA,-12.86,71.45,30,0,1984,2,8,1984/02/08 05:00:00+00
441411,441412,1984038S12073,SI,MM,HAJA,-12.8,71.3,30,0,1984,2,8,1984/02/08 05:00:00+00
441412,441413,1984038S12073,SI,MM,HAJA,-12.89,71.07,30,0,1984,2,8,1984/02/08 05:00:00+00
441413,441414,1984038S12073,SI,MM,HAJA,-12.97,71.06,30,0,1984,2,9,1984/02/09 05:00:00+00
441414,441415,1984038S12073,SI,MM,HAJA,-13.03,71.16,30,0,1984,2,9,1984/02/09 05:00:00+00
441415,441416,1984038S12073,SI,MM,HAJA,-13.03,71.28,30,0,1984,2,9,1984/02/09 05:00:00+00
441416,441417,1984038S12073,SI,MM,HAJA,-12.85,71.19,30,0,1984,2,9,1984/02/09 05:00:00+00
441417,441418,1984038S12073,SI,MM,HAJA,-12.65,71.1,30,0,1984,2,9,1984/02/09 05:00:00+00
441418,441419,1984038S12073,SI,MM,HAJA,-12.47,71.19,30,0,1984,2,9,1984/02/09 05:00:00+00
441419,441420,1984038S12073,SI,MM,HAJA,-12.35,71.38,30,0,1984,2,9,1984/02/09 05:00:00+00
441420,441421,1984038S12073,SI,MM,HAJA,-12.32,71.6,30,0,1984,2,9,1984/02/09 05:00:00+00
441421,441422,1984038S12073,SI,MM,HAJA,-12.35,71.85,30,0,1984,2,10,1984/02/10 05:00:00+00
441422,441423,1984038S12073,SI,MM,HAJA,-12.43,72.12,27,0,1984,2,10,1984/02/10 05:00:00+00
441423,441424,1984038S12073,SI,MM,HAJA,-12.55,72.38,25,0,1984,2,10,1984/02/10 05:00:00+00
441424,441425,1984038S12073,SI,MM,HAJA,-12.67,72.59,25,0,1984,2,10,1984/02/10 05:00:00+00
441425,441426,1984038S12073,SI,MM,HAJA,-12.82,72.79,25,0,1984,2,10,1984/02/10 05:00:00+00
441426,441427,1984038S12073,SI,MM,HAJA,-12.98,73.01,25,0,1984,2,10,1984/02/10 05:00:00+00
441427,441428,1984038S12073,SI,MM,HAJA,-13.18,73.2,25,0,1984,2,10,1984/02/10 05:00:00+00
441428,441429,1984038S12073,SI,MM,HAJA,-13.38,73.3,27,0,1984,2,10,1984/02/10 05:00:00+00
441429,441430,1984038S12073,SI,MM,HAJA,-13.62,73.39,30,0,1984,2,11,1984/02/11 05:00:00+00
441430,441431,1984038S12073,SI,MM,HAJA,-13.89,73.53,30,0,1984,2,11,1984/02/11 05:00:00+00
441431,441432,1984038S12073,SI,MM,HAJA,-14.2,73.7,30,0,1984,2,11,1984/02/11 05:00:00+00
441432,441433,1984038S12073,SI,MM,HAJA,-14.55,73.92,30,0,1984,2,11,1984/02/11 05:00:00+00
441433,441434,1984038S12073,SI,MM,HAJA,-14.94,74.18,30,0,1984,2,11,1984/02/11 05:00:00+00
441434,441435,1984038S12073,SI,MM,HAJA,-15.37,74.46,30,0,1984,2,11,1984/02/11 05:00:00+00
441435,441436,1984038S12073,SI,MM,HAJA,-15.73,74.87,30,0,1984,2,11,1984/02/11 05:00:00+00
441436,441437,1984038S12073,SI,MM,HAJA,-15.8,75.33,30,0,1984,2,11,1984/02/11 05:00:00+00
441437,441438,1984038S12073,SI,MM,HAJA,-15.6,75.6,30,0,1984,2,12,1984/02/12 05:00:00+00
441438,441439,1984038S12073,SI,MM,HAJA,-15.36,75.77,30,0,1984,2,12,1984/02/12 05:00:00+00
441439,441440,1984038S12073,SI,MM,HAJA,-15.1,75.8,30,0,1984,2,12,1984/02/12 05:00:00+00
441440,441441,1984038S12073,SI,MM,HAJA,-14.92,75.7,30,0,1984,2,12,1984/02/12 05:00:00+00
441441,441442,1984038S12073,SI,MM,HAJA,-14.8,75.5,30,0,1984,2,12,1984/02/12 05:00:00+00
441442,441443,1984038S12073,SI,MM,HAJA,-14.71,75.27,30,0,1984,2,12,1984/02/12 05:00:00+00
441443,441444,1984038S12073,SI,MM,HAJA,-14.7,75.0,30,0,1984,2,12,1984/02/12 05:00:00+00
441444,441445,1984038S12073,SI,MM,HAJA,-14.76,74.75,30,0,1984,2,12,1984/02/12 05:00:00+00
441445,441446,1984038S12073,SI,MM,HAJA,-14.9,74.5,30,0,1984,2,13,1984/02/13 05:00:00+00
441446,441447,1984038S12073,SI,MM,HAJA,-15.07,74.25,30,0,1984,2,13,1984/02/13 05:00:00+00
441447,441448,1984038S12073,SI,MM,HAJA,-15.3,74.0,30,0,1984,2,13,1984/02/13 05:00:00+00
441448,441449,1984038S12073,SI,MM,HAJA,-15.59,73.76,30,0,1984,2,13,1984/02/13 05:00:00+00
441449,441450,1984038S12073,SI,MM,HAJA,-15.9,73.5,30,0,1984,2,13,1984/02/13 05:00:00+00
441450,441451,1984038S12073,SI,MM,HAJA,-16.16,73.18,32,0,1984,2,13,1984/02/13 05:00:00+00
441451,441452,1984038S12073,SI,MM,HAJA,-16.4,72.8,35,0,1984,2,13,1984/02/13 05:00:00+00
441452,441453,1984038S12073,SI,MM,HAJA,-16.73,72.26,35,0,1984,2,13,1984/02/13 05:00:00+00
441453,441454,1984038S12073,SI,MM,HAJA,-17.03,71.68,35,0,1984,2,14,1984/02/14 05:00:00+00
441454,441455,1984038S12073,SI,MM,HAJA,-17.23,71.16,37,0,1984,2,14,1984/02/14 05:00:00+00
441455,441456,1984038S12073,SI,MM,HAJA,-17.39,70.67,40,0,1984,2,14,1984/02/14 05:00:00+00
441456,441457,1984038S12073,SI,MM,HAJA,-17.54,70.31,40,0,1984,2,14,1984/02/14 05:00:00+00
441457,441458,1984038S12073,SI,MM,HAJA,-17.71,69.98,40,0,1984,2,14,1984/02/14 05:00:00+00
