Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
402728,402729,1978095S11137,SP,EA,HAL,-11.4,136.5,0,0,1978,4,4,1978/04/04 04:00:00+00
402729,402730,1978095S11137,SP,EA,HAL,-11.29,136.33,0,0,1978,4,4,1978/04/04 04:00:00+00
402730,402731,1978095S11137,SP,EA,HAL,-11.3,136.3,0,0,1978,4,4,1978/04/04 04:00:00+00
402731,402732,1978095S11137,SP,EA,HAL,-11.49,136.48,0,0,1978,4,4,1978/04/04 04:00:00+00
402732,402733,1978095S11137,SP,EA,HAL,-11.67,136.19,0,0,1978,4,5,1978/04/05 04:00:00+00
402733,402734,1978095S11137,SP,EA,HAL,-11.9,136.21,0,0,1978,4,5,1978/04/05 04:00:00+00
402734,402735,1978095S11137,SP,EA,HAL,-12.08,136.38,0,0,1978,4,5,1978/04/05 04:00:00+00
402735,402736,1978095S11137,SP,EA,HAL,-12.18,136.63,0,0,1978,4,5,1978/04/05 04:00:00+00
402736,402737,1978095S11137,SP,EA,HAL,-12.28,136.93,0,0,1978,4,5,1978/04/05 04:00:00+00
402737,402738,1978095S11137,SP,EA,HAL,-12.34,137.18,0,0,1978,4,5,1978/04/05 04:00:00+00
402738,402739,1978095S11137,SP,EA,HAL,-12.4,137.43,0,0,1978,4,5,1978/04/05 04:00:00+00
402739,402740,1978095S11137,SP,EA,HAL,-12.46,137.69,0,0,1978,4,5,1978/04/05 04:00:00+00
402740,402741,1978095S11137,SP,EA,HAL,-12.53,137.95,0,0,1978,4,6,1978/04/06 04:00:00+00
402741,402742,1978095S11137,SP,EA,HAL,-12.59,138.22,0,0,1978,4,6,1978/04/06 04:00:00+00
402742,402743,1978095S11137,SP,EA,HAL,-12.62,138.49,0,0,1978,4,6,1978/04/06 04:00:00+00
402743,402744,1978095S11137,SP,EA,HAL,-12.59,138.78,0,0,1978,4,6,1978/04/06 04:00:00+00
402744,402745,1978095S11137,SP,EA,HAL,-12.58,139.13,0,0,1978,4,6,1978/04/06 04:00:00+00
402745,402746,1978095S11137,SP,EA,HAL,-12.6,139.37,0,0,1978,4,6,1978/04/06 04:00:00+00
402746,402747,1978095S11137,SP,EA,HAL,-12.63,139.48,0,0,1978,4,6,1978/04/06 04:00:00+00
402747,402748,1978095S11137,SP,EA,HAL,-12.71,139.69,0,0,1978,4,6,1978/04/06 04:00:00+00
402748,402749,1978095S11137,SP,EA,HAL,-12.75,139.79,0,0,1978,4,6,1978/04/06 04:00:00+00
402749,402750,1978095S11137,SP,EA,HAL,-12.87,140.07,0,0,1978,4,6,1978/04/06 04:00:00+00
402750,402751,1978095S11137,SP,EA,HAL,-13.0,140.3,0,0,1978,4,6,1978/04/06 04:00:00+00
402751,402752,1978095S11137,SP,EA,HAL,-13.09,140.46,0,0,1978,4,7,1978/04/07 04:00:00+00
402752,402753,1978095S11137,SP,EA,HAL,-13.48,141.03,0,0,1978,4,7,1978/04/07 04:00:00+00
402753,402754,1978095S11137,SP,EA,HAL,-13.79,141.47,0,0,1978,4,7,1978/04/07 04:00:00+00
402754,402755,1978095S11137,SP,EA,HAL,-13.95,141.69,0,0,1978,4,7,1978/04/07 04:00:00+00
402755,402756,1978095S11137,SP,EA,HAL,-14.42,142.38,0,0,1978,4,7,1978/04/07 04:00:00+00
402756,402757,1978095S11137,SP,EA,HAL,-14.71,142.9,0,0,1978,4,7,1978/04/07 04:00:00+00
402757,402758,1978095S11137,SP,EA,HAL,-14.76,143.24,0,0,1978,4,7,1978/04/07 04:00:00+00
402758,402759,1978095S11137,SP,EA,HAL,-15.01,144.17,0,0,1978,4,7,1978/04/07 04:00:00+00
402759,402760,1978095S11137,SP,EA,HAL,-15.15,144.81,0,0,1978,4,7,1978/04/07 04:00:00+00
402760,402761,1978095S11137,SP,EA,HAL,-15.23,145.14,0,0,1978,4,7,1978/04/07 04:00:00+00
402761,402762,1978095S11137,SP,EA,HAL,-15.51,146.02,0,0,1978,4,7,1978/04/07 04:00:00+00
402762,402763,1978095S11137,SP,EA,HAL,-15.69,146.54,0,0,1978,4,7,1978/04/07 04:00:00+00
402763,402764,1978095S11137,SP,EA,HAL,-15.77,146.75,0,0,1978,4,8,1978/04/08 04:00:00+00
402764,402765,1978095S11137,SP,EA,HAL,-16.0,147.22,0,0,1978,4,8,1978/04/08 04:00:00+00
402765,402766,1978095S11137,SP,EA,HAL,-16.14,147.44,0,0,1978,4,8,1978/04/08 04:00:00+00
402766,402767,1978095S11137,SP,EA,HAL,-16.21,147.54,0,0,1978,4,8,1978/04/08 04:00:00+00
402767,402768,1978095S11137,SP,EA,HAL,-16.44,147.79,0,0,1978,4,8,1978/04/08 04:00:00+00
402768,402769,1978095S11137,SP,EA,HAL,-16.59,147.93,0,0,1978,4,8,1978/04/08 04:00:00+00
402769,402770,1978095S11137,SP,EA,HAL,-16.68,147.99,0,0,1978,4,8,1978/04/08 04:00:00+00
402770,402771,1978095S11137,SP,EA,HAL,-16.87,148.14,0,0,1978,4,8,1978/04/08 04:00:00+00
402771,402772,1978095S11137,SP,EA,HAL,-16.96,148.22,0,0,1978,4,8,1978/04/08 04:00:00+00
