Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
696792,696793,2023007S20153,SP,EA,HALE,-19.9,153.2,35,998,2023,1,6,2023/01/06 05:00:00+00
696793,696794,2023007S20153,SP,EA,HALE,-20.21,154.2,37,997,2023,1,6,2023/01/06 05:00:00+00
696794,696795,2023007S20153,SP,EA,HALE,-20.5,155.1,39,996,2023,1,7,2023/01/07 05:00:00+00
696795,696796,2023007S20153,SP,EA,HALE,-20.75,155.85,39,995,2023,1,7,2023/01/07 05:00:00+00
696796,696797,2023007S20153,SP,EA,HALE,-21.0,156.6,39,994,2023,1,7,2023/01/07 05:00:00+00
696797,696798,2023007S20153,SP,EA,HALE,-21.21,157.35,42,993,2023,1,7,2023/01/07 05:00:00+00
696798,696799,2023007S20153,SP,EA,HALE,-21.6,158.5,45,992,2023,1,7,2023/01/07 05:00:00+00
696799,696800,2023007S20153,SP,MM,HALE,-22.42,160.52,45,993,2023,1,7,2023/01/07 05:00:00+00
696800,696801,2023007S20153,SP,MM,HALE,-23.3,162.7,45,994,2023,1,7,2023/01/07 05:00:00+00
696801,696802,2023007S20153,SP,MM,HALE,-23.9,164.29,42,995,2023,1,7,2023/01/07 05:00:00+00
696802,696803,2023007S20153,SP,MM,HALE,-24.4,165.6,39,996,2023,1,8,2023/01/08 05:00:00+00
696803,696804,2023007S20153,SP,MM,HALE,-24.9,166.81,37,997,2023,1,8,2023/01/08 05:00:00+00
