Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
647619,647620,2015064S14052,SI,MM,HALIBA,-14.0,51.9,0,0,2015,3,4,2015/03/04 05:00:00+00
647620,647621,2015064S14052,SI,MM,HALIBA,-14.24,52.01,0,0,2015,3,4,2015/03/04 05:00:00+00
647621,647622,2015064S14052,SI,MM,HALIBA,-14.5,52.1,0,0,2015,3,5,2015/03/05 05:00:00+00
647622,647623,2015064S14052,SI,MM,HALIBA,-14.79,52.14,0,0,2015,3,5,2015/03/05 05:00:00+00
647623,647624,2015064S14052,SI,MM,HALIBA,-15.1,52.1,0,0,2015,3,5,2015/03/05 05:00:00+00
647624,647625,2015064S14052,SI,MM,HALIBA,-15.46,51.97,0,0,2015,3,5,2015/03/05 05:00:00+00
647625,647626,2015064S14052,SI,MM,HALIBA,-15.8,51.8,0,0,2015,3,5,2015/03/05 05:00:00+00
647626,647627,2015064S14052,SI,MM,HALIBA,-16.04,51.69,0,0,2015,3,5,2015/03/05 05:00:00+00
647627,647628,2015064S14052,SI,MM,HALIBA,-16.2,51.6,0,0,2015,3,5,2015/03/05 05:00:00+00
647628,647629,2015064S14052,SI,MM,HALIBA,-16.31,51.51,0,0,2015,3,5,2015/03/05 05:00:00+00
647629,647630,2015064S14052,SI,MM,HALIBA,-16.4,51.4,0,0,2015,3,6,2015/03/06 05:00:00+00
647630,647631,2015064S14052,SI,MM,HALIBA,-16.52,51.27,0,0,2015,3,6,2015/03/06 05:00:00+00
647631,647632,2015064S14052,SI,MM,HALIBA,-16.7,51.1,0,0,2015,3,6,2015/03/06 05:00:00+00
647632,647633,2015064S14052,SI,MM,HALIBA,-16.99,50.85,0,0,2015,3,6,2015/03/06 05:00:00+00
647633,647634,2015064S14052,SI,MM,HALIBA,-17.3,50.58,25,1004,2015,3,6,2015/03/06 05:00:00+00
647634,647635,2015064S14052,SI,MM,HALIBA,-17.52,50.41,27,1002,2015,3,6,2015/03/06 05:00:00+00
647635,647636,2015064S14052,SI,MM,HALIBA,-17.7,50.3,30,1000,2015,3,6,2015/03/06 05:00:00+00
647636,647637,2015064S14052,SI,MM,HALIBA,-17.85,50.22,30,1000,2015,3,6,2015/03/06 05:00:00+00
647637,647638,2015064S14052,SI,MM,HALIBA,-18.0,50.15,30,1000,2015,3,7,2015/03/07 05:00:00+00
647638,647639,2015064S14052,SI,MM,HALIBA,-18.18,50.05,30,1000,2015,3,7,2015/03/07 05:00:00+00
647639,647640,2015064S14052,SI,MM,HALIBA,-18.35,49.95,30,1000,2015,3,7,2015/03/07 05:00:00+00
