Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
318556,318557,1966264N22265,,GM,HALLIE,21.5,-95.4,30,0,1966,9,20,1966/09/20 04:00:00+00
318557,318558,1966264N22265,,GM,HALLIE,21.49,-95.4,35,0,1966,9,20,1966/09/20 04:00:00+00
318558,318559,1966264N22265,,GM,HALLIE,21.5,-95.4,40,0,1966,9,20,1966/09/20 04:00:00+00
318559,318560,1966264N22265,,GM,HALLIE,21.52,-95.39,45,0,1966,9,20,1966/09/20 04:00:00+00
318560,318561,1966264N22265,,GM,HALLIE,21.5,-95.4,50,997,1966,9,21,1966/09/21 04:00:00+00
318561,318562,1966264N22265,,GM,HALLIE,21.38,-95.43,50,0,1966,9,21,1966/09/21 04:00:00+00
318562,318563,1966264N22265,,GM,HALLIE,21.2,-95.5,50,0,1966,9,21,1966/09/21 04:00:00+00
318563,318564,1966264N22265,,GM,HALLIE,21.01,-95.63,50,0,1966,9,21,1966/09/21 04:00:00+00
318564,318565,1966264N22265,,GM,HALLIE,20.8,-95.8,50,0,1966,9,21,1966/09/21 04:00:00+00
318565,318566,1966264N22265,,GM,HALLIE,20.6,-96.0,40,0,1966,9,21,1966/09/21 04:00:00+00
386414,386415,1975298N29281,,,HALLIE,29.1,-79.3,30,1006,1975,10,24,1975/10/24 04:00:00+00
386415,386416,1975298N29281,,,HALLIE,28.86,-79.08,30,1006,1975,10,24,1975/10/24 04:00:00+00
386416,386417,1975298N29281,,,HALLIE,28.8,-79.0,30,1006,1975,10,25,1975/10/25 04:00:00+00
386417,386418,1975298N29281,,,HALLIE,29.03,-79.15,30,1006,1975,10,25,1975/10/25 04:00:00+00
386418,386419,1975298N29281,,,HALLIE,29.4,-79.4,30,1006,1975,10,25,1975/10/25 04:00:00+00
386419,386420,1975298N29281,,,HALLIE,29.73,-79.57,30,1006,1975,10,25,1975/10/25 04:00:00+00
386420,386421,1975298N29281,,,HALLIE,30.0,-79.7,30,1006,1975,10,25,1975/10/25 04:00:00+00
386421,386422,1975298N29281,,,HALLIE,30.12,-79.77,30,1006,1975,10,25,1975/10/25 04:00:00+00
386422,386423,1975298N29281,,,HALLIE,30.2,-79.8,30,1006,1975,10,25,1975/10/25 04:00:00+00
386423,386424,1975298N29281,,,HALLIE,30.34,-79.84,30,1006,1975,10,25,1975/10/25 04:00:00+00
386424,386425,1975298N29281,,,HALLIE,30.5,-79.9,30,1006,1975,10,26,1975/10/26 04:00:00+00
386425,386426,1975298N29281,,,HALLIE,30.66,-80.04,30,1006,1975,10,26,1975/10/26 04:00:00+00
386426,386427,1975298N29281,,,HALLIE,30.9,-80.1,30,1006,1975,10,26,1975/10/26 04:00:00+00
386427,386428,1975298N29281,,,HALLIE,31.33,-79.93,30,1005,1975,10,26,1975/10/26 04:00:00+00
386428,386429,1975298N29281,,,HALLIE,31.8,-79.6,30,1005,1975,10,26,1975/10/26 04:00:00+00
386429,386430,1975298N29281,,,HALLIE,32.14,-79.2,32,1004,1975,10,26,1975/10/26 04:00:00+00
386430,386431,1975298N29281,,,HALLIE,32.5,-78.7,35,1003,1975,10,26,1975/10/26 04:00:00+00
386431,386432,1975298N29281,,,HALLIE,32.98,-78.18,40,1002,1975,10,26,1975/10/26 04:00:00+00
386432,386433,1975298N29281,,,HALLIE,33.5,-77.5,45,1002,1975,10,27,1975/10/27 04:00:00+00
386433,386434,1975298N29281,,,HALLIE,33.99,-76.54,45,1002,1975,10,27,1975/10/27 04:00:00+00
386434,386435,1975298N29281,,,HALLIE,34.5,-75.5,45,1002,1975,10,27,1975/10/27 04:00:00+00
386435,386436,1975298N29281,,,HALLIE,35.12,-74.59,45,1003,1975,10,27,1975/10/27 04:00:00+00
386436,386437,1975298N29281,,,HALLIE,35.7,-73.8,45,1004,1975,10,27,1975/10/27 04:00:00+00
386437,386438,1975298N29281,,,HALLIE,36.1,-73.16,42,1005,1975,10,27,1975/10/27 04:00:00+00
386438,386439,1975298N29281,,,HALLIE,36.4,-72.6,40,1006,1975,10,27,1975/10/27 04:00:00+00
386439,386440,1975298N29281,,,HALLIE,36.66,-72.01,37,1007,1975,10,27,1975/10/27 04:00:00+00
